time (s)	coil I (A)	last det (V)	int current (uC)
6764.048438	1.103709	0.121787	573.928406
6764.049340	1.483532	0.121787	1912.073975
6764.050207	1.471436	0.121787	3187.808594
6764.051362	1.429534	0.121787	4838.919922
6764.052337	1.392407	0.121787	6196.517090
6764.053213	1.359254	0.121787	7387.223633
6764.054276	1.322333	0.121787	8792.863281
6764.055310	1.287594	0.121787	10124.235352
6764.056204	1.258250	0.121787	11249.110352
6764.057151	1.229253	0.121787	12413.212891
6764.058212	0.603816	0.121787	13053.861328
6764.059144	0.100884	0.121787	13147.884766
6764.060005	0.097383	0.121787	13231.731445
6764.061059	0.097533	0.121787	13334.531250
6764.062072	0.097485	0.121787	13433.284180
6764.062949	0.097467	0.121787	13518.762695
6764.063933	0.097504	0.121787	13614.706055
6764.064979	0.097522	0.121787	13716.713867
6764.065893	0.097555	0.121787	13805.878906
6764.066751	0.097489	0.121787	13889.524414
6764.067819	0.097496	0.121787	13993.650391
6765.066685	1.010632	0.149397	427.497467
6765.067789	1.483363	0.149397	2065.130371
6765.068799	1.464983	0.149397	3544.763184
6765.069685	1.430629	0.149397	4812.300293
6765.070694	1.392451	0.149397	6217.283691
6765.071764	1.353508	0.149397	7665.537598
6765.072650	1.321765	0.149397	8836.621094
6765.073540	1.290311	0.149397	9984.998047
6765.074657	1.255415	0.149397	11387.296875
6765.075595	1.226049	0.149397	12537.330078
6765.076470	0.704799	0.149397	13154.029297
6765.077501	0.102213	0.149397	13259.411133
6765.078523	0.097518	0.149397	13359.075195
6765.079411	0.097559	0.149397	13445.707031
6765.080371	0.097610	0.149397	13539.412109
6765.081436	0.097518	0.149397	13643.269531
6765.082363	0.097529	0.149397	13733.678711
6765.083229	0.097614	0.149397	13818.211914
6765.084301	0.097489	0.149397	13922.719727
6765.085314	0.097452	0.149397	14021.439453
6765.086206	0.097449	0.149397	14108.363281
6766.120888	1.014053	0.123664	427.930267
6766.121950	1.483542	0.123664	2003.452393
6766.122839	1.471329	0.123664	3311.464111
6766.123706	1.437843	0.123664	4558.074219
6766.124702	1.399600	0.123664	5952.075195
6766.125641	1.364121	0.123664	7232.984863
6766.126523	1.333110	0.123664	8408.788086
6766.127499	1.299986	0.123664	9677.575195
6766.128525	1.265984	0.123664	10976.474609
6766.129417	1.237961	0.123664	12080.736328
6766.130285	1.061012	0.123664	13001.694336
6766.131373	0.143635	0.123664	13157.969727
6766.132310	0.097350	0.123664	13249.186523
6766.133182	0.097456	0.123664	13334.167969
6766.134168	0.097504	0.123664	13430.306641
6766.135165	0.097493	0.123664	13527.506836
6766.136048	0.097427	0.123664	13613.534180
6766.136906	0.097485	0.123664	13697.176758
6766.137996	0.097540	0.123664	13803.496094
6766.138921	0.097438	0.123664	13893.625977
6766.139780	0.097529	0.123664	13977.403320
6767.132109	1.007695	0.158887	443.385925
6767.132979	1.475420	0.158887	1727.001221
6767.133842	1.477452	0.158887	3002.042480
6767.134899	1.439037	0.158887	4523.104492
6767.135785	1.404126	0.158887	5767.160156
6767.136666	1.371031	0.158887	6975.039062
6767.137580	1.337549	0.158887	8197.558594
6767.138602	1.303004	0.158887	9529.228516
6767.139502	1.272799	0.158887	10674.748047
6767.140399	1.244777	0.158887	11791.312500
6767.141407	1.131251	0.158887	12931.613281
6767.142342	0.211908	0.158887	13129.747070
6767.143227	0.097324	0.158887	13215.878906
6767.144217	0.097526	0.158887	13312.429687
6767.145201	0.097460	0.158887	13408.330078
6767.146086	0.097452	0.158887	13494.575195
6767.146949	0.097496	0.158887	13578.714844
6767.148047	0.097511	0.158887	13685.782227
6767.148954	0.097401	0.158887	13774.125000
6767.149821	0.097386	0.158887	13858.558594
6767.150822	0.097507	0.158887	13956.163086
6768.198599	1.002909	0.108449	435.262482
6768.199470	1.475394	0.108449	1720.330933
6768.200498	1.471981	0.108449	3233.527832
6768.201543	1.432434	0.108449	4730.421387
6768.202434	1.397999	0.108449	5976.038574
6768.203396	1.362737	0.108449	7286.991211
6768.204458	1.325160	0.108449	8694.310547
6768.205392	1.293157	0.108449	9902.119141
6768.206270	1.263981	0.108449	11011.894531
6768.207349	1.230817	0.108449	12339.945312
6768.208357	0.720238	0.108449	13065.945312
6768.209249	0.106388	0.108449	13160.843750
6768.210228	0.097449	0.108449	13256.246094
6768.211280	0.097548	0.108449	13358.866211
6768.212197	0.097332	0.108449	13448.119141
6768.213060	0.097504	0.108449	13532.264648
6768.214146	0.097511	0.108449	13638.161133
6768.215124	0.097390	0.108449	13733.408203
6768.216002	0.097456	0.108449	13818.974609
6768.217005	0.097562	0.108449	13916.829102
6768.218055	0.097489	0.108449	14019.192383
6769.200722	1.130453	0.150380	654.532227
6769.201718	1.486432	0.150380	2135.018555
6769.202609	1.467773	0.150380	3442.804687
6769.203472	1.432903	0.150380	4679.399902
6769.204572	1.392576	0.150380	6211.233398
6769.205469	1.358833	0.150380	7430.106445
6769.206344	1.328276	0.150380	8592.348633
6769.207358	1.293593	0.150380	9904.051758
6769.208353	1.260703	0.150380	11158.451172
6769.209257	1.232794	0.150380	12272.897461
6769.210264	0.788185	0.150380	13066.599609
6769.211320	0.104875	0.150380	13177.347656
6769.212208	0.097430	0.150380	13263.866211
6769.213090	0.097507	0.150380	13349.867187
6769.214200	0.097617	0.150380	13458.222656
6769.215155	0.097467	0.150380	13551.303711
6769.216027	0.097529	0.150380	13636.349609
6769.217064	0.097646	0.150380	13737.609375
6769.218098	0.097474	0.150380	13838.397461
6769.218981	0.097430	0.150380	13924.428711
6769.219911	0.097522	0.150380	14015.124023
6770.264072	1.066934	0.124155	531.332886
6770.265029	1.483810	0.124155	1951.338867
6770.265901	1.472347	0.124155	3235.225830
6770.266939	1.432811	0.124155	4722.483887
6770.267977	1.393114	0.124155	6168.536133
6770.268876	1.359459	0.124155	7390.689941
6770.269826	1.326757	0.124155	8651.108398
6770.270881	1.290366	0.124155	10012.444336
6770.271817	1.259861	0.124155	11191.673828
6770.272682	1.232468	0.124155	12257.758789
6770.273774	0.707197	0.124155	13030.018555
