time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6762.830107	168.043564	-0.589572	-0.062933	41
6764.901085	167.993454	-0.592995	-0.062423	43
6766.967142	168.197144	-0.597042	-0.062128	45
6769.036268	168.083328	-0.600318	-0.061930	47
6771.102552	167.941895	-0.603166	-0.061584	49
6773.171842	168.025711	-0.605051	-0.061216	51
6775.242983	169.330551	-0.601331	-0.100000	53
6777.313397	167.991699	-0.611959	-0.059889	55
6779.386371	167.803207	-0.615106	-0.059713	57
6781.456156	167.572739	-0.619226	-0.058892	59
6783.526698	167.588455	-0.624614	-0.058698	61
6785.592845	168.270401	-0.611778	-0.100000	63
6787.658088	175.488327	-0.620070	-0.100000	65
6789.725902	168.584320	-0.629909	-0.057353	67
6791.797763	168.010666	-0.633023	-0.056395	69
6793.874407	167.514252	-0.639025	-0.056596	71
6795.943022	167.583237	-0.644670	-0.056479	73
6798.009021	169.417053	-0.636920	-0.100000	75
6800.074017	348.795624	0.646643	0.055426	77
6802.144261	168.540344	-0.649381	-0.054736	79
6804.216422	168.062042	-0.653015	-0.054357	81
6806.287828	347.842957	0.649364	0.053606	83
6808.359850	347.802216	0.652986	0.053018	85
6810.430433	167.791733	-0.663806	-0.053453	87
6812.499710	167.836594	-0.667137	-0.052773	89
6814.570522	167.937103	-0.669254	-0.052309	91
6816.641181	168.061584	-0.672283	-0.052163	93
6818.709028	168.155762	-0.675352	-0.052205	95
6820.775500	168.242905	-0.679260	-0.051637	97
6822.842642	168.262955	-0.683138	-0.051153	99
6824.910416	168.194672	-0.684998	-0.050354	101
6826.979094	168.109726	-0.685524	-0.050337	103
6829.050132	168.082626	-0.687003	-0.049860	105
6831.124326	168.145691	-0.690447	-0.049519	107
6833.196092	168.261581	-0.695009	-0.049312	109
6835.264494	168.358521	-0.700782	-0.049000	111
6837.330612	168.201492	-0.704216	-0.048635	113
6839.397049	348.131958	0.705887	0.048440	115
6841.465801	168.110138	-0.707158	-0.048313	117
6843.537390	348.151520	0.710025	0.047804	119
6845.608933	345.426788	0.692257	0.100000	121
6847.680132	349.282501	0.696877	0.100000	123
6849.750763	351.450867	0.709279	0.100000	125
6851.821343	351.214600	0.705111	0.100000	127
6853.890608	348.027924	0.728382	0.046020	129
6855.959920	348.008789	0.730459	0.045989	131
6858.028675	348.175568	0.732989	0.045623	133
6860.096104	348.336487	0.734900	0.045332	135
6862.163434	348.554474	0.737438	0.045075	137
6864.231448	348.732635	0.738563	0.045000	139
6866.300179	348.660583	0.740220	0.044750	141
6868.370853	347.419006	0.725756	0.042003	143
6870.442124	348.232819	0.745300	0.044833	145
6872.515092	347.936127	0.750449	0.044588	147
6874.586142	347.911438	0.755567	0.044312	149
6876.654260	348.228912	0.758964	0.044094	151
6878.719838	348.615814	0.759092	0.043744	153
6880.786876	348.793976	0.760131	0.043391	155
6882.856031	348.813721	0.759867	0.042612	157
6884.925708	348.678253	0.761894	0.042793	159
6886.995514	348.614563	0.765075	0.042498	161
6889.065636	348.555573	0.769088	0.042382	163
6891.135690	348.469452	0.772226	0.042383	165
6893.205890	348.491791	0.773722	0.041773	167
6895.274273	348.481384	0.775138	0.041602	169
6897.343319	348.602905	0.778694	0.041409	171
6899.411840	348.551788	0.781959	0.041439	173
6901.481157	348.539551	0.783788	0.040968	175
6903.551007	348.565430	0.786849	0.040532	177
6905.621656	348.525330	0.789330	0.040407	179
6907.693719	348.578583	0.792574	0.040068	181
6909.765746	348.539612	0.794940	0.039948	183
6911.835397	348.603607	0.798574	0.040062	185
6913.905065	348.696350	0.803639	0.039883	187
6915.972553	348.649689	0.806677	0.039699	189
6918.039441	348.581635	0.809117	0.039516	191
6920.106709	348.513092	0.809547	0.039420	193
6922.176327	348.644623	0.809331	0.039472	195
6924.245796	348.684906	0.810714	0.039013	197
6926.315326	348.725311	0.813006	0.038769	199
6928.384959	348.825073	0.816849	0.038790	201
6930.454822	348.805908	0.821174	0.038413	203
6932.524538	348.852997	0.823339	0.038271	205
6934.594307	348.888489	0.824901	0.037973	207
6936.662732	349.018158	0.827265	0.038146	209
6938.731473	349.093018	0.831146	0.037780	211
6940.800595	349.036224	0.832939	0.037904	213
6942.870358	348.983948	0.834567	0.037449	215
6944.940489	348.838959	0.837674	0.037499	217
6947.011581	348.687683	0.840356	0.037452	219
6949.083260	348.544525	0.843942	0.037318	221
6951.154579	348.413330	0.847665	0.036997	223
6953.224699	348.489502	0.848741	0.036692	225
6955.292678	348.682312	0.852516	0.036649	227
6957.360539	348.910431	0.854901	0.036457	229
6959.428238	349.106598	0.855814	0.036345	231
6961.496433	349.190216	0.856934	0.035986	233
6963.565301	349.239044	0.858668	0.035798	235
6965.634179	349.195618	0.862628	0.035749	237
6967.703354	349.128937	0.865536	0.035579	239
6969.772478	349.162231	0.867473	0.035627	241
6971.841925	349.108490	0.870268	0.035454	243
6973.911564	349.090363	0.872356	0.035323	245
6975.981097	349.089325	0.876564	0.034594	247
6978.050348	169.160660	-0.878940	-0.034618	249
6980.119848	169.067993	-0.877778	-0.034731	251
6982.189342	169.104263	-0.876048	-0.034586	253
6984.259766	169.064331	-0.875118	-0.034558	255
6986.330267	169.013367	-0.873197	-0.034295	1
6988.399448	348.934296	0.860439	0.100000	3
6990.468023	349.188995	0.870904	0.034681	5
6992.535842	169.198914	-0.870723	-0.034497	7
6994.603033	169.250198	-0.869539	-0.034691	9
6996.669873	169.240387	-0.869094	-0.034598	11
6998.737437	169.210556	-0.869247	-0.034628	13
7000.805019	169.230103	-0.868444	-0.034668	15
7002.873201	169.229218	-0.865809	-0.034827	17
7004.941689	169.318848	-0.862912	-0.034536	19
7007.010418	169.335632	-0.861560	-0.034450	21
7009.079208	169.404282	-0.860576	-0.034481	23
7011.147719	169.429214	-0.860665	-0.034105	25
7013.216368	169.475327	-0.860480	-0.034466	27
7015.284789	169.525879	-0.860592	-0.034502	29
7017.353513	169.435684	-0.860787	-0.034310	31
7019.422703	169.436600	-0.860021	-0.033994	33
7021.492346	169.310516	-0.857884	-0.034111	35
7023.562238	169.249390	-0.856121	-0.033981	37
7025.632465	169.227295	-0.856657	-0.033590	39
7027.702380	169.104980	-0.854364	-0.033583	41
7029.771627	169.020782	-0.854382	-0.033659	43
7031.840345	169.121674	-0.854829	-0.033446	45
7033.908423	169.176010	-0.854768	-0.033627	47
7035.976137	169.351120	-0.853335	-0.033554	49
7038.043320	169.557632	-0.852806	-0.033300	51
7040.110836	169.613281	-0.852593	-0.033470	53
7042.178539	169.714066	-0.851135	-0.033447	55
7044.246600	169.695053	-0.850688	-0.033537	57
7046.314943	169.702377	-0.850258	-0.033593	59
7048.383563	169.730667	-0.849180	-0.033642	61
7050.452245	169.641647	-0.847849	-0.033534	63
7052.520826	169.655167	-0.845726	-0.033499	65
7054.590124	169.618225	-0.843867	-0.033480	67
7056.659220	169.673416	-0.843648	-0.032993	69
7058.729102	169.532288	-0.840433	-0.033107	71
7060.798748	169.603653	-0.839000	-0.032908	73
7062.868626	169.575272	-0.839810	-0.032797	75
7064.937756	169.540359	-0.836970	-0.033024	77
7067.006511	169.561050	-0.836810	-0.032838	79
7069.074950	169.638702	-0.836604	-0.033147	81
7071.142594	169.627823	-0.836842	-0.032904	83
7073.209735	169.678436	-0.835237	-0.033046	85
7075.277305	169.697083	-0.834605	-0.033353	87
7077.344871	169.632111	-0.834669	-0.033069	89
7079.412484	169.681854	-0.833347	-0.033046	91
7081.480676	169.720428	-0.832355	-0.033354	93
7083.548740	169.769165	-0.830657	-0.033243	95
7085.617230	169.791718	-0.828799	-0.033129	97
7087.685473	169.792511	-0.827867	-0.033112	99
7089.754406	169.833878	-0.826019	-0.033046	101
7091.823005	169.907257	-0.826059	-0.032882	103
7093.892264	169.828812	-0.826101	-0.033045	105
