crossing time (s)	slope (V/s)	crossing number
6761.818438	1.286305	3624
6762.826062	1.661218	3625
6763.868055	1.375594	3626
6764.902188	1.373391	3627
6765.955728	1.305681	3628
6766.961353	1.504955	3629
6768.034176	1.062360	3630
6769.035175	1.578576	3631
6770.089376	1.373449	3632
6771.095756	1.676332	3633
6772.155055	1.210171	3634
6773.172259	1.739499	3635
6774.239205	1.623348	3636
6775.242551	1.793798	3637
6776.301805	1.463320	3638
6777.314405	1.521698	3639
6778.377774	1.526052	3640
6779.386335	1.550036	3641
6780.440180	1.312147	3642
6781.450993	1.674586	3643
6782.504586	1.657565	3644
6783.523260	1.664860	3645
6784.578793	1.235632	3646
6785.592688	1.820912	3647
6786.649342	1.747103	3648
6787.659204	1.806463	3649
6788.726262	1.628326	3650
6789.721814	1.560874	3651
6790.782345	1.592233	3652
6791.792291	1.824264	3653
6792.855990	1.583109	3654
6793.878219	1.700612	3655
6794.918499	1.542393	3656
6795.940495	1.661000	3657
6796.988391	1.536732	3658
6798.004753	2.094178	3659
6799.063436	1.577635	3660
6800.074199	1.907251	3661
6801.135682	1.898685	3662
6802.145320	1.520883	3663
6803.206312	1.386150	3664
6804.210982	1.984047	3665
6805.262597	1.558323	3666
6806.286719	2.235983	3667
6807.338190	1.845791	3668
6808.363997	1.802471	3669
6809.405004	2.070330	3670
6810.431427	1.624033	3671
6811.476042	2.130196	3672
6812.492246	1.684951	3673
6813.547141	1.986406	3674
6814.565564	2.006634	3675
6815.626022	1.632338	3676
6816.638555	2.192874	3677
6817.691616	1.538688	3678
6818.707920	2.171774	3679
6819.753925	1.499563	3680
6820.773662	2.179326	3681
6821.829158	1.860751	3682
6822.843200	2.167258	3683
6823.906911	1.938945	3684
6824.908683	2.094777	3685
6825.976254	1.664662	3686
6826.978136	2.174544	3687
6828.042734	1.896867	3688
6829.048359	2.075263	3689
6830.110696	2.027873	3690
6831.123596	2.231274	3691
6832.175055	1.946361	3692
6833.194233	2.131170	3693
6834.242590	1.895047	3694
6835.263763	2.221005	3695
6836.316380	1.815861	3696
6837.329908	2.179684	3697
6838.387845	1.839484	3698
6839.394394	2.203709	3699
6840.461347	2.056003	3700
6841.463189	2.162376	3701
6842.531702	1.944347	3702
6843.534725	2.198012	3703
6844.597773	1.896152	3704
6845.606924	2.288599	3705
6846.662315	2.068343	3706
6847.677689	2.347691	3707
6848.730556	2.109759	3708
6849.749568	2.426925	3709
6850.800687	2.228865	3710
6851.820302	2.455767	3711
6852.868190	2.083832	3712
6853.889982	2.341364	3713
6854.938331	2.103347	3714
6855.959613	2.407617	3715
6857.008197	2.131739	3716
6858.027957	2.423377	3717
6859.080316	2.123777	3718
6860.094825	2.569348	3719
6861.150569	2.321469	3720
6862.162281	2.405120	3721
6863.222835	2.349256	3722
6864.230384	2.274989	3723
6865.292723	2.219332	3724
6866.297406	2.276776	3725
6867.362316	2.248461	3726
6868.368408	2.550989	3727
6869.430313	2.358154	3728
6870.441479	2.606626	3729
6871.497158	2.488568	3730
6872.514627	2.250669	3731
6873.561796	2.427262	3732
6874.582981	2.430257	3733
6875.631858	2.461614	3734
6876.651791	2.784440	3735
6877.704658	2.420809	3736
6878.719737	2.757546	3737
6879.776477	2.678643	3738
6880.787851	2.510120	3739
6881.846769	2.637684	3740
6882.853250	2.312916	3741
6883.918760	2.662733	3742
6884.921433	2.594918	3743
6885.988547	2.453004	3744
6886.994182	2.880108	3745
6888.058278	2.525132	3746
6889.065601	2.746311	3747
6890.125245	2.347562	3748
6891.135561	2.594884	3749
6892.192803	2.376661	3750
6893.204722	2.709154	3751
6894.262292	2.306664	3752
6895.272496	2.686710	3753
6896.333450	2.579300	3754
6897.341575	2.833430	3755
6898.404107	2.588001	3756
6899.410266	2.805775	3757
6900.474143	2.390695	3758
6901.479470	2.881836	3759
6902.543208	2.513552	3760
6903.549974	2.830056	3761
6904.610909	2.644338	3762
6905.620917	2.885930	3763
6906.678148	2.659626	3764
6907.693166	2.866144	3765
6908.744599	2.593120	3766
6909.764620	2.930126	3767
6910.812637	2.677909	3768
6911.832368	2.862087	3769
6912.882405	2.743126	3770
6913.902792	2.878301	3771
6914.953809	2.530192	3772
6915.971066	2.939415	3773
6917.023532	2.430156	3774
6918.037383	3.016729	3775
6919.096061	2.769901	3776
