crossing time (s)	slope (V/s)	crossing number
3897.612863	1.949451	957
3898.614787	1.547293	958
3899.683622	1.486099	959
3900.682620	1.644744	960
3901.746272	1.497568	961
3902.758253	1.853090	962
3903.810577	1.889031	963
3904.827151	1.694151	964
3905.883952	1.698724	965
3906.900947	1.908544	966
3907.954390	1.521101	967
3908.967187	1.890582	968
3910.016245	1.582054	969
3911.033975	1.948314	970
3912.092175	1.911185	971
3913.100981	1.778339	972
3914.169574	1.728699	973
3915.168450	1.978157	974
3916.235416	1.698903	975
3917.238844	1.842339	976
3918.301076	1.655287	977
3919.306456	1.924447	978
3920.370501	1.910422	979
3921.378536	1.719604	980
3922.440526	1.907765	981
3923.444731	1.782388	982
3924.510870	1.715062	983
3925.513695	1.735767	984
3926.578222	1.763332	985
3927.582942	1.935993	986
3928.645347	1.738273	987
3929.652243	1.907975	988
3930.716130	1.898140	989
3931.722839	1.877643	990
3932.784440	1.914791	991
3933.788686	1.760626	992
3934.856754	1.903529	993
3935.857121	1.806629	994
3936.926901	1.764301	995
3937.926864	2.150456	996
3938.996753	1.878328	997
3939.999258	1.933152	998
3941.062700	1.885082	999
3942.071296	1.802273	1000
3943.128967	1.953143	1001
3944.139331	1.825790	1002
3945.195690	1.881799	1003
3946.210753	2.009309	1004
3947.262712	1.978098	1005
3948.282115	2.061289	1006
3949.331325	1.997152	1007
3950.353087	2.120892	1008
3951.399608	2.074399	1009
3952.420878	1.987713	1010
3953.475598	2.210475	1011
3954.485898	2.000168	1012
3955.544944	2.084868	1013
3956.553258	1.975462	1014
3957.612981	2.011203	1015
3958.620898	2.044976	1016
3959.685279	1.974893	1017
3960.688594	2.097323	1018
3961.755025	1.908253	1019
3962.756838	2.176964	1020
3963.823685	2.040188	1021
3964.826585	2.071751	1022
3965.891277	2.007057	1023
3966.896614	2.156479	1024
3967.961385	2.086943	1025
3968.967137	2.091684	1026
3970.029857	2.048685	1027
3971.035327	2.193146	1028
3972.099058	2.093482	1029
3973.104053	2.169524	1030
3974.167184	2.118557	1031
3975.176137	2.200302	1032
3976.234981	2.186083	1033
3977.247727	2.137825	1034
3978.302176	2.243348	1035
3979.318244	2.238299	1036
3980.369291	2.255466	1037
3981.387508	2.204599	1038
3982.437192	2.201624	1039
3983.458225	2.301546	1040
3984.506198	2.201724	1041
3985.527277	2.287338	1042
3986.576457	2.171794	1043
3987.594302	2.291013	1044
3988.644957	2.217921	1045
3989.662528	2.234675	1046
3990.716468	2.277027	1047
3991.730395	2.276084	1048
3992.788994	2.321464	1049
3993.797116	2.228031	1050
3994.859072	2.214613	1051
3995.866766	2.293743	1052
3996.928848	2.270753	1053
3997.934754	2.296437	1054
3998.997277	2.306732	1055
4000.003468	2.352756	1056
4001.066057	2.297376	1057
4002.072453	2.381410	1058
4003.135077	2.275033	1059
4004.140782	2.435923	1060
4005.204891	2.292829	1061
4006.211015	2.437938	1062
