time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
3897.613152	348.255371	-0.639669	-0.005014	189
3899.680703	348.261749	-0.641382	-0.004641	191
3901.747066	348.093079	-0.646315	-0.005518	193
3903.813171	347.917755	-0.648885	-0.005273	195
3905.881292	347.771271	-0.649084	-0.005107	197
3907.951089	347.754181	-0.650279	-0.005653	199
3910.021151	347.782990	-0.652059	-0.005569	201
3912.094825	347.874817	-0.653386	-0.005640	203
3914.165430	347.916016	-0.655401	-0.005905	205
3916.235647	348.037354	-0.658556	-0.005381	207
3918.304147	348.116119	-0.661359	-0.004955	209
3920.372265	348.050537	-0.663237	-0.004775	211
3922.440063	348.016083	-0.665054	-0.005011	213
3924.508964	348.006561	-0.666677	-0.004657	215
3926.577958	347.958191	-0.668800	-0.004421	217
3928.647364	347.958527	-0.669236	-0.004041	219
3930.717170	347.917999	-0.670729	-0.004414	221
3932.785937	347.613434	-0.668031	-0.004397	223
3934.855876	347.614380	-0.671570	-0.004405	225
3936.925889	347.755371	-0.679967	-0.003844	227
3938.994789	347.735168	-0.683421	-0.004186	229
3941.062375	347.794861	-0.685761	-0.003625	231
3943.128023	347.937988	-0.689211	-0.004089	233
3945.194753	348.085266	-0.690554	-0.003666	235
3947.262671	348.144928	-0.692445	-0.003203	237
3949.331003	348.054596	-0.694690	-0.003204	239
3951.401019	348.056946	-0.696611	-0.003047	241
3953.472936	348.036896	-0.698431	-0.003085	243
3955.543780	347.988403	-0.700721	-0.002730	245
3957.613612	347.904846	-0.702143	-0.003127	247
3959.684495	347.893616	-0.705137	-0.003096	249
3961.753900	347.846802	-0.707567	-0.003217	251
3963.823851	348.973267	-0.705364	-0.100000	253
3965.892473	347.982880	-0.712364	-0.003149	255
3967.961750	347.979187	-0.714621	-0.002905	1
3970.030557	348.055695	-0.716953	-0.002720	3
3972.099268	348.119385	-0.719013	-0.002714	5
3974.167756	348.132629	-0.720360	-0.002549	7
3976.235633	349.035339	-0.717177	-0.100000	9
3978.302655	348.030212	-0.724144	-0.002227	11
3980.370221	347.920258	-0.725861	-0.002211	13
3982.437548	347.809601	-0.727849	-0.002353	15
3984.506609	347.677185	-0.729629	-0.002281	17
3986.576352	347.722443	-0.732451	-0.002171	19
3988.646537	347.706421	-0.733592	-0.002339	21
3990.717320	348.074890	-0.724142	-0.100000	23
3992.788349	347.666870	-0.733383	-0.002725	25
3994.858650	167.804108	0.740112	0.002412	27
3996.928922	347.666199	-0.737960	-0.002546	29
3998.997871	347.880676	-0.745617	-0.001711	31
4001.066762	348.020142	-0.746888	-0.001832	33
4003.136197	348.350006	-0.732311	-0.100000	35
4005.205193	347.801331	-0.737456	-0.001810	37
4007.274861	348.438538	-0.730511	-0.100000	39
4009.343479	349.256409	-0.756086	0.100000	41
4011.412421	168.819794	0.749610	0.100000	43
4013.481372	167.679596	0.760308	0.001888	45
4015.549468	167.693375	0.764269	0.002326	47
4017.617948	167.755020	0.766171	0.001890	49
4019.685003	167.891037	0.767543	0.001783	51
4021.752353	167.996933	0.768187	0.001619	53
4023.820031	348.025879	-0.769329	-0.001733	55
4025.888615	347.962341	-0.771864	-0.001800	57
4027.958057	348.137787	-0.759665	-0.100000	59
4030.027530	347.929108	-0.775768	-0.001171	61
4032.097600	347.868011	-0.779800	-0.001692	63
4034.167848	167.876526	0.782084	0.001398	65
4036.237713	347.883392	-0.783750	-0.001353	67
4038.307333	167.818344	0.785598	0.001643	69
4040.377738	167.881241	0.787528	0.001650	71
4042.447081	167.911240	0.788519	0.001487	73
4044.516449	167.889633	0.790469	0.001278	75
4046.585364	167.937210	0.792626	0.001289	77
4048.654216	167.971298	0.794969	0.001249	79
4050.722665	167.891571	0.797610	0.001178	81
4052.790935	167.918945	0.800325	0.001400	83
4054.859056	167.897095	0.801550	0.000864	85
4056.927405	167.818619	0.802862	0.000995	87
4058.995621	347.701569	-0.804231	-0.001280	89
4061.064049	167.620529	0.805724	0.001156	91
4063.133090	167.547058	0.808125	0.001491	93
4065.203018	167.576279	0.810455	0.001605	95
4067.272998	167.617920	0.813318	0.001490	97
4069.343390	167.617233	0.813258	0.001451	99
4071.413793	167.647339	0.814398	0.001263	101
4073.484005	167.639633	0.816406	0.001558	103
4075.553598	167.622681	0.818383	0.001223	105
4077.623337	167.612717	0.821295	0.001153	107
4079.692650	167.672836	0.824926	0.001389	109
4081.761991	167.640793	0.827099	0.001067	111
4083.831298	167.598862	0.829771	0.001133	113
4085.900260	167.606354	0.832313	0.000969	115
4087.969100	167.622559	0.835092	0.001249	117
4090.037904	167.614182	0.836068	0.001083	119
4092.106273	167.577499	0.837562	0.000929	121
4094.174376	167.624969	0.839031	0.001259	123
4096.242254	167.738525	0.840383	0.000839	125
4098.310601	167.716736	0.841532	0.001036	127
4100.378395	167.759766	0.842639	0.001175	129
4102.446769	167.790833	0.843136	0.000757	131
4104.515281	167.717941	0.844113	0.000669	133
4106.584516	167.737839	0.845837	0.000583	135
4108.654298	167.707001	0.848327	0.000605	137
4110.724016	167.673264	0.850281	0.000673	139
4112.793927	167.662979	0.853866	0.000584	141
4114.863599	167.728058	0.855690	0.000728	143
4116.933249	167.708344	0.856313	0.000656	145
4119.002744	167.758026	0.856746	0.000215	147
4121.071282	347.756256	-0.856390	-0.000251	149
4123.140437	347.756592	-0.855888	-0.000234	151
4125.209149	347.806885	-0.854959	-0.000256	153
4127.277599	347.768707	-0.854154	-0.000366	155
4129.345258	347.776062	-0.853682	-0.000343	157
4131.413323	347.726593	-0.853571	-0.000463	159
4133.481103	347.676392	-0.852528	-0.000648	161
4135.549220	347.594879	-0.851650	-0.000643	163
4137.618131	347.555176	-0.849432	0.000004	165
4139.685741	347.527649	-0.849450	-0.000664	167
4141.755301	347.515778	-0.849018	-0.000644	169
4143.824258	347.511353	-0.846481	-0.000517	171
4145.893417	347.501648	-0.845662	-0.000920	173
4147.962585	347.522461	-0.845599	-0.000764	175
4150.031997	347.483795	-0.844905	-0.001088	177
4152.101472	347.507935	-0.844375	-0.000793	179
4154.171138	346.579010	-0.824118	-0.002570	181
4156.240185	346.554016	-0.826024	-0.002360	183
4158.309380	347.502930	-0.838628	-0.001152	185
4160.377825	347.383179	-0.831171	-0.001425	187
4162.446535	347.435120	-0.836448	-0.001259	189
4164.515058	346.528076	-0.821546	-0.003115	191
4166.583330	347.501465	-0.836540	-0.001335	193
4168.651361	347.515381	-0.835369	-0.001460	195
4170.719324	347.517242	-0.833050	-0.000708	197
4172.787216	347.473145	-0.834321	-0.001084	199
4174.855062	347.542938	-0.835035	-0.001037	201
4176.923113	347.562622	-0.835085	-0.000876	203
4178.990876	347.632721	-0.833817	-0.001210	205
4181.058592	347.672241	-0.830954	-0.001062	207
4183.127117	347.529694	-0.828391	-0.001177	209
4185.195522	347.502747	-0.827510	-0.001280	211
