crossing time (s)	slope (V/s)	crossing number
6129.717451	1.587729	3046
6130.732766	2.254190	3047
6131.799546	1.765584	3048
6132.808931	1.809546	3049
6133.869506	2.152231	3050
6134.866240	1.942027	3051
6135.934830	1.822042	3052
6136.945175	1.803422	3053
6138.017970	1.842552	3054
6139.005112	2.114730	3055
6140.082629	2.303865	3056
6141.083866	1.692069	3057
6142.156191	1.618101	3058
6143.144424	2.176438	3059
6144.222605	2.218581	3060
6145.221118	1.623389	3061
6146.288901	1.673432	3062
6147.283649	2.183030	3063
6148.360674	2.227188	3064
6149.353630	1.619160	3065
6150.426282	1.886067	3066
6151.424095	2.192753	3067
6152.502225	2.215966	3068
6153.490063	2.037083	3069
6154.566886	2.103616	3070
6155.567579	2.048746	3071
6156.640876	2.120821	3072
6157.634681	2.226410	3073
6158.701325	2.212658	3074
6159.706661	1.862801	3075
6160.775756	2.076095	3076
6161.781388	2.146812	3077
6162.836214	2.189815	3078
6163.848453	2.075349	3079
6164.909317	2.284707	3080
6165.918522	1.873645	3081
6166.972219	2.146164	3082
6167.989640	2.183918	3083
6169.045683	2.386367	3084
6170.057901	2.228016	3085
6171.114082	2.206662	3086
6172.129650	2.183172	3087
6173.187707	2.301341	3088
6174.197294	2.474700	3089
6175.254601	2.311612	3090
6176.265930	2.142473	3091
6177.328123	2.215407	3092
6178.335379	2.370806	3093
6179.396340	2.415648	3094
6180.400597	2.225415	3095
6181.469163	2.265540	3096
6182.472711	2.266322	3097
6183.536858	2.543073	3098
6184.539089	2.378095	3099
6185.607675	2.310135	3100
6186.609993	2.184344	3101
6187.676639	2.533644	3102
6188.681466	2.446609	3103
6189.745521	2.342293	3104
6190.750874	2.305056	3105
6191.815371	2.488531	3106
6192.821162	2.535939	3107
6193.881592	2.541918	3108
6194.890831	2.319689	3109
6195.952470	2.423276	3110
6196.962941	2.553586	3111
6198.018634	2.694279	3112
6199.031451	2.419921	3113
6200.088266	2.494595	3114
6201.103075	2.513871	3115
6202.156123	2.671034	3116
6203.170982	2.550445	3117
6204.226179	2.615440	3118
6205.242754	2.550833	3119
6206.296448	2.484913	3120
6207.310795	2.578394	3121
6208.367761	2.543538	3122
6209.380727	2.620916	3123
6210.436795	2.646554	3124
6211.446525	2.544405	3125
6212.508977	2.571727	3126
6213.516914	2.631981	3127
6214.578207	2.756298	3128
6215.583877	2.594688	3129
6216.648860	2.549301	3130
6217.652141	2.670010	3131
6218.718644	2.718087	3132
6219.721583	2.700207	3133
6220.787965	2.798076	3134
6221.791170	2.623789	3135
6222.858393	2.682536	3136
6223.860605	2.812174	3137
6224.928720	2.841306	3138
6225.930098	2.572231	3139
6226.995874	2.637788	3140
6227.999773	2.803020	3141
6229.066536	2.937440	3142
6230.068530	2.656255	3143
6231.135022	2.712664	3144
6232.139984	2.799144	3145
6233.203875	2.904181	3146
6234.209313	2.883616	3147
6235.271707	2.829697	3148
6236.280972	2.756024	3149
6237.339981	2.913842	3150
6238.351573	2.776809	3151
6239.407576	2.880082	3152
6240.420377	2.708387	3153
6241.477315	3.001788	3154
6242.491808	2.710284	3155
6243.544255	2.956308	3156
6244.561100	2.920306	3157
