time (s)	magX	magY	magZ
6130.178960	205.844543	-93.278786	217.767380
6130.183236	205.786087	-92.635887	216.598480
6130.186528	205.669189	-92.460548	216.423157
6130.189807	205.493851	-92.168327	215.838699
6130.193194	205.318527	-91.876099	216.247803
6130.196059	205.260086	-92.168327	215.137344
6130.199389	205.552322	-92.168327	214.786667
6130.202743	205.026291	-92.109879	213.500885
6130.206074	205.376984	-91.992989	214.260681
6130.208959	204.850952	-91.876099	213.968445
6130.212299	204.734070	-92.168327	213.442413
6130.215631	204.909424	-91.992989	213.676208
6130.218962	204.500290	-92.168327	213.325546
6130.222298	204.266495	-92.869667	213.909988
6130.225626	204.441864	-92.518997	213.851547
6130.228967	204.734070	-92.460548	214.552902
6130.232293	204.500290	-93.278786	214.143784
6130.235646	204.967850	-93.220345	214.786667
6130.238958	204.208069	-92.928108	215.020462
6130.242291	203.974289	-93.454124	214.845108
6130.245631	203.915833	-93.454124	216.364700
6130.248958	204.208069	-93.045006	215.195801
6130.252287	205.376984	-93.746346	216.423157
6130.255627	204.850952	-94.097015	216.540024
6130.258953	205.026291	-93.512566	217.299820
6130.262290	204.558731	-93.629456	216.949158
6130.265618	204.967850	-93.571014	216.306259
6130.268954	204.558731	-93.687904	217.124481
6130.272351	205.143188	-93.161896	218.351837
6130.275622	205.435425	-93.337234	218.059616
6130.278970	205.552322	-93.687904	218.234940
6130.283584	206.195206	-93.571014	219.053192
6130.286470	206.487442	-93.337234	219.579193
6130.289822	206.604309	-93.804794	219.871429
6130.293166	206.428986	-93.629456	219.871429
6130.296550	207.597900	-93.746346	220.631226
6130.299388	207.071869	-93.980125	220.222092
6130.302733	207.422562	-93.454124	221.566345
6130.306044	208.182358	-93.746346	221.975449
6130.309396	208.065460	-93.687904	223.495026
6130.312291	208.883698	-94.213905	223.962585
6130.315653	209.059021	-94.097015	224.956161
6130.318948	209.468155	-95.090591	226.417297
6130.322284	209.351257	-94.506142	226.884872
6130.325617	209.409714	-95.207481	227.469330
6130.328949	210.695511	-95.499710	230.099365
6130.332283	210.637039	-95.791939	232.086487
6130.335622	210.987732	-96.610168	232.261826
6130.338952	210.812408	-96.960846	234.248978
6130.342278	211.922867	-97.136177	236.177689
6130.345614	212.156631	-97.895966	238.340164
6130.348944	213.208649	-98.597313	240.268845
6130.352277	213.442413	-99.006424	242.898895
6130.355617	212.799530	-99.883110	243.950912
