time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6130.738135	170.914978	-0.669798	-0.007129	231
6132.805180	170.956802	-0.669103	-0.007484	233
6134.873838	170.674103	-0.666456	-0.007517	235
6136.940250	170.616592	-0.669157	-0.007345	237
6139.011631	170.664108	-0.671043	-0.007139	239
6141.079143	350.463593	0.667089	0.006644	241
6143.149617	170.578720	-0.675753	-0.006916	243
6145.219070	350.732971	0.677669	0.006406	245
6147.287088	170.717590	-0.681408	-0.006546	247
6149.357780	350.797577	0.684561	0.006273	249
6151.425743	170.734512	-0.688835	-0.006341	251
6153.497281	170.711548	-0.690980	-0.005688	253
6155.565733	170.668533	-0.694257	-0.006055	255
6157.638630	170.673676	-0.698186	-0.005600	1
6159.707330	170.620880	-0.701128	-0.005705	3
6161.780327	170.536407	-0.704931	-0.005760	5
6163.850446	170.550476	-0.707938	-0.005157	7
6165.921849	170.545151	-0.712021	-0.005126	9
6167.991353	170.454880	-0.714826	-0.005056	11
6170.062551	170.527649	-0.716496	-0.004706	13
6172.129150	170.659256	-0.719616	-0.005025	15
6174.199253	170.693176	-0.722585	-0.004681	17
6176.266686	170.785126	-0.724783	-0.004486	19
6178.335440	170.816956	-0.727005	-0.004373	21
6180.403826	170.799377	-0.728277	-0.004462	23
6182.472969	170.801849	-0.731490	-0.004550	25
6184.542094	170.833908	-0.734893	-0.003987	27
6186.611825	170.771957	-0.737771	-0.003640	29
6188.682621	350.779633	0.740802	0.003778	31
6190.752129	170.752075	-0.744248	-0.003674	33
6192.822389	170.732742	-0.747228	-0.003849	35
6194.892935	350.754059	0.750065	0.003771	37
6196.963295	170.711380	-0.753655	-0.003953	39
6199.034745	170.769867	-0.757052	-0.003517	41
6201.103931	170.771378	-0.760266	-0.003809	43
6203.174781	170.749908	-0.763882	-0.003176	45
6205.243416	170.789261	-0.767242	-0.003410	47
6207.312734	350.792847	0.769830	0.003194	49
6209.380326	350.734863	0.772745	0.003183	51
6211.448516	350.640198	0.773311	0.003374	53
6213.516459	350.622650	0.776066	0.002912	55
6215.586059	350.628845	0.778997	0.002926	57
6217.653372	350.561066	0.781521	0.003084	59
6219.723971	350.639893	0.783367	0.003024	61
6221.792083	350.607574	0.785619	0.002761	63
6223.862372	350.581329	0.787601	0.002357	65
6225.931466	350.654877	0.789108	0.002254	67
6228.001003	350.604462	0.791926	0.002326	69
6230.071280	350.631165	0.794718	0.002098	71
6232.140462	350.645538	0.799085	0.001867	73
6234.211175	350.658630	0.802032	0.002298	75
6236.281093	350.581146	0.805537	0.001806	77
6238.352057	350.524628	0.809061	0.001701	79
6240.422371	350.503662	0.811510	0.001699	81
6242.493119	350.520020	0.814464	0.001181	83
6244.563027	350.419647	0.815155	0.001782	85
6246.633370	350.509338	0.816665	0.001404	87
6248.701728	350.494934	0.819308	0.001442	89
6250.771186	350.572052	0.821510	0.001461	91
6252.839148	350.627655	0.825129	0.001208	93
6254.908365	350.629089	0.826524	0.001128	95
6256.977057	350.694946	0.829341	0.001010	97
6259.046066	350.675110	0.830070	0.001126	99
6261.115040	350.734070	0.832451	0.001309	101
6263.184001	350.658478	0.835442	0.001221	103
6265.254389	350.734406	0.839172	0.000940	105
6267.323614	350.660004	0.842979	0.001123	107
6269.393713	350.668335	0.844985	0.000949	109
6271.463784	350.660858	0.848296	0.000649	111
6273.533665	350.621613	0.850967	0.000965	113
6275.603963	350.667755	0.853841	0.000687	115
6277.673738	350.635071	0.855940	0.000842	117
6279.744238	350.654633	0.858410	0.000697	119
6281.812880	350.673096	0.859815	0.001168	121
6283.881605	350.626282	0.862331	0.000871	123
6285.950216	350.648041	0.864997	0.000655	125
6288.018926	350.606934	0.866120	0.000754	127
6290.086806	350.545288	0.868609	0.000927	129
6292.155845	350.544342	0.870722	0.000745	131
6294.224396	350.495178	0.872251	0.000837	133
6296.293837	350.470093	0.875564	0.000477	135
6298.362658	350.447144	0.876310	0.000580	137
6300.431979	350.506989	0.876612	0.000686	139
6302.500863	350.518677	0.883095	0.000126	141
6304.569428	350.609863	0.882425	0.000170	143
6306.638844	350.574615	0.881809	0.000081	145
6308.707912	170.557327	-0.881220	-0.000234	147
6310.777172	350.535583	0.880863	-0.000047	149
6312.845947	170.532959	-0.879510	-0.000009	151
6314.915565	170.555405	-0.877956	-0.000330	153
6316.985404	170.470551	-0.877987	-0.000392	155
6319.054701	350.485870	0.878096	-0.000055	157
6321.123780	170.471924	-0.876883	-0.000086	159
6323.192689	170.413498	-0.875879	-0.000133	161
6325.261518	170.457520	-0.874074	-0.000008	163
6327.330625	170.409103	-0.872766	0.000247	165
6329.398545	170.515167	-0.872677	-0.000258	167
6331.466175	170.540878	-0.871284	-0.000131	169
6333.534325	170.593216	-0.870144	-0.000364	171
6335.602806	170.595306	-0.868230	-0.000106	173
6337.671026	350.598877	0.866369	0.000127	175
6339.739725	170.602631	-0.864767	-0.000265	177
6341.808131	170.604904	-0.861918	-0.000323	179
6343.877392	350.538239	0.860565	0.000207	181
6345.946070	350.587036	0.858801	0.000346	183
6348.014870	170.581635	-0.857508	-0.000474	185
6350.084276	170.597595	-0.857212	-0.000295	187
6352.153142	170.545746	-0.858411	-0.000752	189
6354.222343	170.512878	-0.856899	-0.000410	191
6356.291168	170.589630	-0.856049	-0.000544	193
6358.359982	350.563599	0.857195	0.000453	195
