time (s)	det(V)
6130.174548	0.017586	
6130.176122	0.016051	
6130.177773	0.016724	
6130.179380	0.015701	
6130.180982	0.014919	
6130.182610	0.014190	
6130.184123	0.014045	
6130.185756	0.012289	
6130.187233	0.011012	
6130.188864	0.011286	
6130.190339	0.010295	
6130.191952	0.008542	
6130.193468	0.008776	
6130.195053	0.008345	
6130.196581	0.007660	
6130.198220	0.006480	
6130.199765	0.007044	
6130.201382	0.006605	
6130.202943	0.004615	
6130.204534	0.004305	
6130.206129	0.003906	
6130.207673	0.003273	
6130.209295	0.002818	
6130.210914	0.002685	
6130.212580	0.002701	
6130.214166	0.001360	
6130.215833	-0.000316	
6130.217400	-0.001238	
6130.219075	-0.002004	
6130.220649	-0.002789	
6130.222335	-0.002910	
6130.223886	-0.003128	
6130.225571	-0.004143	
6130.227100	-0.003825	
6130.228836	-0.003265	
6130.230325	-0.003615	
6130.232074	-0.003559	
6130.233553	-0.003551	
6130.235316	-0.003615	
6130.236799	-0.004348	
6130.238569	-0.004558	
6130.240063	-0.004231	
6130.241838	-0.004469	
6130.243329	-0.004022	
6130.245100	-0.004070	
6130.246606	-0.003402	
6130.248350	-0.003204	
6130.249859	-0.003587	
6130.251580	-0.003144	
6130.253114	-0.003692	
6130.254812	-0.003667	
6130.256348	-0.003829	
6130.258037	-0.004135	
6130.259601	-0.004179	
6130.261247	-0.003192	
6130.262822	-0.002838	
6130.264481	-0.002983	
6130.266084	-0.002946	
6130.267695	-0.002608	
6130.269325	-0.003365	
6130.270952	-0.003970	
6130.272593	-0.003567	
6130.274196	-0.004087	
6130.275836	-0.004953	
6130.277426	-0.004445	
6130.279115	-0.003893	
6130.280676	-0.004320	
6130.282367	-0.004050	
6130.283839	-0.004006	
6130.285408	-0.004590	
6130.286888	-0.005480	
6130.288504	-0.006137	
6130.289994	-0.006443	
6130.291568	-0.006959	
6130.293127	-0.008123	
6130.294659	-0.007450	
6130.296259	-0.007776	
6130.297745	-0.008816	
6130.299364	-0.008949	
6130.300893	-0.009694	
6130.302570	-0.010991	
6130.304047	-0.012256	
6130.305762	-0.012320	
6130.307240	-0.013339	
6130.308947	-0.014983	
6130.310434	-0.015188	
6130.312131	-0.015164	
6130.313622	-0.016248	
6130.315390	-0.017122	
6130.316865	-0.017537	
6130.318620	-0.019023	
6130.320097	-0.019914	
6130.321875	-0.020913	
6130.323352	-0.021058	
6130.325081	-0.023032	
6130.326588	-0.023696	
6130.328330	-0.024075	
6130.329851	-0.024599	
6130.331570	-0.025944	
6130.333097	-0.026311	
6130.334796	-0.026971	
6130.336348	-0.029054	
6130.338042	-0.029674	
6130.339610	-0.030166	
6130.341279	-0.031318	
6130.342865	-0.032571	
6130.344522	-0.032269	
6130.346115	-0.032901	
6130.347767	-0.033779	
6130.349353	-0.034081	
6130.350983	-0.034512	
6130.352613	-0.035846	
6130.354213	-0.036700	
6130.355886	-0.037268	
6130.357459	-0.037650	
6130.359145	-0.038307	
6130.360722	-0.038706	
6130.362385	-0.038275	
6130.363947	-0.038903	
6130.365641	-0.039040	
6130.367180	-0.039096	
6130.368897	-0.039910	
6130.370432	-0.040555	
6130.372132	-0.040805	
6130.373628	-0.040869	
6130.375401	-0.042078	
6130.376883	-0.041393	
6130.378665	-0.041167	
6130.380160	-0.040627	
6130.381928	-0.041119	
6130.383407	-0.041574	
6130.385165	-0.041856	
6130.386655	-0.042339	
6130.388412	-0.042339	
6130.389914	-0.042307	
6130.391474	-0.043040	
6130.393027	-0.043169	
6130.394516	-0.042742	
6130.396161	-0.042146	
6130.397650	-0.043270	
6130.399284	-0.043161	
6130.400773	-0.042641	
6130.402394	-0.043661	
6130.403867	-0.044462	
6130.405553	-0.045228	
6130.407032	-0.045058	
6130.408734	-0.046138	
6130.410235	-0.046662	
6130.411940	-0.046174	
6130.413430	-0.046658	
6130.415116	-0.047254	
6130.416612	-0.048080	
6130.418330	-0.048773	
6130.419849	-0.050090	
6130.421582	-0.051040	
6130.423109	-0.052225	
6130.424807	-0.052829	
6130.426354	-0.054626	
6130.428062	-0.054376	
6130.429632	-0.056104	
6130.431314	-0.057115	
6130.432880	-0.058493	
6130.434540	-0.059460	
6130.436120	-0.060906	
6130.437771	-0.063254	
6130.439386	-0.063851	
6130.441000	-0.065913	
6130.442620	-0.068117	
6130.444249	-0.068854	
6130.445882	-0.069901	
6130.447480	-0.071504	
6130.449134	-0.073176	
6130.450722	-0.074401	
6130.452412	-0.076882	
6130.453973	-0.079005	
6130.455674	-0.080874	
6130.457220	-0.082014	
6130.458936	-0.084931	
6130.460490	-0.085628	
6130.462197	-0.087215	
6130.463722	-0.088415	
6130.465475	-0.090272	
6130.466978	-0.091739	
6130.468739	-0.093801	
6130.470218	-0.096270	
6130.472005	-0.097193	
6130.473487	-0.098837	
6130.475260	-0.100875	
6130.476752	-0.102108	
6130.478521	-0.103042	
6130.480004	-0.104416	
6130.481768	-0.106019	
6130.483269	-0.106809	
6130.485005	-0.108508	
6130.486523	-0.109834	
6130.488223	-0.111606	
6130.489752	-0.111892	
6130.491482	-0.113790	
6130.493038	-0.114998	
6130.494542	-0.115091	
6130.496205	-0.116098	
6130.497686	-0.116614	
6130.499321	-0.117250	
6130.500842	-0.118104	
6130.502472	-0.118974	
6130.503961	-0.119631	
6130.505615	-0.120843	
6130.507091	-0.120831	
6130.508819	-0.121846	
6130.510302	-0.122020	
6130.512003	-0.121818	
6130.513484	-0.121629	
6130.515202	-0.122725	
6130.516675	-0.122140	
6130.518360	-0.123357	
6130.519868	-0.124501	
6130.521514	-0.124517	
6130.523063	-0.124723	
6130.524763	-0.125573	
6130.526323	-0.125738	
6130.528019	-0.125854	
6130.529574	-0.126020	
6130.531242	-0.126604	
6130.532819	-0.126874	
6130.534469	-0.127276	
6130.536044	-0.128767	
6130.537671	-0.129013	
6130.539294	-0.129363	
6130.540922	-0.130572	
6130.542559	-0.131679	
6130.544170	-0.131543	
6130.545804	-0.132260	
6130.547395	-0.132864	
6130.549081	-0.133899	
6130.550636	-0.134326	
6130.552348	-0.135341	
6130.553900	-0.137013	
6130.555605	-0.137597	
6130.557158	-0.138705	
6130.558849	-0.140957	
6130.560376	-0.141335	
6130.562124	-0.142153	
6130.563614	-0.143499	
6130.565366	-0.144627	
6130.566848	-0.145150	
6130.568641	-0.146371	
6130.570123	-0.148538	
6130.571904	-0.150774	
6130.573387	-0.152039	
6130.575141	-0.154407	
6130.576640	-0.155386	
6130.578395	-0.154959	
6130.579897	-0.155805	
6130.581620	-0.157529	
6130.583143	-0.158101	
6130.584875	-0.160277	
6130.586405	-0.162254	
6130.588100	-0.163390	
6130.589660	-0.163983	
6130.591357	-0.165187	
6130.592917	-0.166391	
6130.594603	-0.167225	
6130.596197	-0.167374	
6130.597693	-0.167584	
6130.599315	-0.167987	
6130.600835	-0.167959	
6130.602481	-0.169993	
6130.603960	-0.170524	
6130.605616	-0.170851	
6130.607086	-0.170661	
6130.608727	-0.170412	
6130.610205	-0.169973	
6130.611846	-0.168547	
6130.613322	-0.168353	
6130.615009	-0.168804	
6130.616514	-0.167209	
6130.618156	-0.165803	
6130.619706	-0.165864	
6130.621319	-0.165376	
6130.622897	-0.164124	
6130.624469	-0.162947	
6130.626064	-0.161835	
6130.627714	-0.159020	
6130.629319	-0.157336	
6130.630961	-0.156131	
6130.632565	-0.155148	
6130.634174	-0.153118	
6130.635845	-0.151189	
6130.637415	-0.149674	
6130.639082	-0.147515	
6130.640647	-0.145819	
6130.642347	-0.144526	
6130.643914	-0.141976	
6130.645619	-0.139144	
6130.647182	-0.137267	
6130.648897	-0.135458	
6130.650443	-0.134076	
6130.652171	-0.132167	
6130.653673	-0.129689	
6130.655439	-0.127716	
6130.656922	-0.125013	
6130.658688	-0.123317	
6130.660176	-0.120859	
6130.661950	-0.118289	
6130.663425	-0.116593	
6130.665193	-0.114201	
6130.666671	-0.112476	
6130.668428	-0.110543	
6130.669923	-0.109596	
6130.671660	-0.107099	
6130.673176	-0.104404	
6130.674897	-0.102772	
6130.676431	-0.101129	
6130.678145	-0.098929	
6130.679693	-0.097439	
6130.681398	-0.095332	
6130.682947	-0.093475	
6130.684635	-0.090421	
6130.686199	-0.089326	
6130.687889	-0.087557	
6130.689474	-0.085027	
6130.691140	-0.082433	
6130.692739	-0.080165	
6130.694383	-0.076931	
6130.695990	-0.075219	
6130.697626	-0.074518	
6130.699248	-0.073470	
6130.700774	-0.071138	
6130.702412	-0.068999	
6130.703885	-0.066211	
6130.705529	-0.063714	
6130.707005	-0.062050	
6130.708633	-0.060600	
6130.710118	-0.058005	
6130.711738	-0.055580	
6130.713271	-0.053051	
6130.714933	-0.050315	
6130.716469	-0.047645	
6130.718085	-0.045187	
6130.719641	-0.043628	
6130.721248	-0.040406	
6130.722846	-0.037699	
6130.724427	-0.035020	
6130.726009	-0.032788	
6130.727557	-0.029300	
6130.729210	-0.025787	
6130.730814	-0.022335	
6130.732469	-0.018331	
6130.734052	-0.014427	
6130.735731	-0.010890	
6130.737289	-0.007760	
6130.738970	-0.003772	
6130.740523	0.000212	
6130.742206	0.003253	
6130.743745	0.007455	
6130.745451	0.011310	
6130.746956	0.014589	
6130.748717	0.018376	
6130.750193	0.022263	
6130.751955	0.025981	
6130.753428	0.028942	
6130.755203	0.034984	
6130.756680	0.039029	
6130.758431	0.041031	
6130.759935	0.044874	
6130.761677	0.049659	
6130.763183	0.054320	
6130.764924	0.057317	
6130.766444	0.060032	
6130.768164	0.063883	
6130.769702	0.064762	
6130.771407	0.067847	
6130.772962	0.070164	
6130.774658	0.072746	
6130.776224	0.073874	
6130.777909	0.077588	
6130.779478	0.081112	
6130.781134	0.082152	
6130.782703	0.084327	
6130.784357	0.086523	
6130.785966	0.088045	
6130.787592	0.089898	
6130.789227	0.091465	
6130.790864	0.092561	
6130.792501	0.094628	
6130.794103	0.095655	
6130.795776	0.098048	
6130.797362	0.099530	
6130.799054	0.101355	
6130.800628	0.103349	
6130.802317	0.103663	
6130.803791	0.105174	
6130.805437	0.106362	
6130.806918	0.107534	
6130.808563	0.108420	
6130.810064	0.110447	
6130.811668	0.112074	
6130.813197	0.114044	
6130.814757	0.114523	
6130.816315	0.116231	
6130.817924	0.118334	
6130.819507	0.118834	
6130.821089	0.121271	
6130.822692	0.123140	
6130.824248	0.123853	
6130.825878	0.125787	
6130.827374	0.127293	
6130.829068	0.129839	
6130.830548	0.131112	
6130.832293	0.133203	
6130.833846	0.135144	
6130.835558	0.136716	
6130.837100	0.138536	
6130.838823	0.140571	
6130.840345	0.141803	
6130.842058	0.143592	
6130.843550	0.145131	
6130.845348	0.148446	
6130.846831	0.150484	
6130.848598	0.152361	
6130.850075	0.153816	
6130.851864	0.155866	
6130.853346	0.157647	
6130.855111	0.159359	
6130.856604	0.162013	
6130.858381	0.162916	
6130.859884	0.164825	
6130.861647	0.166892	
6130.863152	0.168459	
6130.864893	0.169732	
6130.866417	0.171983	
6130.868110	0.173373	
6130.869659	0.174235	
6130.871373	0.175770	
6130.872928	0.176821	
6130.874615	0.177289	
6130.876176	0.178570	
6130.877845	0.179718	
6130.879423	0.180721	
6130.881087	0.180717	
6130.882689	0.181571	
6130.884326	0.181635	
6130.885951	0.182107	
6130.887586	0.180983	
6130.889207	0.181293	
6130.890821	0.180946	
6130.892449	0.180125	
6130.894050	0.179835	
6130.895736	0.179960	
6130.897308	0.179408	
6130.899019	0.177990	
6130.900585	0.176773	
6130.902282	0.174485	
6130.903846	0.173506	
6130.905536	0.171432	
6130.907028	0.169957	
6130.908661	0.168370	
6130.910163	0.167669	
6130.911819	0.165643	
6130.913300	0.164454	
6130.914898	0.162799	
6130.916416	0.160974	
6130.917951	0.159556	
6130.919542	0.156793	
6130.921128	0.154452	
6130.922725	0.152253	
6130.924266	0.150315	
6130.925910	0.148796	
6130.927415	0.146174	
6130.929116	0.144474	
6130.930590	0.143326	
6130.932321	0.141783	
6130.933877	0.139652	
6130.935567	0.137904	
6130.937115	0.135072	
6130.938812	0.133771	
6130.940347	0.132288	
6130.942084	0.130887	
6130.943569	0.129251	
6130.945354	0.128192	
6130.946836	0.127829	
6130.948617	0.125964	
6130.950095	0.124667	
6130.951866	0.123575	
6130.953346	0.122387	
6130.955148	0.121118	
6130.956620	0.120421	
6130.958400	0.119176	
6130.959892	0.118286	
6130.961618	0.118230	
6130.963141	0.117525	
6130.964858	0.116731	
6130.966385	0.115716	
6130.968108	0.114733	
6130.969653	0.115184	
6130.971366	0.114290	
6130.972915	0.114044	
6130.974600	0.112952	
6130.976167	0.112747	
6130.977842	0.112679	
6130.979416	0.111905	
6130.981070	0.112098	
6130.982674	0.111897	
6130.984325	0.111063	
6130.985932	0.110809	
6130.987569	0.109593	
6130.989181	0.109718	
6130.990796	0.109077	
6130.992470	0.108449	
6130.994060	0.107546	
6130.995740	0.107430	
6130.997315	0.107595	
6130.999002	0.106253	
6131.000582	0.106620	
6131.002281	0.105440	
6131.003842	0.104163	
6131.005541	0.103011	
6131.007024	0.102797	
6131.008601	0.101415	
6131.010098	0.100751	
6131.011696	0.100050	
6131.013203	0.099744	
6131.014790	0.098563	
6131.016341	0.097629	
6131.017844	0.096444	
6131.019492	0.094289	
6131.020982	0.093052	
6131.022606	0.092259	
6131.024134	0.089749	
6131.025810	0.088086	
6131.027279	0.088142	
6131.029020	0.086635	
6131.030494	0.085451	
6131.032205	0.084259	
6131.033685	0.081556	
6131.035391	0.080424	
6131.036872	0.078865	
6131.038639	0.076315	
6131.040126	0.074659	
6131.041908	0.072746	
6131.043386	0.071215	
6131.045171	0.070615	
6131.046654	0.068439	
6131.048406	0.067827	
6131.049902	0.066321	
6131.051640	0.064508	
6131.053156	0.063102	
6131.054901	0.060737	
6131.056412	0.059130	
