time (s)	coil I (A)	last det (V)	int current (uC)
4385.734637	1.047850	0.672740	473.628326
4385.735540	1.468286	0.672740	1799.490601
4385.736416	1.465210	0.672740	3083.014648
4385.737431	1.428464	0.672740	4532.905762
4385.738366	1.391580	0.672740	5834.032715
4385.739249	1.359888	0.672740	7034.813477
4385.740243	1.325446	0.672740	8352.306641
4385.741250	1.291186	0.672740	9652.531250
4385.742132	1.262252	0.672740	10765.837891
4385.742998	1.234706	0.672740	11835.092773
4385.744087	1.203296	0.672740	13145.482422
4385.745014	1.175541	0.672740	14235.208984
4385.745885	1.150521	0.672740	15237.312500
4385.746864	1.126318	0.672740	16339.978516
4385.747883	1.102430	0.672740	17463.355469
4385.748777	1.077400	0.672740	18426.550781
4385.749652	0.329524	0.672740	18714.884766
4385.750743	0.098232	0.672740	18822.056641
4385.751667	0.098112	0.672740	18912.710937
4385.752528	0.098060	0.672740	18997.140625
4385.753597	0.098167	0.672740	19102.080078
4385.754602	0.098031	0.672740	19200.601562
4385.755489	0.098101	0.672740	19287.617187
4385.756462	0.098137	0.672740	19383.105469
4385.757514	0.098104	0.672740	19486.310547
4385.758423	0.097958	0.672740	19575.353516
4386.662847	0.989385	0.627462	418.509766
4386.663799	1.463291	0.627462	1811.562866
4386.664762	1.461570	0.627462	3219.054687
4386.665644	1.428904	0.627462	4479.347656
4386.666587	1.392964	0.627462	5792.912598
4386.667654	1.354409	0.627462	7238.067383
4386.668557	1.322754	0.627462	8432.513672
4386.669424	1.293036	0.627462	9553.576172
4386.670496	1.258751	0.627462	10902.957031
4386.671443	1.229447	0.627462	12067.243164
4386.672324	1.202732	0.627462	13126.849609
4386.673257	1.175676	0.627462	14223.755859
4386.674306	1.145885	0.627462	15425.789062
4386.675192	1.124542	0.627462	16422.132812
4386.676052	1.104324	0.627462	17371.851562
4386.677109	1.028082	0.627462	18458.535156
4386.678057	0.216218	0.627462	18663.509766
4386.678929	0.097899	0.627462	18748.876953
4386.679954	0.098093	0.627462	18849.421875
4386.680988	0.098027	0.627462	18950.781250
4386.681878	0.098082	0.627462	19038.074219
4386.682820	0.098071	0.627462	19130.457031
4386.683872	0.098075	0.627462	19233.632812
4386.684805	0.097998	0.627462	19325.064453
4386.685667	0.098042	0.627462	19409.576172
4386.686730	0.098247	0.627462	19514.013672
4387.813390	1.062968	0.715215	536.798584
4387.814386	1.473603	0.715215	2004.507690
4387.815285	1.459211	0.715215	3316.338867
4387.816267	1.422883	0.715215	4713.610352
4387.817338	1.382475	0.715215	6194.241699
4387.818250	1.349052	0.715215	7424.576660
4387.819122	1.317810	0.715215	8573.707031
4387.820230	1.281947	0.715215	9994.104492
4387.821195	1.251248	0.715215	11201.558594
4387.822056	1.224664	0.715215	12255.994141
4387.823121	1.193200	0.715215	13526.751953
4387.824164	1.163042	0.715215	14739.804687
4387.825049	1.137554	0.715215	15746.540039
4387.825976	1.117551	0.715215	16782.509766
4387.827046	1.090785	0.715215	17949.650391
4387.827992	0.728558	0.715215	18638.867187
4387.828853	0.113716	0.715215	18736.777344
4387.829908	0.098079	0.715215	18840.250000
4387.830930	0.098075	0.715215	18940.482422
4387.831805	0.098057	0.715215	19026.281250
4387.832748	0.098145	0.715215	19118.832031
4387.833805	0.098104	0.715215	19222.527344
4387.834727	0.098009	0.715215	19312.892578
4387.835592	0.098137	0.715215	19397.781250
4387.836645	0.098214	0.715215	19501.201172
4387.837649	0.098137	0.715215	19599.730469
4388.771768	0.984979	0.669328	416.646210
4388.772750	1.464056	0.669328	1854.349609
4388.773819	1.456663	0.669328	3411.521973
4388.774739	1.422001	0.669328	4719.762695
4388.775607	1.387584	0.669328	5924.185547
4388.776709	1.348828	0.669328	7410.594238
4388.777709	1.314316	0.669328	8724.910156
4388.778606	1.285027	0.669328	9877.579102
4388.779600	1.253049	0.669328	11123.110352
4388.780666	1.220570	0.669328	12424.238281
4388.781554	1.193533	0.669328	13484.095703
4388.782417	1.167067	0.669328	14491.274414
4388.783527	1.137165	0.669328	15753.528320
4388.784487	1.116925	0.669328	16825.777344
4388.785358	1.094337	0.669328	17778.945312
4388.786411	0.753146	0.669328	18572.007812
4388.787431	0.107527	0.669328	18681.685547
4388.788311	0.097950	0.669328	18767.882812
4388.789234	0.098031	0.669328	18858.365234
4388.790300	0.098086	0.669328	18962.925781
4388.791238	0.098016	0.669328	19054.865234
4388.792094	0.098009	0.669328	19138.761719
4388.793130	0.098163	0.669328	19240.458984
4388.794149	0.098123	0.669328	19340.445312
4388.795037	0.098071	0.669328	19427.533203
4388.795972	0.098075	0.669328	19519.232422
4389.887014	1.082926	0.739316	563.121521
4389.887946	1.472033	0.739316	1935.055908
4389.888813	1.460629	0.739316	3201.420898
4389.889900	1.421393	0.739316	4746.474609
4389.890907	1.383007	0.739316	6139.162109
4389.891785	1.351110	0.739316	7325.436523
4389.892783	1.317323	0.739316	8640.125000
4389.893840	1.281874	0.739316	9995.065430
4389.894737	1.252925	0.739316	11118.939453
4389.895603	1.224814	0.739316	12179.628906
4389.896710	1.193203	0.739316	13500.504883
4389.897683	1.165115	0.739316	14634.161133
4389.898548	1.140282	0.739316	15620.504883
4389.899601	1.116727	0.739316	16796.417969
4389.900663	1.090547	0.739316	17954.578125
4389.901543	0.778271	0.739316	18639.457031
4389.902484	0.119220	0.739316	18751.642578
4389.903547	0.098214	0.739316	18856.044922
4389.904485	0.098101	0.739316	18948.062500
4389.905353	0.098156	0.739316	19033.261719
4389.906408	0.098185	0.739316	19136.847656
4389.907426	0.098031	0.739316	19236.642578
4389.908317	0.097991	0.739316	19323.953125
4389.909279	0.098148	0.739316	19418.371094
4389.910330	0.098141	0.739316	19521.517578
4389.911252	0.098024	0.739316	19611.894531
4390.867914	1.011574	0.790577	442.057648
4390.868792	1.464412	0.790577	1727.811035
4390.869791	1.461841	0.790577	3188.189941
4390.870793	1.424528	0.790577	4615.566406
4390.871688	1.390580	0.790577	5860.135254
4390.872552	1.357548	0.790577	7033.056641
4390.873683	1.319934	0.790577	8525.902344
4390.874602	1.288671	0.790577	9710.190430
4390.875490	1.260103	0.790577	10829.161133
4390.876504	1.229344	0.790577	12075.716797
4390.877499	1.199033	0.790577	13268.754883
4390.878394	1.172721	0.790577	14318.339844
4390.879260	1.147050	0.790577	15311.684570
4390.880373	1.122092	0.790577	16560.574219
4390.881267	1.100061	0.790577	17544.029297
4390.882129	1.016374	0.790577	18420.144531
4390.883235	0.181143	0.790577	18620.488281
4390.884190	0.097932	0.790577	18714.013672
4390.885063	0.098057	0.790577	18799.617187
4390.886067	0.098207	0.790577	18898.216797
4390.887145	0.098134	0.790577	19004.003906
4390.888027	0.098009	0.790577	19090.447266
4390.888921	0.098119	0.790577	19178.166016
4390.890021	0.098079	0.790577	19286.052734
4390.890977	0.098013	0.790577	19379.751953
4390.891841	0.098035	0.790577	19464.453125
4391.964617	0.995739	0.821643	430.159027
4391.965532	1.462720	0.821643	1768.547729
4391.966604	1.458512	0.821643	3332.072510
4391.967556	1.422887	0.821643	4686.661133
4391.968422	1.389609	0.821643	5890.062988
4391.969465	1.351890	0.821643	7300.083984
4391.970513	1.315591	0.821643	8678.823242
4391.971391	1.285792	0.821643	9807.749023
4391.972345	1.255554	0.821643	11005.547852
4391.973413	1.222357	0.821643	12311.025391
4391.974349	1.194507	0.821643	13429.083984
4391.975227	1.168290	0.821643	14454.842773
4391.976294	1.138784	0.821643	15669.925781
4391.977299	1.116969	0.821643	16792.480469
4391.978196	1.094055	0.821643	17773.847656
4391.979074	0.929916	0.821643	18590.314453
4391.980061	0.148762	0.821643	18737.142578
4391.981012	0.098060	0.821643	18830.398437
4391.981938	0.097998	0.821643	18921.144531
4391.982799	0.098214	0.821643	19005.707031
4391.983838	0.098038	0.821643	19107.568359
4391.984709	0.098123	0.821643	19193.033203
4391.985573	0.098046	0.821643	19277.744141
4391.986504	0.098214	0.821643	19369.181641
4391.987483	0.098053	0.821643	19465.175781
4391.988398	0.098027	0.821643	19554.871094
4392.977361	0.999983	0.648848	439.992462
4392.978231	1.464503	0.648848	1714.110229
4392.979264	1.461108	0.648848	3223.435059
4392.980313	1.422286	0.648848	4715.413574
4392.981186	1.388328	0.648848	5927.423828
4392.982109	1.354274	0.648848	7177.418457
4392.983194	1.316851	0.648848	8606.201172
4392.984151	1.284701	0.648848	9835.660156
4392.985022	1.256913	0.648848	10930.431641
4392.986073	1.224727	0.648848	12217.619141
4392.987103	1.194316	0.648848	13447.764648
4392.987995	1.168246	0.648848	14489.839844
4392.988961	1.141227	0.648848	15592.264648
4392.990030	1.117159	0.648848	16786.507812
4392.990960	1.093539	0.648848	17803.498047
4392.991831	0.869139	0.648848	18560.517578
4392.992921	0.116107	0.648848	18687.074219
4392.993910	0.097921	0.648848	18783.917969
4392.994800	0.097947	0.648848	18871.089844
4392.995785	0.098163	0.648848	18967.779297
4392.996833	0.098005	0.648848	19070.488281
4392.997736	0.098005	0.648848	19158.986328
4392.998595	0.098082	0.648848	19243.238281
4392.999685	0.098167	0.648848	19350.240234
4393.000647	0.098002	0.648848	19444.517578
4393.001564	0.097958	0.648848	19534.345703
4394.047930	0.987649	0.843090	422.713745
4394.048791	1.461174	0.843090	1680.784790
4394.049865	1.460120	0.843090	3248.953125
4394.050788	1.425516	0.843090	4564.704590
4394.051673	1.391931	0.843090	5796.563477
4394.052674	1.356383	0.843090	7154.302734
4394.053690	1.320275	0.843090	8495.701172
4394.054575	1.290458	0.843090	9637.755859
4394.055441	1.261622	0.843090	10730.320312
4394.056522	1.228997	0.843090	12058.865234
4394.057448	1.200835	0.843090	13170.837891
4394.058317	1.174999	0.843090	14191.912109
4394.059372	1.145603	0.843090	15400.523437
4394.060386	1.121569	0.843090	16537.792969
4394.061281	1.100127	0.843090	17522.406250
4394.062268	0.975652	0.843090	18485.375000
4394.063321	0.154673	0.843090	18648.246094
4394.064233	0.098079	0.843090	18737.693359
4394.065093	0.098060	0.843090	18822.025391
4394.066193	0.098148	0.843090	18929.988281
4394.067178	0.098060	0.843090	19026.578125
4394.068075	0.098057	0.843090	19114.535156
4394.069061	0.098148	0.843090	19211.308594
4394.070112	0.097998	0.843090	19314.304687
4394.071001	0.098057	0.843090	19401.476562
4394.071859	0.098134	0.843090	19485.675781
4395.071927	0.988608	0.519402	415.215515
4395.072994	1.471073	0.519402	1984.850342
4395.073937	1.458084	0.519402	3359.823242
4395.074828	1.424330	0.519402	4628.901367
4395.075778	1.388851	0.519402	5948.310059
4395.076826	1.351029	0.519402	7364.188477
4395.077720	1.319103	0.519402	8543.466797
4395.078586	1.290000	0.519402	9660.606445
4395.079650	1.256719	0.519402	10997.754883
4395.080595	1.227352	0.519402	12157.602539
4395.081470	1.200901	0.519402	13208.390625
4395.082420	1.173076	0.519402	14322.812500
4395.083480	1.143366	0.519402	15534.780273
4395.084356	1.122565	0.519402	16518.146484
4395.085294	1.100325	0.519402	17550.251953
4395.086366	0.916849	0.519402	18533.115234
4395.087299	0.149052	0.519402	18672.179687
4395.088166	0.097874	0.519402	18757.035156
4395.089211	0.098141	0.519402	18859.591797
4395.090223	0.098115	0.519402	18958.884766
4395.091115	0.098090	0.519402	19046.380859
4395.092066	0.098082	0.519402	19139.656250
4395.093117	0.098177	0.519402	19242.839844
4395.094052	0.098145	0.519402	19334.605469
4395.094911	0.098035	0.519402	19418.816406
4395.095993	0.098163	0.519402	19525.029297
4396.135952	1.058654	0.837595	533.561401
4396.136946	1.472505	0.837595	1997.231201
4396.137846	1.458600	0.837595	3309.971191
4396.138855	1.420876	0.837595	4743.635742
4396.139916	1.381392	0.837595	6209.291992
4396.140804	1.348586	0.837595	7406.836914
4396.141691	1.316832	0.837595	8574.867187
4396.142800	1.281394	0.837595	9995.933594
4396.143757	1.250933	0.837595	11193.076172
4396.144620	1.223730	0.837595	12249.155273
4396.145671	1.193042	0.837595	13503.042969
4396.146711	1.162833	0.837595	14712.389648
4396.147600	1.137678	0.837595	15723.785156
4396.148561	1.116892	0.837595	16797.119141
4396.149644	1.089452	0.837595	17976.996094
4396.150575	0.710775	0.837595	18638.728516
4396.151434	0.111665	0.837595	18734.648437
4396.152480	0.098134	0.837595	18837.296875
4396.153496	0.098196	0.837595	18937.064453
4396.154385	0.098075	0.837595	19024.253906
4396.155342	0.098167	0.837595	19118.199219
4396.156396	0.098075	0.837595	19221.570312
4396.157318	0.097987	0.837595	19311.914062
4396.158180	0.098064	0.837595	19396.445312
4396.159243	0.098145	0.837595	19500.773437
4396.160224	0.098079	0.837595	19596.988281
4397.159459	1.075323	0.499530	551.640930
4397.160399	1.472260	0.499530	1935.564941
4397.161265	1.461486	0.499530	3201.211426
4397.162340	1.421682	0.499530	4729.519531
4397.163360	1.383296	0.499530	6140.481445
4397.164236	1.351465	0.499530	7324.364746
4397.165199	1.317799	0.499530	8593.405273
4397.166280	1.282119	0.499530	9979.375977
4397.167192	1.252731	0.499530	11121.866211
4397.168064	1.225188	0.499530	12190.230469
4397.169145	1.193734	0.499530	13480.657227
4397.170149	1.164130	0.499530	14649.443359
4397.171047	1.139154	0.499530	15672.403320
4397.172037	1.117386	0.499530	16778.615234
4397.173087	1.091082	0.499530	17924.250000
4397.173994	0.781143	0.499530	18632.746094
4397.174853	0.119839	0.499530	18735.687500
4397.175963	0.098068	0.499530	18844.542969
4397.176934	0.098042	0.499530	18939.742187
4397.177800	0.098152	0.499530	19024.742187
4397.178874	0.098214	0.499530	19130.224609
4397.179903	0.098108	0.499530	19231.177734
4397.180793	0.098071	0.499530	19318.460937
4397.181713	0.098174	0.499530	19408.781250
4397.182773	0.098046	0.499530	19512.708984
4397.183705	0.098119	0.499530	19604.156250
4398.226881	0.988934	0.790226	426.230713
4398.227746	1.461943	0.790226	1690.811768
4398.228788	1.460585	0.790226	3212.741211
4398.229821	1.422539	0.790226	4682.224121
4398.230712	1.388544	0.790226	5919.416504
4398.231644	1.354691	0.790226	7181.988770
4398.232712	1.317418	0.790226	8588.991211
4398.233653	1.286411	0.790226	9799.503906
4398.234518	1.258206	0.790226	10887.851562
4398.235577	1.225529	0.790226	12185.686523
4398.236605	1.195053	0.790226	13414.200195
4398.237487	1.168945	0.790226	14445.209961
4398.238462	1.141732	0.790226	15558.398437
4398.239537	1.117639	0.790226	16759.861328
4398.240437	1.094733	0.790226	17745.121094
4398.241306	0.908445	0.790226	18534.560547
4398.242380	0.127229	0.790226	18671.205078
4398.243373	0.098108	0.790226	18768.626953
4398.244260	0.098130	0.790226	18855.667969
4398.245242	0.098207	0.790226	18952.107422
4398.246304	0.098199	0.790226	19056.394531
4398.247206	0.098035	0.790226	19144.822266
4398.248069	0.098145	0.790226	19229.521484
4398.249167	0.098254	0.790226	19337.404297
4398.250136	0.098130	0.790226	19432.492187
4398.251046	0.098009	0.790226	19521.679687
4399.245835	1.058555	0.518198	532.453003
4399.246789	1.472340	0.518198	1937.065430
4399.247660	1.461387	0.518198	3209.933105
4399.248721	1.422034	0.518198	4718.710937
4399.249757	1.382772	0.518198	6151.262695
4399.250650	1.350092	0.518198	7356.894531
4399.251597	1.317968	0.518198	8605.009766
4399.252657	1.282335	0.518198	9964.285156
4399.253590	1.252339	0.518198	11132.716797
4399.254455	1.225320	0.518198	12192.618164
4399.255538	1.193796	0.518198	13485.500000
4399.256548	1.164261	0.518198	14661.404297
4399.257432	1.139348	0.518198	15668.587891
4399.258427	1.117577	0.518198	16780.576172
4399.259486	1.091092	0.518198	17936.042969
4399.260398	0.776693	0.518198	18644.386719
4399.261253	0.119821	0.518198	18746.833984
4399.262310	0.098064	0.518198	18850.488281
4399.263300	0.097932	0.518198	18947.441406
4399.264190	0.098005	0.518198	19034.666016
4399.265167	0.098031	0.518198	19130.441406
4399.266214	0.098086	0.518198	19233.136719
4399.267114	0.097917	0.518198	19321.261719
4399.267977	0.098101	0.518198	19405.921875
4399.269106	0.098243	0.518198	19516.837891
4399.270065	0.097980	0.518198	19610.800781
4400.315967	1.100186	0.711783	616.103882
4400.316904	1.472490	0.711783	1995.827271
4400.317782	1.459281	0.711783	3277.075928
4400.318773	1.423092	0.711783	4687.360352
4400.319768	1.384592	0.711783	6065.029785
4400.320657	1.352827	0.711783	7267.692871
4400.321527	1.320971	0.711783	8416.937500
4400.322630	1.285609	0.711783	9834.964844
4400.323549	1.256067	0.711783	10989.290039
4400.324417	1.229106	0.711783	12056.154297
4400.325405	1.199747	0.711783	13241.504883
4400.326432	1.169315	0.711783	14442.391602
4400.327326	1.144036	0.711783	15465.159180
4400.328196	1.122850	0.711783	16442.039062
4400.329288	1.097827	0.711783	17640.867187
4400.330213	0.986803	0.711783	18553.660156
4400.331085	0.188478	0.711783	18718.013672
4400.332163	0.098156	0.711783	18823.826172
4400.333162	0.098137	0.711783	18921.865234
4400.334052	0.098005	0.711783	19009.089844
4400.335024	0.098167	0.711783	19104.507812
4400.336072	0.098060	0.711783	19207.275391
4400.336978	0.097976	0.711783	19296.041016
4400.337838	0.098112	0.711783	19380.416016
4400.338928	0.098130	0.711783	19487.376953
4400.339918	0.098009	0.711783	19584.406250
4401.329633	1.028884	0.486128	473.286774
4401.330511	1.466385	0.486128	1760.773193
4401.331385	1.465463	0.486128	3041.587402
4401.332377	1.429882	0.486128	4460.029785
4401.333351	1.392037	0.486128	5815.874023
4401.334281	1.358170	0.486128	7078.972168
4401.335151	1.327551	0.486128	8233.941406
4401.336192	1.292758	0.486128	9579.702148
4401.337072	1.263823	0.486128	10691.866211
4401.337940	1.236815	0.486128	11765.421875
4401.338969	1.205475	0.486128	13005.855469
4401.339932	1.177295	0.486128	14139.590820
4401.340811	1.152257	0.486128	15152.424805
4401.341741	1.128435	0.486128	16201.869141
4401.342815	1.104536	0.486128	17388.140625
4401.343711	1.080927	0.486128	18356.650391
4401.344576	0.412727	0.486128	18713.660156
4401.345614	0.098844	0.486128	18816.259766
4401.346580	0.098108	0.486128	18911.031250
4401.347449	0.098115	0.486128	18996.292969
4401.348343	0.098141	0.486128	19084.031250
4401.349439	0.098152	0.486128	19191.605469
4401.350315	0.098042	0.486128	19277.490234
4401.351188	0.098141	0.486128	19363.167969
4401.352285	0.098280	0.486128	19470.980469
4401.353234	0.098060	0.486128	19564.039062
4401.354098	0.098093	0.486128	19648.791016
4402.405410	1.072877	0.693007	551.458862
4402.406388	1.472582	0.693007	1991.643799
4402.407250	1.459768	0.693007	3249.963867
4402.408275	1.421396	0.693007	4706.895508
4402.409356	1.381534	0.693007	6200.333984
4402.410234	1.349026	0.693007	7384.778809
4402.411136	1.316781	0.693007	8572.515625
4402.412236	1.281233	0.693007	9981.872070
4402.413184	1.251321	0.693007	11168.124023
4402.414056	1.223987	0.693007	12235.440430
4402.415094	1.193163	0.693007	13473.943359
4402.416126	1.163185	0.693007	14674.349609
4402.417025	1.137869	0.693007	15697.293945
4402.417990	1.117181	0.693007	16775.373047
4402.419059	1.090129	0.693007	17940.720703
4402.419995	0.730301	0.693007	18624.283203
4402.420856	0.113610	0.693007	18722.101562
4402.421941	0.098170	0.693007	18828.615234
4402.422935	0.098042	0.693007	18926.068359
4402.423819	0.098115	0.693007	19012.802734
4402.424808	0.098218	0.693007	19109.939453
4402.425859	0.098038	0.693007	19212.978516
4402.426757	0.097980	0.693007	19300.964844
4402.427613	0.098221	0.693007	19385.042969
4402.428715	0.098181	0.693007	19493.238281
