crossing time (s)	slope (V/s)	crossing number
4382.338228	4.187018	2985
4383.470051	4.623750	2986
4384.415286	5.399142	2987
4385.550763	4.388668	2988
4386.516494	3.730326	2989
4387.631418	4.755952	2990
4388.612897	4.978633	2991
4389.708307	4.384693	2992
4390.708849	6.763919	2993
4391.791167	6.011766	2994
4392.821965	10.141737	2995
4393.877789	5.449094	2996
4394.912188	13.913855	2997
4395.968082	6.060562	2998
4397.002827	14.518298	2999
4398.059332	6.106725	3000
4399.088243	13.435225	3001
4400.145766	5.490486	3002
4401.171049	13.434671	3003
4402.234612	6.312613	3004
4403.259227	13.164316	3005
4404.320324	6.497921	3006
4405.342328	13.258778	3007
4406.404213	6.936460	3008
4407.428905	13.775423	3009
4408.487743	8.671660	3010
4409.513433	12.149147	3011
4410.575878	10.281699	3012
4411.595234	10.429932	3013
4412.662430	10.324520	3014
4413.681451	9.365265	3015
4414.745672	9.646581	3016
4415.768648	9.437307	3017
4416.839217	7.878775	3018
4417.846170	9.638555	3019
4418.933323	7.883139	3020
4419.924504	10.418778	3021
4421.026476	8.086846	3022
4422.001927	9.201777	3023
4423.113357	9.117458	3024
4424.086399	9.500530	3025
4425.200219	8.571286	3026
4426.179725	12.281024	3027
4427.279559	7.256745	3028
4428.268318	13.981793	3029
4429.357076	6.758380	3030
4430.352798	10.987410	3031
4431.439068	7.665421	3032
4432.454668	7.348429	3033
4433.521631	8.835272	3034
4434.554278	11.238902	3035
4435.604296	9.845728	3036
4436.636290	12.840664	3037
4437.689989	9.114481	3038
4438.712728	14.137785	3039
4439.775350	8.272711	3040
4440.795092	15.690629	3041
4441.862220	8.383613	3042
4442.877520	16.201412	3043
4443.946690	8.487037	3044
4444.961389	16.319564	3045
4446.032920	9.077997	3046
4447.043944	16.404413	3047
4448.117146	9.861433	3048
4449.129194	16.184266	3049
4450.201743	11.146020	3050
4451.215900	15.286692	3051
4452.283990	12.723066	3052
4453.302892	15.475335	3053
4454.364999	12.761431	3054
4455.385489	15.433826	3055
4456.452973	11.080912	3056
4457.463269	15.498691	3057
4458.550732	10.729797	3058
4459.541362	15.973699	3059
4460.641548	12.194211	3060
4461.625001	16.457840	3061
4462.725421	12.351624	3062
4463.711175	15.570723	3063
4464.808472	11.915660	3064
4465.798889	14.183315	3065
4466.891996	11.545157	3066
4467.885436	13.455334	3067
4468.972056	11.728415	3068
4469.970349	13.781608	3069
4471.053728	12.050983	3070
4472.058177	14.531397	3071
4473.137323	12.094909	3072
4474.147812	14.850265	3073
4475.218545	11.980326	3074
4476.233079	15.214717	3075
4477.302792	12.244049	3076
4478.318317	15.060485	3077
4479.385725	12.646617	3078
4480.405136	14.877291	3079
4481.468745	12.751552	3080
4482.491803	15.059137	3081
4483.551985	12.729432	3082
4484.576132	15.127459	3083
4485.638024	12.524740	3084
4486.662766	15.484431	3085
4487.723101	12.458685	3086
4488.744065	15.444952	3087
4489.809396	12.623072	3088
4490.826552	15.147588	3089
4491.896118	12.563351	3090
4492.907804	14.617869	3091
4493.982630	12.714500	3092
4494.990007	14.654129	3093
4496.070676	12.656488	3094
4497.071013	14.574424	3095
4498.158413	12.708479	3096
4499.153032	14.668378	3097
4500.244583	12.909290	3098
4501.236233	14.595768	3099
4502.331361	13.221460	3100
4503.321158	14.985880	3101
4504.417573	13.887591	3102
4505.406125	15.903266	3103
4506.502975	14.307247	3104
4507.488473	16.600679	3105
4508.584241	14.402088	3106
4509.572758	16.027246	3107
4510.662487	14.258680	3108
4511.665083	14.813841	3109
4512.741467	14.042904	3110
4513.758409	15.334195	3111
4514.820971	14.109446	3112
4515.846317	16.608358	3113
4516.902176	14.459305	3114
4517.929436	16.923654	3115
4518.985026	14.391162	3116
4520.013345	16.597343	3117
4521.069088	14.092409	3118
4522.099485	16.689175	3119
4523.153935	13.736266	3120
4524.182558	16.901488	3121
4525.238452	13.695206	3122
4526.268088	17.265336	3123
4527.323040	13.775792	3124
4528.350915	17.472480	3125
4529.407055	14.266897	3126
4530.433496	17.559521	3127
4531.491995	14.359529	3128
4532.517896	17.499386	3129
4533.576472	14.252898	3130
4534.601884	17.513652	3131
4535.661965	13.808387	3132
4536.682287	16.766095	3133
4537.751616	13.820163	3134
4538.762213	16.718536	3135
4539.841208	13.758303	3136
4540.841792	17.230500	3137
4541.928987	13.877177	3138
4542.924404	18.426607	3139
4544.017886	14.237184	3140
4545.009512	18.723291	3141
4546.103649	14.683637	3142
4547.093890	18.345732	3143
4548.185981	14.685626	3144
4549.176584	17.426972	3145
4550.267844	14.336561	3146
4551.261608	16.921225	3147
4552.351800	14.030312	3148
4553.347093	16.546676	3149
4554.434018	13.982955	3150
4555.433486	16.430349	3151
4556.515046	14.004470	3152
4557.519852	16.387137	3153
4558.598908	13.940958	3154
4559.604615	16.483935	3155
4560.682320	13.881341	3156
4561.691459	16.696331	3157
4562.766287	13.994796	3158
4563.775370	16.813362	3159
4564.849487	14.059501	3160
4565.859936	16.906064	3161
4566.934352	14.100242	3162
4567.943029	16.652173	3163
4569.019091	14.024881	3164
4570.028597	16.591132	3165
4571.103690	13.946257	3166
4572.111040	16.703007	3167
4573.188916	13.969907	3168
4574.192201	16.857364	3169
4575.273751	14.051873	3170
4576.275916	16.792402	3171
4577.362167	14.157494	3172
4578.359083	16.811636	3173
4579.447432	14.247035	3174
4580.443783	16.683375	3175
4581.533470	14.371269	3176
4582.528776	17.216449	3177
4583.619979	14.842458	3178
4584.611794	17.576789	3179
4585.705172	15.071750	3180
4586.696371	18.070412	3181
4587.789387	15.408551	3182
4588.780321	18.235085	3183
4589.870971	15.377535	3184
4590.865070	18.107857	3185
4591.952662	15.134004	3186
4592.952848	17.713149	3187
4594.033641	15.100839	3188
4595.039360	17.049590	3189
4596.112851	14.957228	3190
4597.128494	17.228983	3191
4598.194930	15.032830	3192
4599.215199	17.786344	3193
4600.276173	15.073578	3194
4601.301816	18.347115	3195
4602.359182	15.202621	3196
4603.386439	18.350568	3197
4604.443184	15.195775	3198
4605.468246	18.224058	3199
4606.527173	14.903569	3200
4607.553599	17.879605	3201
4608.611035	14.490632	3202
4609.637979	17.716142	3203
4610.694802	14.474714	3204
4611.722876	18.074347	3205
4612.780063	14.471728	3206
4613.806089	18.171146	3207
4614.863100	14.620174	3208
4615.887497	18.317621	3209
4616.949418	14.788057	3210
4617.968905	18.118159	3211
4619.034315	14.633291	3212
4620.048663	18.255835	3213
4621.123040	14.491810	3214
4622.131904	17.686155	3215
4623.210270	14.539961	3216
4624.212534	17.405736	3217
4625.296067	14.421632	3218
4626.294100	17.400514	3219
4627.382021	14.177239	3220
4628.376803	17.474499	3221
4629.467300	14.019429	3222
4630.459447	17.471947	3223
4631.553290	13.997724	3224
4632.543699	17.515542	3225
4633.636231	13.909591	3226
4634.627446	17.244240	3227
4635.718901	13.741846	3228
4636.711537	17.204897	3229
4637.802206	13.590903	3230
4638.795231	17.144087	3231
4639.884922	13.621546	3232
4640.881074	16.907399	3233
4641.966961	13.575821	3234
4642.966113	16.723142	3235
4644.049108	13.483534	3236
4645.052063	16.598364	3237
4646.131980	13.318863	3238
4647.136279	16.696536	3239
4648.215982	13.271087	3240
4649.219183	16.887185	3241
4650.300623	13.246091	3242
4651.302744	16.631594	3243
4652.385105	13.352587	3244
4653.385916	16.658507	3245
4654.469731	13.235960	3246
4655.468711	16.487310	3247
4656.553944	13.211341	3248
4657.553813	16.551768	3249
4658.639011	13.120639	3250
4659.635602	16.654199	3251
4660.724455	13.139175	3252
4661.717103	16.631477	3253
4662.809383	13.210640	3254
4663.800801	16.537171	3255
4664.893763	13.102611	3256
4665.883790	16.457777	3257
4666.977572	13.126455	3258
4667.968898	16.483511	3259
4669.060573	13.089373	3260
4670.053690	16.515175	3261
4671.144232	13.250760	3262
4672.138735	16.325570	3263
4673.225059	13.278591	3264
4674.224328	16.190718	3265
4675.307011	13.278117	3266
4676.311344	16.254062	3267
4677.388152	13.184969	3268
4678.396342	16.284015	3269
4679.469792	13.241120	3270
4680.482377	16.225731	3271
4681.551272	13.094480	3272
4682.567745	16.044681	3273
4683.633642	13.037699	3274
4684.653599	15.896107	3275
4685.716372	12.833475	3276
4686.738172	15.979136	3277
4687.799827	12.921433	3278
4688.821827	15.981230	3279
4689.881808	12.843089	3280
4690.905725	15.929801	3281
4691.965257	12.871350	3282
4692.988897	16.135961	3283
4694.049376	12.757636	3284
4695.070812	15.876540	3285
4696.136563	12.611776	3286
4697.155622	15.661476	3287
4698.221176	12.653148	3288
4699.237566	15.530558	3289
4700.305437	12.685571	3290
4701.319230	15.537770	3291
4702.392265	12.652575	3292
4703.401079	15.587099	3293
4704.478458	12.463621	3294
4705.482924	15.536970	3295
4706.564147	12.462562	3296
4707.564899	15.520224	3297
4708.650204	12.316837	3298
4709.647145	15.502214	3299
4710.735512	12.306353	3300
4711.728468	15.446360	3301
4712.821691	12.121995	3302
4713.812565	15.412306	3303
4714.907104	12.138222	3304
4715.895221	15.363424	3305
4716.989915	12.125237	3306
4717.979667	15.170149	3307
4719.073024	11.938515	3308
4720.063597	15.187971	3309
4721.155782	11.736045	3310
4722.145916	14.974051	3311
4723.239611	11.764945	3312
4724.231160	14.950814	3313
4725.322203	11.606080	3314
4726.316175	14.955364	3315
4727.406048	11.669818	3316
4728.400314	14.989105	3317
4729.489914	11.560279	3318
4730.484039	14.864150	3319
4731.573547	11.645818	3320
4732.567976	14.929083	3321
4733.657831	11.588346	3322
4734.651392	14.894571	3323
4735.742889	11.709265	3324
4736.734551	14.751715	3325
4737.826660	11.458502	3326
4738.818623	14.821017	3327
