time (s)	coil I (A)	last det (V)	int current (uC)
8375.297648	1.138722	0.300358	666.152344
8375.298710	1.473186	0.300358	2230.675781
8375.299593	1.451997	0.300358	3512.789307
8375.300504	1.417280	0.300358	4803.931641
8375.301579	1.377737	0.300358	6284.998535
8375.302527	1.343566	0.300358	7558.698730
8375.303393	1.313159	0.300358	8695.894531
8375.304441	1.279043	0.300358	10036.332031
8375.305474	1.246252	0.300358	11323.710937
8375.306347	1.219310	0.300358	12388.168945
8375.307312	1.191138	0.300358	13537.617187
8375.308378	1.160215	0.300358	14774.406250
8375.309310	1.134089	0.300358	15831.377930
8375.310182	1.115845	0.300358	16804.394531
8375.311259	1.088489	0.300358	17976.697266
8375.312276	0.607797	0.300358	18594.826172
8375.313166	0.103667	0.300358	18687.089844
8375.314151	0.098042	0.300358	18783.662109
8375.315207	0.098009	0.300358	18887.160156
8375.316112	0.097852	0.300358	18975.716797
8375.316972	0.098031	0.300358	19060.023437
8375.318063	0.098104	0.300358	19167.054687
8375.319028	0.097991	0.300358	19261.615234
8375.319908	0.097863	0.300358	19347.734375
8375.320918	0.098093	0.300358	19446.808594
8375.321961	0.097877	0.300358	19548.894531
8376.356286	0.991747	0.297442	422.484161
8376.357256	1.462170	0.297442	1840.789551
8376.358318	1.454861	0.297442	3385.851562
8376.359243	1.420210	0.297442	4699.545898
8376.360108	1.386511	0.297442	5898.877930
8376.361196	1.348206	0.297442	7365.725586
8376.362199	1.313254	0.297442	8682.919922
8376.363096	1.283163	0.297442	9833.916992
8376.364032	1.254023	0.297442	11007.682617
8376.364904	1.225946	0.297442	12076.708008
8376.365912	1.197195	0.297442	13283.480469
8376.366839	1.170242	0.297442	14368.294922
8376.367712	1.144933	0.297442	15367.821289
8376.368744	1.121389	0.297442	16525.095703
8376.369626	1.099841	0.297442	17495.156250
8376.370497	1.069241	0.297442	18426.464844
8376.371472	0.272721	0.297442	18692.367187
8376.372422	0.097841	0.297442	18785.316406
8376.373328	0.097950	0.297442	18874.058594
8376.374203	0.098064	0.297442	18959.865234
8376.375247	0.098020	0.297442	19062.197266
8376.376136	0.098031	0.297442	19149.347656
8376.377006	0.098141	0.297442	19234.730469
8376.377894	0.098079	0.297442	19321.824219
8376.378932	0.098049	0.297442	19423.599609
8376.379826	0.097987	0.297442	19511.199219
8377.385448	1.037395	0.264152	477.201691
8377.386322	1.464521	0.264152	1757.193359
8377.387321	1.458713	0.264152	3214.447998
8377.388378	1.419763	0.264152	4715.137695
8377.389281	1.385240	0.264152	5966.009766
8377.390148	1.352523	0.264152	7138.647461
8377.391266	1.315503	0.264152	8609.379883
8377.392234	1.283024	0.264152	9851.346680
8377.393106	1.255195	0.264152	10945.876953
8377.394136	1.223566	0.264152	12206.149414
8377.395191	1.192679	0.264152	13464.425781
8377.396092	1.166250	0.264152	14515.216797
8377.396971	1.141267	0.264152	15518.390625
8377.397891	1.120148	0.264152	16548.925781
8377.398909	1.096161	0.264152	17664.818359
8377.399832	0.957770	0.264152	18548.839844
8377.400699	0.172701	0.264152	18698.572266
8377.401767	0.097903	0.264152	18803.132812
8377.402638	0.097987	0.264152	18888.480469
8377.403498	0.098086	0.264152	18972.833984
8377.404370	0.098145	0.264152	19058.416016
8377.405414	0.097954	0.264152	19160.679687
8377.406313	0.097965	0.264152	19248.750000
8377.407191	0.098060	0.264152	19334.847656
8377.408176	0.098086	0.264152	19431.462891
8377.409114	0.098053	0.264152	19523.437500
8378.443702	0.996566	0.312177	419.554321
8378.444794	1.469502	0.312177	2024.250366
8378.445713	1.455549	0.312177	3361.900391
8378.446583	1.422902	0.312177	4599.824707
8378.447563	1.386207	0.312177	5958.307617
8378.448583	1.349132	0.312177	7334.422363
8378.449480	1.317876	0.312177	8516.556641
8378.450348	1.288008	0.312177	9634.547852
8378.451452	1.253804	0.312177	11018.747070
8378.452376	1.225129	0.312177	12150.766602
8378.453243	1.198586	0.312177	13189.941406
8378.454345	1.167103	0.312177	14476.088867
8378.455345	1.139004	0.312177	15615.092773
8378.456235	1.119880	0.312177	16611.787109
8378.457229	1.095491	0.312177	17700.705078
8378.458293	0.817676	0.312177	18570.712891
8378.459186	0.121542	0.312177	18679.250000
8378.460046	0.098005	0.312177	18763.535156
8378.461153	0.098243	0.312177	18872.291016
8378.462110	0.098071	0.312177	18966.144531
8378.462967	0.098024	0.312177	19050.150391
8378.464040	0.098097	0.312177	19155.408203
8378.465070	0.098053	0.312177	19256.402344
8378.465949	0.098082	0.312177	19342.617187
8378.466870	0.098057	0.312177	19432.927734
8378.467934	0.098112	0.312177	19537.318359
8379.475395	0.992468	0.216098	426.761383
8379.476269	1.461929	0.216098	1704.486938
8379.477191	1.462280	0.216098	3052.709473
8379.478265	1.423565	0.216098	4581.617676
8379.479167	1.389038	0.216098	5834.530273
8379.480035	1.357042	0.216098	7012.442871
8379.481078	1.321018	0.216098	8390.264648
8379.482056	1.288612	0.216098	9650.527344
8379.482935	1.260143	0.216098	10758.193359
8379.483819	1.231740	0.216098	11847.050781
8379.484910	1.200630	0.216098	13156.938477
8379.485795	1.174171	0.216098	14196.080078
8379.486687	1.148016	0.216098	15220.110352
8379.487776	1.122766	0.216098	16442.802734
8379.488740	1.099977	0.216098	17503.179687
8379.489602	1.063110	0.216098	18419.580078
8379.490629	0.218130	0.216098	18643.599609
8379.491663	0.097939	0.216098	18744.869141
8379.492556	0.097976	0.216098	18832.361328
8379.493490	0.098093	0.216098	18923.980469
8379.494548	0.098053	0.216098	19027.720703
8379.495485	0.097987	0.216098	19119.535156
8379.496347	0.098049	0.216098	19204.052734
8379.497394	0.098243	0.216098	19306.914062
8379.498417	0.098064	0.216098	19407.234375
8379.499312	0.097947	0.216098	19494.896484
8380.530729	1.077001	0.300483	558.963379
8380.531739	1.471593	0.300483	2045.272339
8380.532610	1.456252	0.300483	3313.668213
8380.533590	1.419730	0.300483	4705.003906
8380.534647	1.380066	0.300483	6163.733398
8380.535548	1.347532	0.300483	7377.859375
8380.536419	1.316272	0.300483	8524.332031
8380.537509	1.281017	0.300483	9920.640625
8380.538504	1.249248	0.300483	11163.642578
8380.539397	1.221892	0.300483	12254.791992
8380.540386	1.193104	0.300483	13434.772461
8380.541460	1.162222	0.300483	14682.998047
8380.542349	1.136774	0.300483	15693.589844
8380.543241	1.117236	0.300483	16690.164062
8380.544329	1.090455	0.300483	17876.580078
8380.545291	0.750190	0.300483	18598.263672
8380.546155	0.115763	0.300483	18698.283203
8380.547203	0.098075	0.300483	18801.066406
8380.548228	0.097954	0.300483	18901.468750
8380.549107	0.098016	0.300483	18987.625000
8380.550030	0.098126	0.300483	19078.195312
8380.551099	0.098005	0.300483	19182.962891
8380.552029	0.097896	0.300483	19274.005859
8380.552889	0.097914	0.300483	19358.210937
8380.553934	0.098097	0.300483	19460.722656
8380.554947	0.097896	0.300483	19559.890625
8381.564910	1.045422	0.193120	489.257629
8381.565791	1.465353	0.193120	1780.233398
8381.566785	1.459131	0.193120	3230.609375
8381.567849	1.419327	0.193120	4740.773437
8381.568755	1.384830	0.193120	5995.429687
8381.569615	1.352710	0.193120	7158.760254
8381.570713	1.315858	0.193120	8603.572266
8381.571719	1.281881	0.193120	9893.144531
8381.572595	1.253983	0.193120	10991.633789
8381.573608	1.222983	0.193120	12230.515625
8381.574684	1.191848	0.193120	13512.944336
8381.575568	1.165441	0.193120	14543.193359
8381.576438	1.139641	0.193120	15534.681641
8381.577547	1.116302	0.193120	16772.660156
8381.578507	1.092067	0.193120	17821.044922
8381.579383	0.876925	0.193120	18589.230469
8381.580412	0.120154	0.193120	18712.869141
8381.581440	0.098013	0.193120	18813.626953
8381.582331	0.098101	0.193120	18901.035156
8381.583263	0.098174	0.193120	18992.533203
8381.584336	0.098119	0.193120	19097.814453
8381.585282	0.097950	0.193120	19190.474609
8381.586147	0.098126	0.193120	19275.353516
8381.587205	0.098214	0.193120	19379.263672
8381.588209	0.098090	0.193120	19477.746094
8381.589094	0.098130	0.193120	19564.591797
8382.622648	0.986656	0.240771	415.382385
8382.623674	1.467693	0.240771	1921.235352
8382.624708	1.453389	0.240771	3424.039307
8382.625610	1.419708	0.240771	4704.616211
8382.626583	1.383691	0.240771	6050.948242
8382.627652	1.344584	0.240771	7488.308105
8382.628579	1.312332	0.240771	8704.839844
8382.629494	1.282881	0.240771	9878.675781
8382.630375	1.253873	0.240771	10983.337891
8382.631412	1.222617	0.240771	12251.191406
8382.632315	1.195690	0.240771	13330.899414
8382.633191	1.170253	0.240771	14356.041016
8382.634167	1.143197	0.240771	15471.801758
8382.635140	1.120767	0.240771	16562.308594
8382.636069	1.098036	0.240771	17582.384766
8382.636941	1.029012	0.240771	18479.683594
8382.637986	0.176459	0.240771	18664.082031
8382.638861	0.097943	0.240771	18749.783203
8382.639724	0.098097	0.240771	18834.441406
8382.640648	0.098177	0.240771	18925.158203
8382.641643	0.097983	0.240771	19022.652344
8382.642568	0.097965	0.240771	19113.269531
8382.643434	0.098090	0.240771	19198.214844
8382.644523	0.098123	0.240771	19305.070312
8382.645431	0.098053	0.240771	19394.101562
8382.646295	0.097991	0.240771	19478.765625
8383.655894	1.002579	0.193962	440.132324
8383.656764	1.462317	0.193962	1712.348022
8383.657816	1.458750	0.193962	3246.953125
8383.658702	1.425117	0.193962	4509.606934
8383.659571	1.391620	0.193962	5718.924805
8383.660446	1.358101	0.193962	6907.262695
8383.661511	1.322380	0.193962	8315.597656
8383.662417	1.291410	0.193962	9485.615234
8383.663297	1.263908	0.193962	10597.853516
8383.664298	1.232948	0.193962	11832.034180
8383.665221	1.204786	0.193962	12944.051758
8383.666105	1.179023	0.193962	13986.308594
8383.667115	1.150602	0.193962	15148.416016
8383.668116	1.125414	0.193962	16274.955078
8383.669004	1.105192	0.193962	17256.365234
8383.669871	1.081988	0.193962	18194.449219
8383.670959	0.346476	0.193962	18571.414062
8383.671871	0.098331	0.193962	18661.091797
8383.672735	0.097965	0.193962	18745.734375
8383.673708	0.097961	0.193962	18841.050781
8383.674725	0.097943	0.193962	18940.658203
8383.675618	0.097965	0.193962	19028.140625
8383.676483	0.098057	0.193962	19112.958984
8383.677566	0.098141	0.193962	19219.246094
8383.678494	0.097961	0.193962	19310.154297
8383.679355	0.098024	0.193962	19394.552734
8383.680445	0.098141	0.193962	19501.525391
8384.708545	0.998372	0.221314	429.299774
8384.709411	1.461185	0.221314	1694.686279
8384.710531	1.455948	0.221314	3325.348633
8384.711495	1.419906	0.221314	4694.138184
8384.712377	1.386519	0.221314	5917.047852
8384.713408	1.349403	0.221314	7308.282227
8384.714461	1.312998	0.221314	8690.869141
8384.715360	1.283115	0.221314	9844.389648
8384.716292	1.253013	0.221314	11012.197266
8384.717366	1.220544	0.221314	12323.062500
8384.718309	1.192767	0.221314	13447.841797
8384.719176	1.166909	0.221314	14459.551758
8384.720243	1.137543	0.221314	15673.309570
8384.721241	1.116174	0.221314	16787.251953
8384.722129	1.093268	0.221314	17758.074219
8384.723108	0.809528	0.221314	18550.601562
8384.724173	0.112126	0.221314	18670.015625
8384.725086	0.098002	0.221314	18759.490234
8384.725941	0.098097	0.221314	18843.363281
8384.727027	0.098236	0.221314	18950.046875
8384.728025	0.098049	0.221314	19047.900391
8384.728901	0.098002	0.221314	19133.750000
8384.729868	0.098218	0.221314	19228.726562
8384.730937	0.098130	0.221314	19333.626953
8384.731826	0.097980	0.221314	19420.730469
8384.732693	0.098049	0.221314	19505.738281
8385.740817	1.050908	0.211356	533.861389
8385.741705	1.467477	0.211356	1836.980713
8385.742569	1.459764	0.211356	3098.217285
8385.743651	1.420649	0.211356	4635.359863
8385.744662	1.382523	0.211356	6033.090820
8385.745560	1.350209	0.211356	7245.578125
8385.746554	1.316323	0.211356	8554.003906
8385.747612	1.281178	0.211356	9909.490234
8385.748506	1.253013	0.211356	11029.683594
8385.749414	1.223972	0.211356	12141.050781
8385.750518	1.191837	0.211356	13456.838867
8385.751467	1.164562	0.211356	14562.007812
8385.752337	1.139828	0.211356	15553.658203
8385.753392	1.116526	0.211356	16731.593750
8385.754422	1.090605	0.211356	17854.917969
8385.755325	0.819672	0.211356	18595.082031
8385.756279	0.124845	0.211356	18714.183594
8385.757320	0.098027	0.211356	18816.230469
8385.758253	0.097943	0.211356	18907.611328
8385.759113	0.097896	0.211356	18991.800781
8385.760177	0.098005	0.211356	19096.078125
8385.761179	0.097925	0.211356	19194.199219
8385.762058	0.097892	0.211356	19280.246094
8385.763040	0.098046	0.211356	19376.527344
8385.764091	0.097936	0.211356	19479.457031
8385.764992	0.097903	0.211356	19567.667969
8386.794458	1.028489	0.216086	465.905396
8386.795340	1.464133	0.216086	1757.270874
8386.796330	1.459167	0.216086	3201.846680
8386.797401	1.419569	0.216086	4722.205078
8386.798311	1.384493	0.216086	5982.094238
8386.799178	1.352044	0.216086	7154.315918
8386.800293	1.314869	0.216086	8620.395508
8386.801266	1.282222	0.216086	9867.997070
8386.802131	1.255214	0.216086	10953.756836
8386.803228	1.221306	0.216086	12293.529297
8386.804266	1.190662	0.216086	13529.436523
8386.805151	1.164727	0.216086	14560.219727
8386.806100	1.138385	0.216086	15640.546875
8386.807169	1.115109	0.216086	16832.597656
8386.808103	1.091030	0.216086	17851.619141
8386.808967	0.852264	0.216086	18587.976562
8386.810025	0.114899	0.216086	18709.539062
8386.811029	0.097921	0.216086	18807.851562
8386.811899	0.098031	0.216086	18893.138672
8386.812858	0.098079	0.216086	18987.195312
8386.813923	0.097939	0.216086	19091.500000
8386.814843	0.098042	0.216086	19181.699219
8386.815711	0.098079	0.216086	19266.832031
8386.816782	0.098082	0.216086	19371.878906
8386.817772	0.097994	0.216086	19468.892578
8386.818661	0.098093	0.216086	19556.097656
8387.824578	0.993629	0.215691	431.235046
8387.825451	1.461584	0.215691	1707.198242
8387.826491	1.457388	0.215691	3222.881348
8387.827537	1.418983	0.215691	4707.137695
8387.828434	1.385116	0.215691	5949.586914
8387.829387	1.351282	0.215691	7237.358398
8387.830455	1.314166	0.215691	8640.887695
8387.831387	1.283163	0.215691	9836.794922
8387.832253	1.254745	0.215691	10923.404297
8387.833336	1.222039	0.215691	12246.872070
8387.834334	1.192390	0.215691	13436.876953
8387.835232	1.166466	0.215691	14484.363281
8387.836219	1.139048	0.215691	15608.603516
8387.837262	1.116156	0.215691	16772.753906
8387.838167	1.092949	0.215691	17761.873047
8387.839027	0.876896	0.215691	18516.003906
8387.840118	0.122428	0.215691	18649.572266
8387.841109	0.097786	0.215691	18746.478516
8387.841987	0.098027	0.215691	18832.546875
8387.842997	0.098079	0.215691	18931.605469
8387.844050	0.098009	0.215691	19034.808594
8387.844924	0.097987	0.215691	19120.449219
8387.845785	0.098002	0.215691	19204.828125
8387.846885	0.098075	0.215691	19312.710937
8387.847849	0.097819	0.215691	19407.007812
8387.848714	0.098002	0.215691	19491.779297
8388.881355	1.009014	0.231840	440.938965
8388.882219	1.461610	0.231840	1703.770142
8388.883313	1.456095	0.231840	3296.738037
8388.884307	1.418789	0.231840	4707.014160
8388.885190	1.385826	0.231840	5930.699219
8388.886182	1.350260	0.231840	7270.157227
8388.887238	1.313899	0.231840	8657.634766
8388.888133	1.283829	0.231840	9806.662109
8388.888997	1.255074	0.231840	10891.046875
8388.890098	1.222566	0.231840	12237.091797
8388.891063	1.194027	0.231840	13389.328125
8388.891926	1.168451	0.231840	14397.701172
8388.892986	1.138491	0.231840	15604.501953
8388.894057	1.115881	0.231840	16799.611328
8388.894935	1.092784	0.231840	17759.076172
8388.895843	0.886853	0.231840	18564.337891
8388.896723	0.141724	0.231840	18689.054687
8388.897672	0.097870	0.231840	18781.933594
8388.898613	0.097914	0.231840	18874.070312
8388.899499	0.098016	0.231840	18960.912109
8388.900489	0.097943	0.231840	19057.875000
8388.901389	0.097928	0.231840	19146.009766
8388.902308	0.098137	0.231840	19236.197266
8388.903172	0.097917	0.231840	19320.798828
8388.904212	0.097983	0.231840	19422.701172
8388.905086	0.097925	0.231840	19508.287109
8389.910983	0.991022	0.196339	431.094421
8389.911849	1.461024	0.196339	1696.341309
8389.912885	1.458801	0.196339	3207.659424
8389.913911	1.420741	0.196339	4665.339844
8389.914784	1.386775	0.196339	5875.994141
8389.915704	1.353234	0.196339	7120.968750
8389.916793	1.316093	0.196339	8554.193359
8389.917741	1.285023	0.196339	9772.395508
8389.918614	1.256700	0.196339	10869.495117
8389.919651	1.224613	0.196339	12139.418945
8389.920674	1.194261	0.196339	13361.148437
8389.921570	1.168195	0.196339	14407.850586
8389.922538	1.141333	0.196339	15512.661133
8389.923605	1.117394	0.196339	16704.919922
8389.924537	1.093791	0.196339	17724.333984
8389.925406	0.906826	0.196339	18512.365234
8389.926507	0.122260	0.196339	18646.972656
8389.927504	0.097885	0.196339	18744.564453
8389.928397	0.098031	0.196339	18832.105469
8389.929266	0.097848	0.196339	18917.134766
8389.930299	0.098057	0.196339	19018.427734
8389.931223	0.097954	0.196339	19108.937500
8389.932148	0.098086	0.196339	19199.667969
8389.933009	0.098038	0.196339	19284.078125
8389.934056	0.097994	0.196339	19386.677734
8389.934925	0.097961	0.196339	19471.806641
8390.967292	1.057939	0.237363	506.752991
8390.968193	1.466188	0.237363	1827.788330
8390.969070	1.460819	0.237363	3108.926758
8390.970076	1.424637	0.237363	4542.112305
8390.971024	1.387782	0.237363	5857.729492
8390.971955	1.354446	0.237363	7118.718750
8390.972822	1.323442	0.237363	8266.143555
8390.973863	1.288920	0.237363	9607.909180
8390.974765	1.260212	0.237363	10744.621094
8390.975634	1.232911	0.237363	11816.021484
8390.976668	1.202040	0.237363	13058.930664
8390.977614	1.174376	0.237363	14169.890625
8390.978498	1.149236	0.237363	15185.815430
8390.979428	1.126161	0.237363	16233.144531
8390.980488	1.102160	0.237363	17401.433594
8390.981382	1.078667	0.237363	18365.761719
8390.982253	0.355001	0.237363	18674.968750
8390.983319	0.098386	0.237363	18779.847656
8390.984272	0.097976	0.237363	18873.218750
8390.985139	0.098064	0.237363	18958.240234
8390.986054	0.098174	0.237363	19048.068359
8390.987126	0.098071	0.237363	19153.201172
8390.988011	0.098082	0.237363	19240.003906
8390.988896	0.098123	0.237363	19326.841797
8390.989995	0.098152	0.237363	19434.710937
8390.990940	0.098035	0.237363	19527.353516
8392.000492	1.037303	0.165196	488.569916
8392.001370	1.464353	0.165196	1774.271973
8392.002236	1.461497	0.165196	3039.927979
8392.003333	1.421873	0.165196	4599.722168
8392.004276	1.386325	0.165196	5907.026367
8392.005157	1.354109	0.165196	7099.996094
8392.006126	1.321307	0.165196	8380.342773
8392.007152	1.286536	0.165196	9700.328125
8392.008036	1.258114	0.165196	10812.500977
8392.008899	1.231322	0.165196	11875.131836
8392.009969	1.199890	0.165196	13159.014648
8392.010901	1.172296	0.165196	14251.594727
8392.011773	1.147251	0.165196	15251.998047
8392.012740	1.124308	0.165196	16339.204102
8392.013779	1.099742	0.165196	17481.835937
8392.014671	1.065048	0.165196	18431.859375
8392.015640	0.267891	0.165196	18691.445312
8392.016695	0.097980	0.165196	18794.814453
8392.017618	0.097892	0.165196	18885.167969
8392.018489	0.097998	0.165196	18970.523437
8392.019546	0.098075	0.165196	19074.189453
8392.020553	0.098027	0.165196	19172.902344
8392.021443	0.097947	0.165196	19260.074219
8392.022396	0.098101	0.165196	19353.564453
8392.023448	0.098148	0.165196	19456.816406
8392.024372	0.097954	0.165196	19547.326172
8393.050114	1.043646	0.241847	514.517578
8393.051006	1.466656	0.241847	1822.775146
8393.051870	1.459750	0.241847	3083.999023
8393.052977	1.420393	0.241847	4656.374023
8393.053936	1.383911	0.241847	5983.544922
8393.054808	1.352498	0.241847	7162.922852
8393.055816	1.317521	0.241847	8490.983398
8393.056898	1.282134	0.241847	9878.251953
8393.057774	1.253514	0.241847	10976.330078
8393.058670	1.225151	0.241847	12074.065430
8393.059782	1.193232	0.241847	13400.939453
8393.060730	1.165668	0.241847	14505.992187
8393.061602	1.141000	0.241847	15500.944336
8393.062637	1.117859	0.241847	16657.927734
8393.063674	1.091920	0.241847	17790.248047
8393.064572	0.873040	0.241847	18574.238281
8393.065518	0.137366	0.241847	18704.185547
8393.066568	0.097961	0.241847	18807.044922
8393.067503	0.097998	0.241847	18898.673828
8393.068365	0.098115	0.241847	18983.250000
8393.069429	0.098258	0.241847	19087.796875
8393.070426	0.097983	0.241847	19185.486328
8393.071318	0.098027	0.241847	19272.925781
8393.072292	0.098156	0.241847	19368.529297
8393.073337	0.098097	0.241847	19471.041016
8393.074246	0.098038	0.241847	19560.158203
8394.091447	0.984045	0.148192	415.267151
8394.092458	1.465796	0.148192	1897.186768
8394.093515	1.453275	0.148192	3433.298584
8394.094410	1.419100	0.148192	4703.393555
8394.095333	1.383966	0.148192	5980.794434
8394.096426	1.345041	0.148192	7450.924805
8394.097376	1.312196	0.148192	8697.510742
8394.098246	1.283093	0.148192	9813.801758
8394.099313	1.249589	0.148192	11147.113281
8394.100315	1.219171	0.148192	12368.722656
