crossing time (s)	slope (V/s)	crossing number
8372.968745	5.297208	6776
8374.016083	4.207841	6777
8375.047418	6.360703	6778
8376.099720	5.260666	6779
8377.134428	6.737266	6780
8378.186757	6.539317	6781
8379.223298	6.549122	6782
8380.274688	6.136426	6783
8381.313490	5.377025	6784
8382.365221	5.141666	6785
8383.401851	5.258047	6786
8384.451802	5.206631	6787
8385.487633	6.102694	6788
8386.538007	5.256263	6789
8387.572998	6.468882	6790
8388.623005	5.476862	6791
8389.659470	6.205893	6792
8390.711334	6.931150	6793
8391.748648	6.759346	6794
8392.795668	7.214195	6795
8393.837099	7.026904	6796
8394.881507	6.376954	6797
8395.923980	7.246561	6798
8396.966583	5.857839	6799
8398.010736	7.801068	6800
8399.050296	5.780094	6801
8400.092622	6.902225	6802
8401.135364	5.352480	6803
8402.180595	6.106792	6804
8403.222447	5.950177	6805
8404.269034	6.592790	6806
8405.308474	7.009447	6807
8406.354655	7.677289	6808
8407.392723	6.960711	6809
8408.440038	8.033990	6810
8409.476573	6.326965	6811
8410.524746	8.294327	6812
8411.562974	6.066846	6813
8412.608206	7.647639	6814
8413.648083	5.740672	6815
8414.692662	6.997249	6816
8415.736057	6.351569	6817
8416.780652	7.201738	6818
8417.822585	7.260094	6819
8418.867818	7.723041	6820
8419.907495	7.350439	6821
8420.950805	7.726244	6822
8421.991562	6.662395	6823
8423.035283	7.922403	6824
8424.078112	6.418414	6825
8425.119321	7.834548	6826
8426.163798	6.447759	6827
8427.201987	7.462932	6828
8428.250039	6.998673	6829
8429.286400	7.482921	6830
8430.335441	7.720898	6831
8431.371520	7.359141	6832
8432.420599	7.322351	6833
8433.456872	7.059325	6834
8434.504473	6.676594	6835
8435.543625	7.484097	6836
8436.591798	6.753076	6837
8437.628359	7.755484	6838
8438.675314	6.802881	6839
8439.712296	7.806079	6840
8440.761476	7.128054	6841
8441.795601	7.759972	6842
8442.844433	7.186897	6843
8443.879287	7.495234	6844
8444.929755	6.986140	6845
8445.967689	7.153817	6846
8447.015245	6.742476	6847
8448.053621	7.400276	6848
8449.100894	6.918716	6849
8450.138355	7.973436	6850
8451.184507	7.054024	6851
8452.221480	8.062841	6852
8453.270637	7.308538	6853
8454.306271	8.122138	6854
8455.352881	7.287480	6855
8456.390835	7.794079	6856
8457.438749	7.079892	6857
8458.476744	7.539923	6858
8459.523309	6.829028	6859
8460.563445	7.953580	6860
8461.609232	7.007528	6861
8462.647815	8.235234	6862
8463.693793	7.264018	6863
8464.732864	8.383658	6864
8465.779140	7.290649	6865
8466.815708	8.099393	6866
8467.862827	7.476394	6867
8468.899660	8.012348	6868
8469.947078	7.514183	6869
8470.983705	7.991929	6870
8472.031992	7.324635	6871
8473.069962	8.199113	6872
8474.117485	7.377496	6873
8475.155196	8.707295	6874
8476.202200	7.656894	6875
8477.239044	8.925387	6876
8478.286537	7.811901	6877
8479.322099	8.382933	6878
8480.371447	7.854215	6879
8481.408166	8.350525	6880
8482.454868	7.770190	6881
8483.493623	8.347420	6882
8484.539435	7.619343	6883
8485.578367	8.710477	6884
8486.624374	7.740765	6885
8487.663278	9.226499	6886
8488.707984	7.851634	6887
8489.748641	9.003311	6888
8490.792476	7.880395	6889
8491.833532	8.836878	6890
8492.876780	8.076881	6891
8493.918504	8.685754	6892
8494.961211	7.873883	6893
8496.004683	8.652886	6894
8497.045037	7.798236	6895
8498.087050	9.196102	6896
8499.127772	7.915992	6897
8500.170537	9.381393	6898
8501.212319	7.815673	6899
8502.256196	9.294992	6900
8503.298119	8.017265	6901
8504.340364	9.147430	6902
8505.382264	7.928656	6903
8506.425843	8.979948	6904
8507.466381	8.142354	6905
8508.510404	9.129687	6906
8509.550720	7.922617	6907
8510.593451	9.155742	6908
8511.636436	8.059876	6909
8512.677705	9.400458	6910
8513.720322	8.013493	6911
8514.761933	9.310897	6912
8515.805681	8.093003	6913
8516.845099	9.164233	6914
8517.889849	8.036332	6915
8518.930910	8.971215	6916
8519.974284	8.096913	6917
8521.014987	9.130722	6918
8522.058773	7.996949	6919
8523.097603	9.098244	6920
8524.143168	8.032725	6921
8525.181992	9.215618	6922
8526.227356	8.026546	6923
8527.266104	9.062105	6924
8528.312474	8.178699	6925
8529.350474	9.042513	6926
8530.395887	8.109731	6927
8531.435110	8.889056	6928
8532.480780	8.016168	6929
8533.519574	8.855958	6930
8534.565056	7.955873	6931
8535.604469	9.048679	6932
8536.650887	7.987414	6933
8537.689053	9.272004	6934
8538.731260	7.900211	6935
8539.773123	9.160104	6936
8540.818067	7.998588	6937
8541.856269	9.123786	6938
8542.903093	7.936894	6939
8543.941355	8.972686	6940
8544.987520	7.870405	6941
8546.026229	8.955697	6942
8547.071823	7.993549	6943
8548.109843	9.174912	6944
8549.155133	8.165268	6945
8550.195755	9.236978	6946
8551.239684	7.925907	6947
8552.279193	9.289149	6948
8553.324028	8.146235	6949
8554.363332	9.245788	6950
8555.408149	8.068594	6951
8556.447649	9.016342	6952
8557.493014	7.933796	6953
8558.533383	9.101871	6954
8559.577199	8.119776	6955
8560.617215	9.361416	6956
8561.660684	8.068529	6957
8562.701772	9.339867	6958
8563.745265	8.165006	6959
8564.785408	9.304354	6960
8565.830189	8.161305	6961
8566.869788	9.345922	6962
8567.914413	8.192312	6963
8568.953761	9.358449	6964
8569.998948	8.286603	6965
8571.038995	9.490028	6966
8572.082799	8.315869	6967
8573.115672	9.883212	6968
8574.167694	8.268758	6969
8575.207990	9.550252	6970
8576.251589	8.231191	6971
8577.292925	9.899678	6972
8578.329604	8.348164	6973
8579.380415	9.426142	6974
8580.417398	8.257676	6975
8581.461786	9.524913	6976
8582.501872	8.431533	6977
8583.546757	9.735730	6978
8584.584414	8.258834	6979
8585.629743	9.605924	6980
8586.668155	8.201659	6981
8587.713103	9.529844	6982
8588.751501	8.295580	6983
8589.797416	9.626436	6984
8590.834479	8.475640	6985
8591.878365	9.281593	6986
8592.916652	8.569946	6987
8593.964180	10.314675	6988
8595.002915	8.343487	6989
8596.048558	9.739653	6990
8597.086766	8.115181	6991
8598.131650	9.656146	6992
8599.170106	8.048730	6993
8600.213966	9.494577	6994
8601.254023	8.052561	6995
8602.298389	9.562338	6996
8603.337196	8.221678	6997
8604.382916	9.528726	6998
8605.421665	8.270679	6999
8606.467448	9.558224	7000
8607.505483	8.103792	7001
8608.550476	9.489304	7002
8609.589077	8.135684	7003
8610.633579	9.529620	7004
8611.673018	7.808602	7005
8612.716847	9.279194	7006
8613.757348	8.050308	7007
8614.799813	9.302260	7008
8615.840691	7.999494	7009
8616.883486	9.375257	7010
8617.923734	7.874160	7011
8618.967575	9.075943	7012
8620.007424	7.845210	7013
8621.051724	9.191132	7014
8622.090651	7.758051	7015
8623.136782	9.201196	7016
8624.175246	7.696462	7017
8625.219862	9.137252	7018
8626.258650	7.768595	7019
8627.303172	9.270197	7020
8628.342424	7.698461	7021
8629.387035	9.149777	7022
8630.424743	7.765511	7023
8631.471646	9.118207	7024
8632.509115	7.695618	7025
8633.554618	9.149794	7026
8634.592759	7.704109	7027
8635.638571	9.039906	7028
8636.675771	7.622870	7029
8637.722612	9.053790	7030
8638.759861	7.605054	7031
8639.805410	9.065532	7032
8640.843967	7.577617	7033
8641.888272	9.054886	7034
8642.927248	7.729058	7035
8643.972217	8.985431	7036
8645.011087	7.640045	7037
8646.055894	8.919759	7038
8647.094783	7.618734	7039
8648.139850	9.028736	7040
8649.178323	7.579413	7041
8650.223551	9.119953	7042
8651.262632	7.544989	7043
8652.306677	9.010662	7044
8653.346177	7.612194	7045
8654.391042	9.012603	7046
8655.429516	7.637519	7047
8656.475186	8.937702	7048
8657.514125	7.602807	7049
8658.556557	8.746165	7050
8659.596768	7.600225	7051
8660.642475	8.986605	7052
8661.680758	7.621737	7053
8662.726253	8.962426	7054
8663.763090	7.622905	7055
8664.810108	8.985134	7056
8665.847318	7.542282	7057
8666.893497	8.896431	7058
8667.930889	7.556272	7059
8668.977747	8.913756	7060
8670.014157	7.570885	7061
8671.061405	8.987853	7062
8672.097785	7.583718	7063
8673.145425	8.876679	7064
8674.181399	7.634263	7065
8675.229250	8.937276	7066
8676.265008	7.618663	7067
8677.311810	8.879452	7068
8678.348504	7.462526	7069
8679.396679	8.751225	7070
8680.432530	7.643035	7071
8681.479589	8.797175	7072
8682.516496	7.431111	7073
8683.562231	8.708063	7074
8684.599780	7.377660	7075
8685.646748	8.843011	7076
8686.683541	7.355834	7077
8687.730347	8.748325	7078
8688.767044	7.412582	7079
8689.813373	8.638183	7080
8690.850306	7.420846	7081
8691.896436	8.568021	7082
8692.935501	7.801762	7083
8693.979464	10.127622	7084
8695.016495	7.623906	7085
8696.064791	8.400910	7086
8697.102354	7.361263	7087
8698.148014	8.571586	7088
8699.185589	7.223755	7089
8700.231518	8.520726	7090
8701.268951	7.158620	7091
8702.316008	8.526699	7092
8703.352643	7.150083	7093
8704.398476	8.509221	7094
8705.436404	7.136040	7095
8706.482567	8.461845	7096
8707.519306	7.093899	7097
8708.567559	8.362095	7098
8709.603584	7.123759	7099
8710.650337	8.357622	7100
8711.687176	7.098984	7101
8712.733607	8.302264	7102
8713.770807	7.150178	7103
8714.817232	8.374813	7104
8715.854064	7.003443	7105
8716.900847	8.351878	7106
8717.937480	6.995282	7107
8718.984703	8.319522	7108
8720.020422	7.008126	7109
8721.068909	8.528962	7110
8722.105027	6.988219	7111
8723.151573	8.248996	7112
8724.189435	7.098040	7113
8725.236269	8.387644	7114
8726.272581	7.032246	7115
8727.319291	8.396239	7116
8728.356182	6.962991	7117
8729.404169	8.247068	7118
