time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
8374.017346	100.549164	0.905978	0.058377	121
8376.100576	100.385857	0.909555	0.054271	123
8378.187466	100.317734	0.927500	0.057927	125
8380.275085	100.604774	0.935496	0.057395	127
8382.365342	100.843437	0.944836	0.056591	129
8384.453677	101.063347	0.954947	0.057141	131
8386.539210	101.103600	0.963255	0.057078	133
8388.624638	101.131264	0.970685	0.057123	135
8390.711022	101.298119	0.977516	0.057128	137
8392.795863	101.513847	0.983863	0.056891	139
8394.881122	101.646431	0.989703	0.057564	141
8396.967003	101.778000	0.995674	0.056843	143
8399.050815	101.699509	1.002667	0.056511	145
8401.136118	101.639694	1.006184	0.057262	147
8403.223165	101.813858	1.010797	0.056841	149
8405.308888	101.915932	1.015874	0.057245	151
8407.393112	101.928276	1.020502	0.057457	153
8409.477863	101.901115	1.025360	0.057583	155
8411.563087	101.846840	1.030619	0.057634	157
8413.648649	101.789406	1.034355	0.058211	159
8415.735805	101.871986	1.038399	0.058245	161
8417.822026	101.991661	1.041489	0.058841	163
8419.907675	101.934692	1.047133	0.059434	165
8421.993139	101.898331	1.050109	0.059937	167
8424.078797	101.815300	1.054339	0.060301	169
8426.164705	101.691040	1.058975	0.061069	171
8428.250657	101.542442	1.062514	0.061521	173
8430.335186	101.459724	1.066668	0.062356	175
8432.420371	101.441788	1.069656	0.062815	177
8434.505874	101.524055	1.072553	0.063195	179
8436.591893	101.445473	1.077226	0.063491	181
8438.676367	101.419357	1.082057	0.063654	183
8440.761198	101.485558	1.075487	0.061499	185
8442.845180	101.330208	1.089937	0.064280	187
8444.929798	101.371170	1.091931	0.064027	189
8447.015436	101.598099	1.094573	0.063935	191
8449.100916	101.663109	1.098333	0.064288	193
8451.185444	101.706734	1.101827	0.064300	195
8453.270103	101.662849	1.104576	0.064445	197
8455.354001	101.646881	1.107307	0.064422	199
8457.438717	101.677124	1.109583	0.064811	201
8459.524027	101.796562	1.112135	0.064912	203
8461.609361	101.907951	1.115176	0.065118	205
8463.694201	101.988335	1.117809	0.065325	207
8465.778284	101.956436	1.120944	0.065610	209
8467.863449	101.875984	1.122836	0.065868	211
8469.947609	101.880180	1.124924	0.066209	213
8472.032500	102.020607	1.127462	0.066534	215
8474.117680	102.071396	1.129102	0.066554	217
8476.202567	102.156792	1.130407	0.066856	219
8478.286850	102.225510	1.131906	0.067216	221
8480.371316	102.326103	1.134396	0.067238	223
8482.455146	102.419395	1.135968	0.067439	225
8484.539347	102.534462	1.137781	0.067163	227
8486.624011	102.680145	1.138884	0.067682	229
8488.708233	102.780174	1.140296	0.067740	231
8490.792631	102.868752	1.141860	0.067608	233
8492.876687	102.940781	1.142633	0.068131	235
8494.960531	102.957962	1.143459	0.067380	237
8497.044450	103.041885	1.142348	0.068117	239
8499.128424	103.004074	1.144242	0.068493	241
8501.213013	103.070404	1.145746	0.067576	243
8503.297788	103.120308	1.146655	0.068601	245
8505.382031	103.193817	1.148278	0.068355	247
8507.466516	103.181526	1.148879	0.068835	249
8509.550712	103.150993	1.151438	0.069167	251
8511.635819	103.131195	1.152537	0.069584	253
8513.720242	103.122643	1.153866	0.069997	255
8515.805065	103.129669	1.155071	0.070728	1
8517.889603	103.137177	1.157371	0.070810	3
8519.974060	103.087105	1.159038	0.071595	5
8522.058713	102.982979	1.160364	0.072504	7
8524.143348	102.952980	1.162449	0.072628	9
8526.227889	102.912262	1.164174	0.073212	11
8528.312575	102.937065	1.165187	0.074143	13
8530.396416	102.900871	1.166840	0.073948	15
8532.481010	102.916237	1.168721	0.074528	17
8534.565499	102.883385	1.169812	0.075221	19
8536.650226	102.922783	1.170841	0.074999	21
8538.733922	102.940140	1.171379	0.075329	23
8540.818421	102.984932	1.172280	0.075379	25
8542.902853	103.014572	1.173702	0.075441	27
8544.987158	103.054947	1.174601	0.075695	29
8547.071548	103.086754	1.175354	0.075633	31
8549.155623	103.133659	1.175630	0.075900	33
8551.239990	103.201118	1.176769	0.076016	35
8553.324260	103.230766	1.177721	0.076104	37
8555.408654	103.262032	1.177789	0.076925	39
8557.493144	103.341911	1.179455	0.076795	41
8559.577185	103.413803	1.181154	0.077198	43
8561.661485	103.431717	1.182419	0.077545	45
8563.745911	103.450882	1.183913	0.077627	47
8565.830336	103.514961	1.184403	0.077867	49
8567.914588	103.561722	1.185995	0.078230	51
8569.998904	103.624588	1.186211	0.078633	53
8572.083102	103.643883	1.187162	0.078954	55
8574.167327	103.735466	1.187524	0.079117	57
8576.251281	103.872894	1.191134	0.078546	59
8578.333315	104.171532	1.191137	0.080217	61
8580.417665	104.286736	1.191717	0.079686	63
