time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9447.683945	117.057755	-0.742609	0.100000	125
9449.772011	119.874451	-0.786232	0.025701	127
9451.861620	119.889107	-0.782162	0.025526	129
9453.949707	296.885468	0.786638	-0.100000	131
9456.041511	300.337158	0.829093	-0.031330	133
9458.131755	300.536652	0.863351	-0.032175	135
9460.218850	300.899475	0.899271	-0.034603	137
9462.303431	301.108765	0.933225	-0.035077	139
9464.393695	301.347992	0.967685	-0.036058	141
9466.480574	301.607422	1.002735	-0.037769	143
9468.567807	301.775513	1.037180	-0.038009	145
9470.655954	301.985046	1.075803	-0.039411	147
9472.743400	301.916992	1.111562	-0.039593	149
9474.829873	301.932312	1.145911	-0.040159	151
9476.916594	301.771118	1.179203	-0.040145	153
9479.003023	301.644653	1.211967	-0.039688	155
9481.089056	301.431030	1.242343	-0.039347	157
9483.174879	301.336517	1.269502	-0.039076	159
9485.260392	301.141388	1.294155	-0.038396	161
9487.345531	300.871582	1.318632	-0.037683	163
9489.430347	300.792114	1.341455	-0.038259	165
9491.515351	300.743286	1.362740	-0.037848	167
9493.600854	300.750916	1.383006	-0.038086	169
9495.688039	300.658447	1.401247	-0.037913	171
9497.776147	300.455688	1.416066	-0.036920	173
9499.864181	300.347107	1.429496	-0.036713	175
9501.951987	300.209869	1.440977	-0.035250	177
9504.038817	300.043610	1.452758	-0.035396	179
9506.125549	299.915955	1.465651	-0.034645	181
9508.211661	299.903351	1.477196	-0.035530	183
9510.296839	299.807861	1.490292	-0.034922	185
9512.381720	299.857697	1.504910	-0.035590	187
9514.466381	300.030945	1.518009	-0.035976	189
9516.550649	300.278625	1.532077	-0.036338	191
9518.634845	300.567657	1.549217	-0.037391	193
9520.718535	300.861694	1.564534	-0.038681	195
9522.802143	301.100861	1.578074	-0.039008	197
9524.885787	301.345886	1.592219	-0.039953	199
9526.970319	301.475189	1.604856	-0.040555	201
9529.055920	301.487640	1.616303	-0.040223	203
9531.141476	301.526459	1.626956	-0.040410	205
9533.227611	301.534180	1.634172	-0.040140	207
9535.314301	301.509583	1.641897	-0.039917	209
9537.399768	301.399902	1.648753	-0.039059	211
9539.484849	301.336884	1.662865	-0.038323	213
9541.570296	301.455688	1.671719	-0.038260	215
9543.655785	301.525269	1.679293	-0.037922	217
9545.741477	301.596924	1.687229	-0.037595	219
9547.827401	301.572021	1.691194	-0.037300	221
9549.912703	301.442688	1.700720	-0.036732	223
9551.997183	301.340759	1.708873	-0.036298	225
9554.081451	301.237457	1.718664	-0.035799	227
9556.165936	301.231842	1.728540	-0.035425	229
9558.250533	301.146393	1.733554	-0.035289	231
9560.335454	300.967682	1.739975	-0.034777	233
9562.419843	300.792267	1.746246	-0.034054	235
9564.503704	300.602753	1.752316	-0.033594	237
9566.587798	300.539001	1.758334	-0.033300	239
9568.672621	300.523560	1.765499	-0.033158	241
9570.758081	300.525452	1.767779	-0.032751	243
9572.843492	300.440063	1.770153	-0.032478	245
9574.928543	300.338196	1.771105	-0.031427	247
9577.014023	300.114532	1.772062	-0.030240	249
9579.099943	299.949127	1.771635	-0.029532	251
9581.186139	299.871796	1.771502	-0.029751	253
9583.271948	299.694885	1.772824	-0.028368	255
9585.357270	299.561920	1.773890	-0.027423	1
9587.442515	299.477295	1.774967	-0.026974	3
9589.528195	299.477966	1.772550	-0.027181	5
9591.613308	299.342255	1.777377	-0.025995	7
9593.698011	299.411346	1.782201	-0.026768	9
9595.782085	299.376984	1.789452	-0.026150	11
9597.865757	299.582764	1.797930	-0.027093	13
9599.949626	299.754211	1.801450	-0.027248	15
9602.033567	299.912018	1.808026	-0.027769	17
9604.117403	300.053864	1.817692	-0.028397	19
9606.201260	300.280884	1.825083	-0.028639	21
9608.285222	300.486664	1.828114	-0.028718	23
9610.369302	300.649902	1.833225	-0.029360	25
9612.453600	300.742096	1.836586	-0.029368	27
9614.538084	300.668945	1.840838	-0.029110	29
9616.622935	300.652100	1.842304	-0.029026	31
9618.708159	300.599182	1.847909	-0.028798	33
9620.793341	300.607086	1.848505	-0.028727	35
9622.878494	300.591125	1.851240	-0.028230	37
9624.963711	300.571075	1.853354	-0.027835	39
9627.048698	300.497345	1.857196	-0.027818	41
9629.133993	300.550293	1.859280	-0.027378	43
9631.219170	300.534485	1.862072	-0.027349	45
9633.304185	300.489227	1.864825	-0.026759	47
9635.388908	300.408203	1.867809	-0.026309	49
9637.473357	300.316040	1.873846	-0.025768	51
9639.557803	300.286072	1.876176	-0.025846	53
9641.642358	300.193268	1.879601	-0.025583	55
9643.726931	300.103516	1.882360	-0.025562	57
9645.811120	299.965881	1.883298	-0.024980	59
9647.895336	299.841766	1.889052	-0.024400	61
9649.979547	299.758636	1.890747	-0.024525	63
9652.064115	299.706696	1.891611	-0.024469	65
9654.148872	299.673645	1.893420	-0.024532	67
9656.233781	299.639557	1.893629	-0.024149	69
9658.318693	299.599731	1.896055	-0.024303	71
9660.403866	299.457703	1.895577	-0.023213	73
9662.489350	299.300293	1.891930	-0.022345	75
9664.574865	299.369843	1.868366	-0.023825	77
9666.660029	299.199738	1.850423	-0.022609	79
9668.745369	299.062836	1.844405	-0.021190	81
9670.830566	299.056549	1.838934	-0.021759	83
9672.915559	299.031555	1.835381	-0.021889	85
9675.000141	299.003357	1.831736	-0.021560	87
9677.084450	299.016693	1.828852	-0.022275	89
9679.168813	299.008209	1.827466	-0.022305	91
9681.252804	299.028259	1.828889	-0.021923	93
9683.336825	299.138824	1.829378	-0.022953	95
9685.420595	299.163116	1.831665	-0.022682	97
9687.504123	299.260651	1.832220	-0.023378	99
9689.587466	299.388855	1.835444	-0.023063	101
9691.671170	299.559875	1.838148	-0.023987	103
9693.754714	299.640930	1.839187	-0.023829	105
9695.838725	299.732758	1.840762	-0.024237	107
9697.922800	299.680603	1.838779	-0.024012	109
9700.007206	299.671570	1.838156	-0.024028	111
9702.091600	299.645172	1.834219	-0.023848	113
9704.176309	299.616333	1.832132	-0.023619	115
9706.261366	299.566010	1.828246	-0.023469	117
9708.346320	299.578796	1.825830	-0.023285	119
9710.431379	299.541992	1.820769	-0.023000	121
9712.516454	299.529053	1.818688	-0.022530	123
9714.601310	299.506866	1.815643	-0.022422	125
9716.685952	299.472839	1.811730	-0.022167	127
9718.770476	299.424500	1.810229	-0.021830	129
9720.854887	299.398743	1.809688	-0.021720	131
9722.939294	299.355743	1.808541	-0.021316	133
9725.023319	299.280182	1.808421	-0.021051	135
9727.107289	299.207092	1.806200	-0.020484	137
9729.191057	299.099762	1.805393	-0.020367	139
9731.274726	298.993744	1.802834	-0.020034	141
9733.358551	298.898010	1.803714	-0.019975	143
9735.442342	298.799286	1.801703	-0.019633	145
9737.526290	298.705566	1.801441	-0.019555	147
9739.610397	298.653564	1.799480	-0.019314	149
9741.694735	298.634186	1.797640	-0.019041	151
9743.779194	298.588684	1.792833	-0.019222	153
9745.863877	298.583954	1.790357	-0.018732	155
9747.948749	298.449524	1.786059	-0.018287	157
9750.033841	298.430206	1.781296	-0.018310	159
9752.118798	298.350861	1.776508	-0.018227	161
9754.203858	298.264160	1.769752	-0.017661	163
9756.288719	298.187897	1.764760	-0.017340	165
9758.373498	298.135223	1.761113	-0.017108	167
9760.458142	298.153351	1.757341	-0.016787	169
9762.542623	298.136383	1.755596	-0.017217	171
9764.627029	298.121765	1.752852	-0.016593	173
9766.711080	298.137299	1.751644	-0.016714	175
9768.795032	298.193970	1.751115	-0.016516	177
9770.878822	298.229645	1.751788	-0.016545	179
