crossing time (s)	slope (V/s)	crossing number
6724.233059	6.028400	5212
6725.228610	4.923179	5213
6726.304832	5.963184	5214
6727.320599	5.144040	5215
6728.384994	5.800991	5216
6729.412610	5.282787	5217
6730.474154	7.043970	5218
6731.498555	5.372398	5219
6732.559490	7.856128	5220
6733.582860	5.508850	5221
6734.644652	7.562981	5222
6735.666143	5.326134	5223
6736.729160	7.213806	5224
6737.746515	5.579751	5225
6738.822835	6.838890	5226
6739.816388	5.586062	5227
6740.917871	6.325107	5228
6741.895756	5.688666	5229
6743.004459	8.226901	5230
6743.986524	6.094132	5231
6745.080887	8.610420	5232
6746.088718	6.714284	5233
6747.151271	8.641679	5234
6748.180184	5.892887	5235
6749.247173	8.335159	5236
6750.247476	7.263911	5237
6751.343911	7.826660	5238
6752.321951	7.502558	5239
6753.435697	10.460387	5240
6754.425989	7.641584	5241
6755.495589	7.993068	5242
6756.518488	7.032250	5243
6757.586908	8.219837	5244
6758.598374	7.002991	5245
6759.679698	6.813514	5246
6760.667334	6.776547	5247
6761.779952	10.485593	5248
6762.747019	6.154499	5249
6763.857039	10.275825	5250
6764.849929	5.945073	5251
6765.928454	9.199711	5252
6766.942334	8.013585	5253
6768.012175	8.638926	5254
6769.031798	5.633392	5255
6770.096987	9.836465	5256
6771.114286	5.615846	5257
6772.179132	10.117814	5258
6773.198456	6.475031	5259
6774.260851	9.311995	5260
6775.282230	6.556978	5261
6776.342852	8.713911	5262
6777.368675	6.075780	5263
6778.424793	7.941054	5264
6779.456247	6.901602	5265
6780.508673	7.189882	5266
6781.537774	7.480007	5267
6782.611270	8.082723	5268
6783.612463	7.981932	5269
6784.687702	8.047714	5270
6785.688667	7.876472	5271
6786.793873	6.472242	5272
6787.765875	7.704456	5273
6788.879012	9.504906	5274
6789.849272	7.941553	5275
6790.946954	8.027258	5276
6791.955006	7.389844	5277
6793.020221	5.902803	5278
6794.042119	7.919766	5279
6795.108195	7.236944	5280
6796.117902	8.586909	5281
6797.198418	6.112356	5282
6798.193753	7.674206	5283
6799.309419	8.331727	5284
6800.274418	8.130094	5285
6801.382578	8.983868	5286
6802.363171	7.288780	5287
6803.448049	7.812847	5288
6804.463454	7.572608	5289
6805.526198	6.391722	5290
6806.547764	8.256143	5291
6807.611940	6.474667	5292
6808.632674	7.383656	5293
6809.699289	9.087900	5294
6810.714219	7.139589	5295
6811.780175	9.616093	5296
6812.796984	7.428899	5297
6813.866791	7.218089	5298
6814.878792	7.770919	5299
6815.961675	4.515683	5300
6816.960613	7.440040	5301
6818.049875	6.433316	5302
6819.048576	6.505407	5303
6820.132172	7.798235	5304
6821.139576	7.540944	5305
6822.209717	8.795177	5306
6823.225600	8.372663	5307
6824.292610	9.541065	5308
6825.313361	7.106662	5309
6826.378328	10.389885	5310
6827.399319	7.020858	5311
6828.463621	9.907083	5312
6829.476083	7.637489	5313
6830.554096	9.227793	5314
6831.547597	7.945128	5315
6832.645545	10.110569	5316
6833.622442	7.623379	5317
6834.731735	10.683392	5318
6835.712024	5.873302	5319
6836.811459	11.420426	5320
6837.807993	8.511384	5321
6838.885696	11.161684	5322
6839.900534	7.307760	5323
6840.965587	11.746676	5324
6841.992101	7.166165	5325
6843.049900	10.689238	5326
6844.067949	7.888575	5327
6845.141225	9.511755	5328
6846.141479	7.942686	5329
6847.230859	9.772393	5330
6848.215104	7.331285	5331
6849.320191	9.204965	5332
6850.299008	6.183923	5333
6851.406473	9.870062	5334
6852.386380	6.256721	5335
6853.489621	9.766661	5336
6854.472938	7.418451	5337
6855.572528	8.483203	5338
6856.558017	7.704240	5339
6857.659738	7.095213	5340
6858.641161	7.957659	5341
6859.750636	8.629573	5342
6860.723940	7.894906	5343
6861.836431	10.486160	5344
6862.805396	7.321990	5345
6863.917976	10.283148	5346
6864.889541	6.621064	5347
6866.001645	9.278282	5348
6866.974906	6.632462	5349
6868.086213	8.760794	5350
6869.062536	6.917303	5351
6870.166520	9.048656	5352
6871.152971	7.139405	5353
6872.241463	8.918828	5354
