time (s)	coil I (A)	last det (V)	int current (uC)
6727.572013	1.061283	0.279902	555.050964
6727.573100	1.473860	0.279902	2157.136719
6727.574051	1.452374	0.279902	3538.344727
6727.574920	1.418987	0.279902	4771.444336
6727.575985	1.379033	0.279902	6240.114746
6727.576995	1.343156	0.279902	7596.701660
6727.577888	1.311910	0.279902	8768.237305
6727.578876	1.280566	0.279902	10033.436523
6727.579925	1.246791	0.279902	11341.320312
6727.580836	1.218278	0.279902	12451.170898
6727.581775	0.614004	0.279902	13027.720703
6727.582635	0.103759	0.279902	13116.953125
6727.583690	0.097888	0.279902	13220.225586
6727.584565	0.097925	0.279902	13305.910156
6727.585438	0.097896	0.279902	13391.373047
6727.586422	0.098046	0.279902	13487.849609
6727.587364	0.097921	0.279902	13580.091797
6727.588286	0.097914	0.279902	13670.368164
6727.589158	0.097983	0.279902	13755.809570
6727.590204	0.097885	0.279902	13858.197266
6727.591095	0.097961	0.279902	13945.480469
6728.646683	1.069918	0.161236	544.588379
6728.647565	1.470000	0.161236	1841.128418
6728.648462	1.460889	0.161236	3151.545654
6728.649573	1.420433	0.161236	4729.646973
6728.650521	1.384856	0.161236	6042.490234
6728.651394	1.352955	0.161236	7223.620117
6728.652443	1.316678	0.161236	8604.815430
6728.653487	1.282061	0.161236	9943.287109
6728.654378	1.253569	0.161236	11060.217773
6728.655343	1.224309	0.161236	12241.675781
6728.656411	0.662336	0.161236	12949.050781
6728.657333	0.103154	0.161236	13044.159180
6728.658195	0.097928	0.161236	13128.573242
6728.659276	0.098035	0.161236	13234.548828
6728.660272	0.097950	0.161236	13332.107422
6728.661146	0.097972	0.161236	13417.735352
6728.662137	0.098163	0.161236	13515.014648
6728.663177	0.097976	0.161236	13616.910156
6728.664082	0.097925	0.161236	13705.532227
6728.664938	0.097987	0.161236	13789.409180
6728.666035	0.098093	0.161236	13897.017578
6729.663458	1.033524	0.267346	475.421112
6729.664339	1.466580	0.267346	1767.477783
6729.665316	1.461167	0.267346	3195.038086
6729.666371	1.421569	0.267346	4694.792969
6729.667300	1.386368	0.267346	5982.729492
6729.668169	1.353915	0.267346	7159.281250
6729.669273	1.316572	0.267346	8612.777344
6729.670267	1.283137	0.267346	9888.215820
6729.671167	1.254459	0.267346	11017.228516
6729.672172	1.224122	0.267346	12247.471680
6729.673221	0.692153	0.267346	12973.540039
6729.674108	0.105513	0.267346	13067.129883
6729.674990	0.098053	0.267346	13153.612305
6729.676071	0.098156	0.267346	13259.718750
6729.677033	0.097841	0.267346	13353.841797
6729.677895	0.097947	0.267346	13438.271484
6729.678936	0.098163	0.267346	13540.458984
6729.679982	0.097885	0.267346	13642.845703
6729.680862	0.097896	0.267346	13728.994141
6729.681776	0.097932	0.267346	13818.503906
6729.682860	0.098071	0.267346	13924.813477
6730.733508	1.007439	0.147089	436.221100
6730.734387	1.464595	0.147089	1723.599854
6730.735407	1.461083	0.147089	3213.904297
6730.736457	1.422206	0.147089	4707.220215
6730.737354	1.387668	0.147089	5951.958984
6730.738239	1.354340	0.147089	7150.549805
6730.739331	1.317770	0.147089	8589.554687
6730.740278	1.286041	0.147089	9807.435547
6730.741143	1.257913	0.147089	10895.530273
6730.742201	1.225730	0.147089	12192.352539
6730.743236	0.753970	0.147089	12972.710937
6730.744114	0.110735	0.147089	13069.936523
6730.745067	0.098020	0.147089	13163.349609
6730.746149	0.098086	0.147089	13269.478516
6730.747071	0.098016	0.147089	13359.849609
6730.747926	0.097987	0.147089	13443.628906
6730.748971	0.098075	0.147089	13546.117187
6730.749999	0.098024	0.147089	13646.885742
6730.750890	0.097859	0.147089	13734.078125
6730.751855	0.098016	0.147089	13828.664062
6730.752919	0.098002	0.147089	13932.937500
6731.751350	1.003759	0.238471	422.582336
6731.752454	1.471403	0.238471	2047.010742
6731.753442	1.454330	0.238471	3483.888672
6731.754313	1.421232	0.238471	4721.781250
6731.755394	1.380414	0.238471	6214.008789
6731.756439	1.343071	0.238471	7617.518066
6731.757332	1.311621	0.238471	8788.795898
6731.758268	1.281500	0.238471	9988.280273
6731.759339	1.247329	0.238471	11324.169922
6731.760293	1.217985	0.238471	12486.126953
6731.761163	0.661472	0.238471	13061.607422
6731.762248	0.100576	0.238471	13170.732422
6731.763256	0.097859	0.238471	13269.374023
6731.764134	0.097888	0.238471	13355.320312
6731.765115	0.098174	0.238471	13451.628906
6731.766160	0.098112	0.238471	13554.155273
6731.767067	0.097877	0.238471	13642.929687
6731.767927	0.098119	0.238471	13727.311523
6731.769005	0.098232	0.238471	13833.206055
6731.769995	0.098071	0.238471	13930.296875
6731.770866	0.097899	0.238471	14015.567383
6732.818873	1.010757	0.136841	424.517883
6732.819927	1.472424	0.136841	1976.453125
6732.820826	1.459134	0.136841	3288.214844
6732.821700	1.426432	0.136841	4534.916016
6732.822684	1.389884	0.136841	5902.562012
6732.823625	1.354764	0.136841	7177.395508
6732.824546	1.323278	0.136841	8396.133789
6732.825414	1.292622	0.136841	9518.129883
6732.826471	1.259652	0.136841	10849.582031
6732.827350	1.232289	0.136841	11932.763672
6732.828213	1.098897	0.136841	12881.111328
6732.829304	0.161957	0.136841	13057.806641
6732.830227	0.097797	0.136841	13148.073242
6732.831095	0.098013	0.136841	13233.148437
6732.832058	0.098031	0.136841	13327.552734
6732.833081	0.097943	0.136841	13427.749023
6732.833969	0.097972	0.136841	13514.748047
6732.834831	0.098075	0.136841	13599.289062
6732.835885	0.098108	0.136841	13702.694336
6732.836829	0.098079	0.136841	13795.280273
6732.837704	0.097954	0.136841	13880.990234
6733.836304	1.078422	0.233017	534.897095
6733.837205	1.469106	0.233017	1858.562012
6733.838084	1.462420	0.233017	3144.028809
6733.839058	1.426428	0.233017	4533.370117
6733.840040	1.389163	0.233017	5897.527832
6733.840967	1.355500	0.233017	7154.076660
6733.841832	1.325163	0.233017	8300.342773
6733.842841	1.291011	0.233017	9602.972656
6733.843737	1.261842	0.233017	10733.583008
6733.844615	1.234625	0.233017	11817.583984
6733.845540	1.092861	0.233017	12828.480469
6733.846548	0.176854	0.233017	13006.750000
6733.847430	0.097841	0.233017	13093.044922
6733.848289	0.098057	0.233017	13177.275391
6733.849413	0.098009	0.233017	13287.437500
6733.850321	0.097965	0.233017	13376.389648
6733.851196	0.097932	0.233017	13462.080078
6733.852218	0.098170	0.233017	13562.410156
6733.853207	0.098112	0.233017	13659.442383
6733.854099	0.097983	0.233017	13746.843750
6733.854953	0.098064	0.233017	13830.590820
6734.903737	0.987979	0.138025	416.926941
6734.904691	1.462943	0.138025	1812.574707
6734.905755	1.456794	0.138025	3362.604004
6734.906687	1.421810	0.138025	4687.731445
6734.907558	1.388119	0.138025	5896.783203
6734.908628	1.349952	0.138025	7341.232422
6734.909634	1.315239	0.138025	8664.363281
6734.910532	1.285785	0.138025	9818.998047
6734.911508	1.254642	0.138025	11043.529297
6734.912549	1.222266	0.138025	12315.908203
6734.913464	0.773972	0.138025	13024.092773
6734.914326	0.113262	0.138025	13121.724609
6734.915410	0.098020	0.138025	13227.978516
6734.916405	0.098024	0.138025	13325.511719
