time (s)	det(V)
7958.338601	-0.134056	
7958.340164	-0.134548	
7958.341856	-0.135281	
7958.343426	-0.136034	
7958.345105	-0.136304	
7958.346662	-0.136993	
7958.348309	-0.137448	
7958.349885	-0.137126	
7958.351509	-0.137186	
7958.353136	-0.137138	
7958.354743	-0.137750	
7958.356394	-0.138209	
7958.357993	-0.138822	
7958.359660	-0.138922	
7958.361247	-0.139789	
7958.362928	-0.139615	
7958.364485	-0.140135	
7958.366192	-0.140058	
7958.367749	-0.140675	
7958.369428	-0.140626	
7958.370980	-0.140784	
7958.372670	-0.141295	
7958.374172	-0.141368	
7958.375928	-0.142246	
7958.377422	-0.142773	
7958.379201	-0.143084	
7958.380680	-0.143039	
7958.382461	-0.143946	
7958.383944	-0.143466	
7958.385722	-0.143325	
7958.387200	-0.143909	
7958.388967	-0.144063	
7958.390464	-0.143571	
7958.392236	-0.144639	
7958.393743	-0.144707	
7958.395313	-0.144751	
7958.396910	-0.144498	
7958.398410	-0.145162	
7958.400073	-0.145066	
7958.401564	-0.144614	
7958.403189	-0.143926	
7958.404708	-0.144042	
7958.406362	-0.143446	
7958.407836	-0.143136	
7958.409567	-0.142818	
7958.411043	-0.142600	
7958.412736	-0.142238	
7958.414213	-0.141347	
7958.415914	-0.140723	
7958.417400	-0.140030	
7958.419102	-0.138374	
7958.420585	-0.137899	
7958.422386	-0.136574	
7958.423860	-0.135406	
7958.425629	-0.134793	
7958.427124	-0.133456	
7958.428861	-0.131885	
7958.430375	-0.131039	
7958.432100	-0.129178	
7958.433632	-0.127538	
7958.435356	-0.125951	
7958.436908	-0.124098	
7958.438604	-0.122459	
7958.440141	-0.120457	
7958.441813	-0.118531	
7958.443382	-0.117427	
7958.445036	-0.115050	
7958.446617	-0.113556	
7958.448246	-0.111357	
7958.449863	-0.108968	
7958.451485	-0.106450	
7958.453118	-0.103683	
7958.454729	-0.102434	
7958.456373	-0.099638	
7958.457966	-0.097334	
7958.459615	-0.095396	
7958.461188	-0.093181	
7958.462888	-0.090639	
7958.464450	-0.088588	
7958.466148	-0.085861	
7958.467700	-0.082848	
7958.469388	-0.079948	
7958.470927	-0.077547	
7958.472632	-0.075533	
7958.474137	-0.072826	
7958.475902	-0.070900	
7958.477383	-0.068636	
7958.479173	-0.065824	
7958.480649	-0.063818	
7958.482432	-0.061248	
7958.483914	-0.058344	
7958.485661	-0.055371	
7958.487156	-0.053260	
7958.488915	-0.050348	
7958.490413	-0.047500	
7958.492159	-0.045933	
7958.493691	-0.044051	
7958.495191	-0.041876	
7958.496785	-0.039399	
7958.498278	-0.037590	
7958.499889	-0.035294	
7958.501417	-0.032389	
7958.503056	-0.029674	
7958.504534	-0.027841	
7958.506182	-0.024675	
7958.507652	-0.023354	
7958.509284	-0.021565	
7958.510759	-0.019273	
7958.512445	-0.016905	
7958.513928	-0.014556	
7958.515604	-0.012494	
7958.517108	-0.009178	
7958.518769	-0.006382	
7958.520302	-0.004187	
7958.521906	-0.001633	
7958.523475	0.001086	
7958.525157	0.002742	
7958.526722	0.005001	
7958.528381	0.007676	
7958.529966	0.009739	
7958.531611	0.012571	
7958.533205	0.015358	
7958.534831	0.017932	
7958.536452	0.020543	
7958.538051	0.022766	
7958.539696	0.025618	
7958.541282	0.027524	
7958.542942	0.030557	
7958.544517	0.035335	
7958.546193	0.037792	
7958.547759	0.040354	
7958.549475	0.042445	
7958.551013	0.045208	
7958.552721	0.049998	
7958.554246	0.051380	
7958.555989	0.053619	
7958.557488	0.057072	
7958.559243	0.059102	
7958.560735	0.060778	
7958.562518	0.063352	
7958.563999	0.066232	
7958.565789	0.068262	
7958.567267	0.071336	
7958.569047	0.074172	
7958.570532	0.076307	
7958.572312	0.080029	
7958.573810	0.081652	
7958.575582	0.082933	
7958.577085	0.085999	
7958.578837	0.087920	
7958.580355	0.089798	
7958.582077	0.092799	
7958.583598	0.095139	
7958.585314	0.097149	
7958.586857	0.099796	
7958.588556	0.102181	
7958.590117	0.103981	
7958.591798	0.106507	
7958.593368	0.106882	
7958.595056	0.109218	
7958.596675	0.111353	
7958.598157	0.112860	
7958.599784	0.114882	
7958.601313	0.115530	
7958.602954	0.117956	
7958.604428	0.119156	
7958.606077	0.119901	
7958.607559	0.122850	
7958.609208	0.122858	
7958.610686	0.124320	
7958.612386	0.126608	
7958.613863	0.125746	
7958.615549	0.126810	
7958.617067	0.129295	
7958.618716	0.130351	
7958.620252	0.131193	
7958.621883	0.132482	
7958.623436	0.133275	
7958.625123	0.133231	
7958.626684	0.134234	
7958.628355	0.134544	
7958.629944	0.135459	
7958.631602	0.136220	
7958.633199	0.137142	
