time (s)	coil I (A)	last det (V)	int current (uC)
7960.762859	1.044811	0.138319	471.209656
7960.763725	1.476522	0.138319	1749.877930
7960.764835	1.468162	0.138319	3379.537109
7960.765835	1.429669	0.138319	4809.206543
7960.766718	1.395615	0.138319	6041.534668
7960.767713	1.359540	0.138319	7394.276855
7960.768778	1.322267	0.138319	8802.491211
7960.769673	1.291025	0.138319	9957.958984
7960.770538	1.261776	0.138319	11049.395508
7960.771636	1.229063	0.138319	12398.906250
7960.772604	1.199626	0.138319	13560.144531
7960.773466	1.173948	0.138319	14572.087891
7960.774520	1.143519	0.138319	15777.357422
7960.775576	1.119551	0.138319	16959.603516
7960.776461	1.097131	0.138319	17930.564453
7960.777398	0.786617	0.138319	18667.625000
7960.778496	0.107710	0.138319	18785.890625
7960.779429	0.097412	0.138319	18876.775391
7960.780293	0.097379	0.138319	18960.910156
7960.781352	0.097496	0.138319	19064.158203
7960.782365	0.097430	0.138319	19162.855469
7960.783256	0.097463	0.138319	19249.695312
7960.784221	0.097518	0.138319	19343.800781
7960.785282	0.097324	0.138319	19447.062500
7960.786201	0.097310	0.138319	19536.490234
7960.787063	0.097412	0.138319	19620.458984
7961.761802	1.066249	0.176173	532.058167
7961.762732	1.481832	0.176173	1910.162109
7961.763614	1.472402	0.176173	3208.820801
7961.764597	1.435371	0.176173	4619.790527
7961.765630	1.395297	0.176173	6061.131836
7961.766521	1.362067	0.176173	7274.733398
7961.767390	1.330335	0.176173	8430.793945
7961.768470	1.295101	0.176173	9829.502930
7961.769395	1.264211	0.176173	10998.898437
7961.770271	1.236793	0.176173	12082.329102
7961.771257	1.207423	0.176173	13272.848633
7961.772283	1.176493	0.176173	14479.930664
7961.773159	1.150664	0.176173	15487.912109
7961.774145	1.126425	0.176173	16598.566406
7961.775217	1.100973	0.176173	17778.808594
7961.776130	0.974407	0.176173	18668.441406
7961.777001	0.179513	0.176173	18824.796875
7961.778094	0.097383	0.176173	18931.236328
7961.779095	0.097419	0.176173	19028.753906
7961.779988	0.097478	0.176173	19115.802734
7961.780970	0.097526	0.176173	19211.572266
7961.782027	0.097460	0.176173	19314.587891
7961.782919	0.097397	0.176173	19401.466797
7961.783783	0.097474	0.176173	19485.685547
7961.784904	0.097584	0.176173	19595.078125
7961.785862	0.097438	0.176173	19688.423828
7962.836922	1.013474	0.137207	429.713013
7962.838034	1.483594	0.137207	2079.469238
7962.839011	1.465126	0.137207	3510.896973
7962.839897	1.430914	0.137207	4778.687012
7962.840894	1.392953	0.137207	6167.460937
7962.841953	1.354863	0.137207	7602.261230
7962.842848	1.322197	0.137207	8785.627930
7962.843736	1.291425	0.137207	9932.413086
7962.844828	1.256957	0.137207	11305.009766
7962.845785	1.227378	0.137207	12479.610352
7962.846652	1.200941	0.137207	13520.826172
7962.847711	1.169733	0.137207	14759.573242
7962.848753	1.139971	0.137207	15947.422852
7962.849640	1.120020	0.137207	16940.880859
7962.850589	1.096549	0.137207	17981.505859
7962.851658	0.671931	0.137207	18699.800781
7962.852590	0.105260	0.137207	18797.902344
7962.853446	0.097434	0.137207	18881.306641
7962.854502	0.097467	0.137207	18984.232422
7962.855526	0.097397	0.137207	19083.966797
7962.856400	0.097452	0.137207	19169.140625
7962.857310	0.097401	0.137207	19257.775391
7962.858184	0.097419	0.137207	19342.919922
7962.859185	0.097430	0.137207	19440.447266
7962.860110	0.097372	0.137207	19530.515625
7962.860987	0.097427	0.137207	19615.958984
7963.828708	1.037849	0.180624	481.561981
7963.829582	1.477035	0.180624	1772.490479
7963.830555	1.472391	0.180624	3205.127441
7963.831613	1.432039	0.180624	4720.224121
7963.832542	1.395692	0.180624	6016.822266
7963.833408	1.363330	0.180624	7197.466309
7963.834503	1.325394	0.180624	8648.773437
7963.835509	1.291263	0.180624	9947.784180
7963.836409	1.262036	0.180624	11083.617187
7963.837413	1.231161	0.180624	12319.703125
7963.838448	1.199546	0.180624	13561.233398
7963.839341	1.172834	0.180624	14608.574219
7963.840212	1.146650	0.180624	15607.306641
7963.841330	1.121074	0.180624	16860.667969
7963.842294	1.097596	0.180624	17918.750000
7963.843156	0.914432	0.180624	18706.990234
7963.844233	0.123073	0.180624	18839.539062
7963.845267	0.097485	0.180624	18940.339844
7963.846143	0.097408	0.180624	19025.669922
7963.847079	0.097551	0.180624	19116.978516
7963.848130	0.097533	0.180624	19219.486328
7963.849064	0.097474	0.180624	19310.527344
7963.849924	0.097529	0.180624	19394.402344
7963.850952	0.097566	0.180624	19494.699219
7963.851971	0.097460	0.180624	19594.009766
7963.852854	0.097507	0.180624	19680.109375
7964.909514	1.005817	0.135181	432.501190
7964.910486	1.475186	0.135181	1866.381714
7964.911551	1.466949	0.135181	3428.682861
7964.912468	1.431507	0.135181	4741.375000
7964.913330	1.396934	0.135181	5945.531738
7964.914415	1.358189	0.135181	7419.166016
7964.915421	1.322443	0.135181	8749.542969
7964.916311	1.292325	0.135181	9899.712891
7964.917327	1.260117	0.135181	11179.992187
7964.918380	1.227198	0.135181	12472.232422
7964.919261	1.199941	0.135181	13529.380859
7964.920130	1.172651	0.135181	14548.415039
7964.921241	1.141941	0.135181	15817.111328
7964.922217	1.120093	0.135181	16910.322266
7964.923092	1.098274	0.135181	17871.312500
7964.924121	0.770885	0.135181	18664.552734
7964.925159	0.107377	0.135181	18776.009766
7964.926050	0.097489	0.135181	18862.873047
7964.926977	0.097496	0.135181	18953.251953
7964.928041	0.097456	0.135181	19056.945312
7964.928979	0.097456	0.135181	19148.359375
7964.929842	0.097529	0.135181	19232.527344
7964.930924	0.097592	0.135181	19338.121094
7964.931936	0.097471	0.135181	19436.761719
7964.932824	0.097544	0.135181	19523.380859
7964.933790	0.097694	0.135181	19617.753906
7965.897659	1.015968	0.177688	428.738495
7965.898706	1.483033	0.177688	1981.474487
7965.899601	1.470315	0.177688	3297.406250
7965.900482	1.436638	0.177688	4563.084473
7965.901484	1.398640	0.177688	5964.521973
7965.902416	1.363173	0.177688	7234.999023
7965.903343	1.330822	0.177688	8468.670898
7965.904216	1.299393	0.177688	9603.041016
7965.905273	1.266185	0.177688	10941.398437
7965.906156	1.238320	0.177688	12034.834961
7965.907030	1.211598	0.177688	13093.771484
7965.908035	1.182052	0.177688	14281.733398
7965.908960	1.154645	0.177688	15349.780273
7965.909835	1.130709	0.177688	16339.150391
7965.910803	1.110205	0.177688	17413.828125
7965.911841	1.076122	0.177688	18530.841797
7965.912742	0.303992	0.177688	18804.738281
7965.913605	0.098104	0.177688	18889.402344
7965.914680	0.097595	0.177688	18994.316406
7965.915626	0.097412	0.177688	19086.468750
7965.916499	0.097416	0.177688	19171.513672
7965.917453	0.097643	0.177688	19264.664062
7965.918484	0.097471	0.177688	19365.156250
7965.919362	0.097478	0.177688	19450.742187
7965.920222	0.097518	0.177688	19534.607422
7965.921284	0.097500	0.177688	19638.152344
7966.979524	0.996844	0.140913	424.655731
7966.980544	1.479115	0.140913	1933.352905
7966.981593	1.466188	0.140913	3471.383789
7966.982475	1.431654	0.140913	4734.102539
