time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7957.468427	169.166351	-0.659018	-0.039977	105
7959.534634	169.313263	-0.658727	-0.039727	107
7961.601417	169.106873	-0.659462	-0.039322	109
7963.668572	169.071701	-0.662887	-0.039246	111
7965.738840	168.960083	-0.667591	-0.038743	113
7967.810505	168.880814	-0.671601	-0.038506	115
7969.883827	168.995087	-0.676031	-0.038304	117
7971.957843	169.186874	-0.682642	-0.037764	119
7974.027389	169.226456	-0.689938	-0.037442	121
7976.093691	349.095520	0.695672	0.036922	123
7978.159914	168.852768	-0.697682	-0.036593	125
7980.229578	168.902878	-0.699693	-0.036083	127
7982.301441	168.881973	-0.703487	-0.036042	129
7984.372875	348.952240	0.708173	0.035458	131
7986.444807	168.921829	-0.712274	-0.035079	133
7988.516339	348.936249	0.716787	0.034703	135
7990.587276	336.493774	0.673454	0.100000	137
7992.657604	348.834839	0.728640	0.034115	139
7994.727092	348.789673	0.733203	0.034090	141
7996.796275	348.822052	0.738740	0.033996	143
7998.864992	348.963409	0.742882	0.033286	145
8000.933092	349.131470	0.746558	0.033134	147
8003.000745	349.321899	0.750313	0.033097	149
8005.069145	169.430237	-0.752412	-0.032824	151
8007.139735	349.135986	0.746024	0.032047	153
8009.210735	349.006470	0.760722	0.032501	155
8011.283089	348.738953	0.766351	0.032603	157
8013.356012	348.605408	0.772482	0.032208	159
8015.426842	348.692322	0.777095	0.031484	161
8017.493825	349.087708	0.780762	0.031768	163
8019.559932	349.359711	0.784058	0.031391	165
8021.628289	349.431915	0.787066	0.031035	167
8023.698285	349.427460	0.790220	0.030493	169
8025.768851	349.257141	0.793048	0.030294	171
8027.838888	349.194702	0.797228	0.030527	173
8029.908792	349.128784	0.801671	0.030303	175
8031.978871	349.180786	0.805686	0.030157	177
8034.048583	349.094360	0.809375	0.029828	179
8036.118112	349.121216	0.812225	0.029488	181
8038.188039	349.154572	0.816547	0.028917	183
8040.258261	349.168823	0.820404	0.028893	185
8042.327876	349.107330	0.824233	0.028799	187
8044.398533	349.138214	0.826142	0.028435	189
8046.470403	349.154724	0.830434	0.028288	191
8048.542703	349.191101	0.835401	0.028271	193
8050.613316	349.242615	0.840825	0.028201	195
8052.682695	349.285370	0.846333	0.028152	197
8054.750872	349.266937	0.850717	0.028001	199
8056.818026	349.196564	0.853873	0.028210	201
8058.886134	349.044647	0.855234	0.028030	203
8060.955315	349.095428	0.857099	0.027214	205
8063.025348	349.219177	0.859696	0.026635	207
8065.095334	349.213074	0.863487	0.026991	209
8067.165307	349.259583	0.868023	0.027014	211
8069.235746	349.262482	0.871398	0.026889	213
8071.306095	349.324188	0.876517	0.026793	215
8073.375034	169.458527	-0.882416	-0.026450	217
8075.442985	169.559006	-0.882209	-0.026725	219
8077.510921	169.591537	-0.881263	-0.026753	221
8079.578466	169.638580	-0.880074	-0.026650	223
8081.648042	169.608871	-0.878273	-0.026549	225
8083.716387	169.610886	-0.853536	-0.100000	227
8085.786691	169.363571	-0.876099	-0.026682	229
8087.857167	169.250824	-0.874977	-0.026538	231
8089.927559	169.128967	-0.875019	-0.026541	233
8091.996866	169.094162	-0.874578	-0.026551	235
8094.066015	169.172028	-0.873995	-0.026666	237
8096.133679	169.314362	-0.874231	-0.026253	239
8098.201090	169.536621	-0.871087	-0.026218	241
8100.268084	169.689438	-0.870808	-0.026340	243
8102.335565	169.718826	-0.868412	-0.026365	245
8104.403440	169.809952	-0.867399	-0.026035	247
8106.471817	169.734177	-0.865886	-0.026296	249
8108.539879	169.775772	-0.865061	-0.026374	251
8110.608955	169.685272	-0.863543	-0.026396	253
8112.677038	169.660736	-0.862413	-0.026735	255
8114.746194	169.628906	-0.861841	-0.026589	1
8116.815201	349.612152	0.861068	0.026543	3
8118.884968	169.572403	-0.858734	-0.026454	5
8120.954818	169.633087	-0.858045	-0.026515	7
8123.025057	169.563690	-0.857607	-0.026423	9
8125.094419	169.606354	-0.857599	-0.026576	11
8127.164531	169.619843	-0.856936	-0.026547	13
8129.232942	169.661499	-0.857440	-0.026467	15
8131.300731	169.723267	-0.858446	-0.026518	17
8133.368340	169.709915	-0.859366	-0.026474	19
8135.435718	169.640533	-0.860140	-0.026590	21
8137.502487	169.594879	-0.858193	-0.026581	23
8139.570607	349.651001	0.856700	0.026994	25
8141.638421	169.656921	-0.855533	-0.026931	27
8143.706933	169.700378	-0.853316	-0.026683	29
8145.775324	169.761536	-0.851685	-0.026691	31
8147.844099	169.811783	-0.848793	-0.026769	33
8149.912485	169.824051	-0.847337	-0.026899	35
8151.981393	169.873352	-0.846354	-0.026768	37
8154.049927	169.917892	-0.846464	-0.026853	39
8156.118109	169.936462	-0.846580	-0.026738	41
8158.187319	169.888489	-0.845264	-0.026916	43
8160.256528	169.795685	-0.844497	-0.026679	45
8162.326080	169.786499	-0.844909	-0.027048	47
8164.396372	169.696701	-0.845180	-0.026402	49
8166.466350	169.583878	-0.843437	-0.026698	51
8168.536081	169.532318	-0.842549	-0.026583	53
8170.605313	169.542542	-0.840488	-0.026926	55
8172.673787	169.519623	-0.840370	-0.026593	57
8174.741965	169.714752	-0.840411	-0.026476	59
8176.809454	169.868134	-0.839979	-0.026369	61
8178.877023	170.007217	-0.840011	-0.026369	63
8180.944840	170.038528	-0.838575	-0.026651	65
8183.012790	170.013687	-0.835991	-0.026182	67
8185.080877	170.056534	-0.832178	-0.026235	69
8187.149282	170.047485	-0.829917	-0.026353	71
8189.217406	170.033981	-0.829021	-0.026120	73
