crossing time (s)	slope (V/s)	crossing number
7957.466882	1.889487	4713
7958.518176	1.530296	4714
7959.531893	1.915688	4715
7960.589762	1.652888	4716
7961.600451	1.902536	4717
7962.667528	1.831641	4718
7963.666049	1.922965	4719
7964.743558	1.762406	4720
7965.736354	1.930770	4721
7966.809852	1.737007	4722
7967.808375	2.016574	4723
7968.873814	1.948031	4724
7969.882202	2.065043	4725
7970.939178	1.979906	4726
7971.956021	2.071930	4727
7973.009217	1.920733	4728
7974.025903	2.072133	4729
7975.080885	1.738213	4730
7976.091664	2.144318	4731
7977.151808	1.853074	4732
7978.157901	2.127128	4733
7979.228486	2.165201	4734
7980.226046	2.098318	4735
7981.299448	1.945847	4736
7982.299062	2.180047	4737
7983.363778	1.943358	4738
7984.370456	2.298593	4739
7985.429897	2.161144	4740
7986.443154	2.362801	4741
7987.499600	2.241987	4742
7988.515284	2.408630	4743
7989.568194	2.180196	4744
7990.586654	2.428951	4745
7991.637004	2.233634	4746
7992.656486	2.378374	4747
7993.706178	2.204746	4748
7994.725475	2.420298	4749
7995.777841	2.333879	4750
7996.794038	2.554648	4751
7997.848754	2.343024	4752
7998.864544	2.625334	4753
7999.920918	2.408712	4754
8000.933297	2.569690	4755
8001.992125	2.471393	4756
8003.000538	2.421622	4757
8004.062602	2.590857	4758
8005.066444	2.311757	4759
8006.134284	2.541406	4760
8007.136558	2.536687	4761
8008.203392	2.532098	4762
8009.209056	2.715238	4763
8010.270693	2.584224	4764
8011.284049	2.618351	4765
8012.336116	2.740975	4766
8013.353365	2.309036	4767
8014.403564	2.729244	4768
8015.422811	2.654095	4769
8016.476909	2.745104	4770
8017.491309	3.003971	4771
8018.549473	2.845520	4772
8019.559815	2.925989	4773
8020.621438	3.039404	4774
8021.628456	2.518326	4775
8022.690753	3.043943	4776
8023.694649	2.439028	4777
8024.760950	2.971927	4778
8025.765157	2.848612	4779
8026.832191	2.830466	4780
8027.836888	3.065687	4781
8028.901882	2.847591	4782
8029.908359	2.989113	4783
8030.971078	2.729391	4784
8031.978184	2.862068	4785
8033.038791	2.666581	4786
8034.046422	2.895445	4787
8035.108414	2.784764	4788
8036.115631	2.990040	4789
8037.178979	2.961114	4790
8038.186298	3.087826	4791
8039.249860	2.966694	4792
8040.257518	3.103253	4793
8041.320226	2.820104	4794
8042.326434	3.152469	4795
8043.387875	2.869329	4796
8044.396661	3.137443	4797
8045.456697	3.094095	4798
8046.469724	3.291686	4799
8047.523690	3.069684	4800
8048.542427	3.226441	4801
8049.591049	3.132094	4802
8050.611840	3.253960	4803
8051.660793	3.109573	4804
8052.680709	3.182646	4805
8053.730615	2.973038	4806
8054.748792	3.252675	4807
8055.803186	2.909384	4808
8056.815717	3.335040	4809
8057.875468	3.178386	4810
8058.884616	3.413022	4811
8059.946065	3.324220	4812
8060.954272	3.376939	4813
8062.015961	3.131550	4814
8063.024525	3.434260	4815
8064.085849	3.174729	4816
8065.094390	3.404975	4817
8066.154700	3.319825	4818
8067.164640	3.459591	4819
8068.223492	3.391061	4820
8069.235404	3.394162	4821
8070.293604	3.392429	4822
8071.306055	3.450243	4823
8072.361141	3.306146	4824
8073.374459	3.502319	4825
8074.429382	3.221713	4826
8075.441493	3.603108	4827
8076.499865	3.259689	4828
8077.509823	3.456166	4829
8078.569583	3.365586	4830
8079.576797	3.504883	4831
8080.638626	3.222507	4832
8081.646550	3.426458	4833
8082.706866	3.300332	4834
8083.715062	3.477056	4835
8084.775385	3.166192	4836
8085.786209	3.579243	4837
8086.841768	3.251726	4838
8087.856123	3.353346	4839
8088.908593	3.165805	4840
8089.926623	3.253350	4841
8090.974675	3.115428	4842
8091.994983	3.556761	4843
8093.043352	3.247446	4844
8094.064230	3.441180	4845
8095.112351	3.174082	4846
8096.133116	3.398199	4847
8097.181170	3.302607	4848
8098.200303	3.503579	4849
8099.253923	3.219989	4850
8100.267077	3.497623	4851
8101.323933	3.249520	4852
8102.335705	3.462607	4853
8103.392436	3.195581	4854
8104.402891	3.447354	4855
8105.460967	3.223861	4856
8106.471355	3.351067	4857
8107.530917	3.156366	4858
8108.538939	3.436757	4859
8109.600056	3.129800	4860
8110.608605	3.384855	4861
8111.668910	3.226769	4862
8112.675848	3.392606	4863
8113.736581	3.154779	4864
8114.744581	3.342907	4865
8115.807362	3.273884	4866
8116.813402	3.373632	4867
8117.874455	3.167278	4868
8118.883508	3.415256	4869
8119.941405	3.142717	4870
8120.954975	3.339358	4871
8122.007710	3.128532	4872
8123.024194	3.378818	4873
8124.075591	3.093897	4874
8125.092703	3.308827	4875
8126.143159	3.139266	4876
8127.163195	3.328944	4877
8128.211632	3.100976	4878
