time (s)	coil I (A)	last det (V)	int current (uC)
7825.681871	1.020634	0.177116	431.727997
7825.682975	1.471425	0.177116	2056.180664
7825.683977	1.452488	0.177116	3511.573486
7825.684872	1.419177	0.177116	4781.737305
7825.685887	1.381168	0.177116	6183.623047
7825.686934	1.343540	0.177116	7590.309570
7825.687822	1.313101	0.177116	8756.342773
7825.688697	1.283218	0.177116	9879.158203
7825.689579	1.254089	0.177116	10985.264648
7825.690619	1.223024	0.177116	12257.208984
7825.691523	1.196279	0.177116	13338.645508
7825.692401	1.170736	0.177116	14366.551758
7825.693412	1.142468	0.177116	15521.586914
7825.694343	1.120803	0.177116	16565.054687
7825.695270	1.098574	0.177116	17583.433594
7825.696136	1.003513	0.177116	18452.476562
7825.697202	0.161744	0.177116	18624.896484
7825.698086	0.097866	0.177116	18711.410156
7825.698959	0.097939	0.177116	18796.912109
7825.699955	0.097994	0.177116	18894.513672
7825.700902	0.097896	0.177116	18987.220703
7825.701778	0.097965	0.177116	19073.039062
7825.702709	0.098104	0.177116	19164.375000
7825.703771	0.097998	0.177116	19268.449219
7825.704652	0.097925	0.177116	19354.720703
7825.705514	0.097917	0.177116	19439.125000
7826.658236	0.988916	0.293582	419.300415
7826.659276	1.467686	0.293582	1945.693359
7826.660314	1.454231	0.293582	3455.185059
7826.661196	1.420708	0.293582	4708.249512
7826.662155	1.384948	0.293582	6036.414062
7826.663219	1.346382	0.293582	7468.964355
7826.664147	1.314174	0.293582	8688.517578
7826.665016	1.284587	0.293582	9804.824219
7826.666064	1.251376	0.293582	11116.265625
7826.667081	1.220142	0.293582	12357.149414
7826.667979	1.193789	0.293582	13429.171875
7826.668960	1.165668	0.293582	14572.692383
7826.670021	1.135785	0.293582	15777.759766
7826.670938	1.116529	0.293582	16801.617187
7826.671804	1.093378	0.293582	17748.482422
7826.672920	0.709072	0.293582	18539.806641
7826.673912	0.104238	0.293582	18643.210937
7826.674806	0.097936	0.293582	18730.765625
7826.675789	0.098013	0.293582	18827.111328
7826.676850	0.097925	0.293582	18931.009766
7826.677736	0.097954	0.293582	19017.796875
7826.678593	0.098060	0.293582	19101.833984
7826.679698	0.098071	0.293582	19210.203125
7826.680650	0.097885	0.293582	19303.388672
7826.681506	0.097914	0.293582	19387.203125
7826.682544	0.098262	0.293582	19489.199219
7827.769276	1.007457	0.181434	431.191742
7827.770333	1.471710	0.181434	1986.789429
7827.771229	1.458457	0.181434	3293.566895
7827.772094	1.424736	0.181434	4525.963867
7827.773203	1.384281	0.181434	6061.131836
7827.774122	1.350948	0.181434	7302.653320
7827.775004	1.320483	0.181434	8467.319336
7827.776007	1.287235	0.181434	9758.416016
7827.777024	1.254419	0.181434	11034.160156
7827.777911	1.226799	0.181434	12122.331055
7827.778772	1.200231	0.181434	13155.729492
7827.779869	1.169696	0.181434	14438.885742
7827.780779	1.143461	0.181434	15479.435547
7827.781653	1.122968	0.181434	16460.910156
7827.782631	1.099834	0.181434	17536.546875
7827.783649	0.972411	0.181434	18526.460937
7827.784544	0.180352	0.181434	18687.875000
7827.785504	0.097833	0.181434	18781.794922
7827.786565	0.098053	0.181434	18885.830078
7827.787483	0.097958	0.181434	18975.755859
7827.788348	0.098031	0.181434	19060.552734
7827.789445	0.098053	0.181434	19168.117187
7827.790432	0.097910	0.181434	19264.753906
7827.791327	0.097972	0.181434	19352.439453
7827.792314	0.098203	0.181434	19449.365234
7827.793363	0.097965	0.181434	19552.130859
7828.741561	0.992908	0.306642	419.999969
7828.742625	1.468843	0.306642	1982.848633
7828.743627	1.453901	0.306642	3439.657715
7828.744512	1.420693	0.306642	4696.971191
7828.745514	1.383398	0.306642	6083.136230
7828.746560	1.346008	0.306642	7491.061035
7828.747455	1.314781	0.306642	8667.790039
7828.748319	1.284763	0.306642	9777.825195
7828.749414	1.250925	0.306642	11147.587891
7828.750382	1.220987	0.306642	12329.503906
7828.751252	1.194972	0.306642	13369.129883
7828.752255	1.165818	0.306642	14538.445312
7828.753332	1.136572	0.306642	15762.533203
7828.754203	1.117669	0.306642	16736.023437
7828.755086	1.094037	0.306642	17702.058594
7828.756201	0.743313	0.306642	18530.853516
7828.757156	0.109808	0.306642	18635.720703
7828.758023	0.097815	0.306642	18720.525391
7828.759047	0.098035	0.306642	18820.912109
7828.760076	0.097903	0.306642	18921.654297
7828.760964	0.097896	0.306642	19008.585937
7828.761906	0.098005	0.306642	19100.906250
7828.762964	0.097983	0.306642	19204.572266
7828.763904	0.097906	0.306642	19296.603516
7828.764765	0.097925	0.306642	19380.916016
7828.765824	0.097994	0.306642	19484.691406
7829.854141	0.986737	0.183158	420.349976
7829.855009	1.461607	0.183158	1689.024414
7829.856062	1.459200	0.183158	3225.562500
7829.857016	1.423770	0.183158	4583.838867
7829.857891	1.390448	0.183158	5800.480957
7829.858789	1.357247	0.183158	7019.289062
7829.859874	1.320992	0.183158	8452.565430
7829.860766	1.290227	0.183158	9603.448242
7829.861633	1.262322	0.183158	10697.880859
7829.862662	1.230157	0.183158	11963.712891
7829.863642	1.200692	0.183158	13140.390625
7829.864524	1.175189	0.183158	14176.907227
