time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7823.335216	301.349579	0.966256	0.080102	105
7825.418200	113.602211	-0.855231	-0.100000	107
7827.504044	300.814606	0.980044	0.078244	109
7829.589399	302.841461	0.973610	0.100000	111
7831.677536	300.522339	0.987940	0.077971	113
7833.767594	300.499207	0.992596	0.077092	115
7835.856366	300.455597	0.997878	0.076706	117
7837.944794	302.510468	0.989867	0.100000	119
7840.027976	302.464783	0.996510	0.100000	121
7842.110849	302.525909	1.004032	0.100000	123
7844.193767	302.644897	1.008784	0.100000	125
7846.278774	302.618286	1.011669	0.100000	127
7848.366924	302.738770	1.016220	0.100000	129
7850.455263	302.684784	1.019248	0.100000	131
7852.540350	302.950287	1.024668	0.100000	133
7854.622989	303.177002	1.031693	0.100000	135
7856.704987	301.662598	1.049518	0.070135	137
7858.787168	301.852417	1.054136	0.069380	139
7860.870333	301.993805	1.057402	0.068850	141
7862.955647	302.205597	1.063793	0.068800	143
7865.041645	302.426758	1.069159	0.067632	145
7867.127433	302.600830	1.073372	0.067647	147
7869.211699	302.701447	1.077711	0.067067	149
7871.296006	302.793488	1.080811	0.066397	151
7873.380061	302.851837	1.083306	0.065917	153
7875.464296	302.923187	1.087090	0.065493	155
7877.549415	303.020020	1.089622	0.064665	157
7879.634890	303.049072	1.092954	0.064514	159
7881.719983	303.057434	1.095740	0.064008	161
7883.805061	303.054138	1.097792	0.063608	163
7885.889677	303.028198	1.100403	0.063390	165
7887.973962	303.069916	1.103196	0.063152	167
7890.058293	303.067230	1.105817	0.062828	169
7892.143748	303.051178	1.109688	0.062710	171
7894.229188	303.052917	1.113133	0.061922	173
7896.313961	303.039948	1.114266	0.061986	175
7898.398561	303.000824	1.116823	0.061807	177
7900.482939	302.993195	1.116802	0.061329	179
7902.568171	302.937775	1.117971	0.061148	181
7904.653758	302.933380	1.118500	0.060889	183
7906.739356	302.887726	1.119472	0.060421	185
7908.824438	302.854370	1.120889	0.059744	187
7910.909042	302.817535	1.121502	0.059478	189
7912.993671	302.793243	1.122430	0.059209	191
7915.079139	304.139343	1.108613	0.100000	193
7917.164747	302.709259	1.124113	0.058452	195
7919.249957	303.996521	1.111275	0.100000	197
7921.334499	302.767120	1.127167	0.057387	199
7923.418503	304.978546	1.119390	0.100000	201
7925.502526	305.048401	1.121441	0.100000	203
7927.586954	302.921295	1.132872	0.056446	205
7929.671535	305.190918	1.125640	0.100000	207
7931.755933	303.177551	1.137675	0.055663	209
7933.839521	303.311798	1.140644	0.055312	211
7935.922998	303.407623	1.142457	0.054976	213
7938.006573	303.551544	1.144942	0.054299	215
7940.090489	303.657837	1.147140	0.054405	217
7942.174679	303.768311	1.149447	0.053836	219
7944.258884	303.865204	1.153084	0.053097	221
7946.342752	304.020782	1.155563	0.052910	223
7948.427012	304.081726	1.158278	0.052657	225
7950.511068	304.122742	1.158849	0.052409	227
7952.594919	304.192200	1.159943	0.051639	229
7954.679372	304.227356	1.160665	0.051130	231
7956.763667	304.241669	1.161775	0.051037	233
7958.848095	304.303680	1.163453	0.050719	235
7960.932825	304.299377	1.164679	0.050490	237
7963.017060	304.316895	1.166505	0.050087	239
