crossing time (s)	slope (V/s)	crossing number
7822.248160	5.315743	6248
7823.334264	5.999089	6249
7824.331246	5.941242	6250
7825.417091	6.699587	6251
7826.415255	6.719319	6252
7827.504478	7.607754	6253
7828.498736	6.587494	6254
7829.588182	7.121374	6255
7830.582131	6.310696	6256
7831.680720	5.059161	6257
7832.668920	5.980285	6258
7833.767833	3.322553	6259
7834.753964	6.104855	6260
7835.849216	3.976382	6261
7836.839205	6.146083	6262
7837.944537	5.954147	6263
7838.925868	5.664033	6264
7840.027755	7.345062	6265
7841.011604	6.096380	6266
7842.110805	7.564081	6267
7843.099404	7.445057	6268
7844.192471	7.348554	6269
7845.182643	7.599157	6270
7846.278754	5.832776	6271
7847.267036	6.935386	6272
7848.367212	4.650030	6273
7849.353251	6.765155	6274
7850.454254	5.311280	6275
7851.438508	6.544381	6276
7852.540677	6.670822	6277
7853.525184	6.340230	6278
7854.623686	7.400414	6279
7855.613706	7.115411	6280
7856.704788	7.644747	6281
7857.698470	7.692408	6282
7858.785783	7.834683	6283
7859.783898	7.282267	6284
7860.869384	7.553782	6285
7861.871273	6.905541	6286
7862.954987	6.934630	6287
7863.957824	6.902513	6288
7865.041383	6.770592	6289
7866.043011	6.845166	6290
7867.126954	7.302707	6291
7868.128514	6.943315	6292
7869.211262	7.689698	6293
7870.214692	7.432839	6294
7871.294887	8.442106	6295
7872.299789	7.156148	6296
7873.378835	8.894346	6297
7874.385852	6.735276	6298
7875.462641	8.372168	6299
7876.471351	6.894316	6300
7877.549308	7.968555	6301
7878.556159	7.098359	6302
7879.634886	7.945794	6303
7880.641253	7.241634	6304
7881.719484	8.027462	6305
7882.725961	7.441786	6306
7883.804752	8.329427	6307
7884.810174	7.392781	6308
7885.888944	8.807758	6309
7886.894741	7.078620	6310
7887.973092	8.827444	6311
7888.979968	7.003449	6312
7890.056970	8.295367	6313
7891.065224	7.168442	6314
7892.142775	8.159036	6315
7893.149542	7.172536	6316
7894.228935	8.242355	6317
7895.234095	7.587603	6318
7896.314049	8.418960	6319
7897.318585	7.639886	6320
7898.398218	8.762585	6321
7899.402090	7.637379	6322
7900.482168	8.586067	6323
7901.485802	7.577449	6324
7902.567396	8.178025	6325
7903.570032	7.684822	6326
7904.653317	7.880908	6327
7905.653381	7.645447	6328
7906.738372	7.880056	6329
7907.738558	7.845635	6330
7908.823891	8.200244	6331
7909.821970	7.942788	6332
7910.908362	8.373893	6333
7911.905575	8.145556	6334
7912.993725	8.208423	6335
7913.991313	8.058987	6336
7915.078495	7.793288	6337
7916.074330	8.004743	6338
7917.163905	7.703720	6339
7918.159347	8.085644	6340
7919.249385	8.020235	6341
7920.243579	8.057181	6342
7921.333133	8.310044	6343
7922.327934	8.277248	6344
7923.417474	8.435778	6345
7924.412493	8.338855	6346
7925.501510	8.257179	6347
7926.496289	8.419218	6348
7927.586243	8.032708	6349
7928.581051	8.336164	6350
7929.670492	7.901723	6351
7930.666011	8.179631	6352
7931.756059	8.156065	6353
7932.751576	8.124857	6354
7933.839437	8.369355	6355
7934.837018	8.356564	6356
7935.921859	8.696644	6357
7936.922236	8.353266	6358
7938.005275	8.732978	6359
7939.006938	8.332299	6360
7940.089339	8.602704	6361
7941.091331	8.250867	6362
7942.174294	8.593584	6363
7943.177033	8.174497	6364
7944.259427	8.693852	6365
7945.263043	8.265130	6366
7946.341837	8.917401	6367
7947.347081	8.224947	6368
7948.426841	9.086831	6369
7949.431410	8.274189	6370
7950.510151	9.144805	6371
7951.514869	8.082191	6372
7952.593475	9.177648	6373
7953.601495	8.178624	6374
7954.678063	9.046535	6375
7955.685511	8.186495	6376
7956.762858	9.061415	6377
7957.771023	8.247667	6378
7958.847035	9.046456	6379
7959.856146	8.265374	6380
7960.932598	9.263658	6381
7961.939602	8.248078	6382
7963.016180	9.307633	6383
7964.023750	8.142054	6384
7965.101313	9.208293	6385
7966.108887	8.146577	6386
7967.185542	9.232677	6387
7968.193036	8.224786	6388
7969.269352	9.143527	6389
7970.276601	8.240880	6390
7971.354994	9.083596	6391
7972.361436	8.157572	6392
7973.439900	9.567484	6393
7974.445349	8.407876	6394
7975.522625	9.301294	6395
7976.529333	8.277914	6396
7977.606466	9.270273	6397
7978.614488	8.354047	6398
7979.690547	9.238917	6399
7980.697063	8.440860	6400
7981.775489	9.152996	6401
7982.782068	8.536565	6402
7983.861926	9.123075	6403
7984.865805	8.552556	6404
7985.944748	9.177385	6405
7986.949706	8.661717	6406
7988.031170	9.234346	6407
7989.032304	8.649930	6408
7990.115779	9.158037	6409
7991.117581	8.607431	6410
7992.199720	8.946915	6411
7993.201523	8.730104	6412
7994.285191	8.875422	6413
7995.284127	8.771823	6414
7996.369323	8.849249	6415
7997.369257	8.806390	6416
7998.453721	8.891950	6417
7999.452908	9.062126	6418
8000.538694	8.979517	6419
8001.536662	8.966735	6420
8002.623199	9.022999	6421
8003.620070	8.894967	6422
8004.707027	9.024643	6423
8005.704912	8.965864	6424
8006.792918	8.944280	6425
8007.789076	8.826535	6426
8008.876577	8.847293	6427
8009.873550	9.018551	6428
8010.961771	8.920239	6429
8011.956372	9.055487	6430
8013.044628	9.034694	6431
8014.041348	8.958032	6432
8015.128690	9.052876	6433
8016.126155	9.072974	6434
8017.211621	9.012212	6435
8018.211547	9.026368	6436
8019.296094	9.050587	6437
8020.296620	8.912953	6438
8021.379652	9.099718	6439
8022.381723	8.975871	6440
8023.463152	9.170107	6441
8024.466770	8.892795	6442
8025.548053	9.328427	6443
8026.551071	8.968908	6444
8027.632084	9.366350	6445
8028.636482	8.895323	6446
8029.716340	9.400249	6447
8030.720516	8.848100	6448
8031.799539	9.363221	6449
8032.804456	8.862360	6450
8033.883789	9.405354	6451
8034.889718	8.872371	6452
8035.966728	9.593857	6453
8036.974266	8.908880	6454
8038.052632	9.630514	6455
8039.058276	8.471142	6456
8040.135369	9.219515	6457
8041.141993	8.497403	6458
8042.219477	9.086958	6459
8043.225575	8.824087	6460
8044.303817	9.103736	6461
8045.309132	8.735915	6462
8046.386478	9.337222	6463
8047.392927	8.748317	6464
8048.470508	9.619606	6465
8049.475857	8.389841	6466
