crossing time (s)	slope (V/s)	crossing number
7348.201646	1.665615	4187
7349.201609	1.725338	4188
7350.270278	2.067368	4189
7351.279289	1.995246	4190
7352.334596	1.825575	4191
7353.343549	1.839551	4192
7354.408287	2.358258	4193
7355.421264	1.293060	4194
7356.474202	2.017632	4195
7357.479832	1.751236	4196
7358.547488	2.421757	4197
7359.545125	1.537733	4198
7360.614180	2.001479	4199
7361.624565	2.092410	4200
7362.688090	2.189468	4201
7363.691555	1.919689	4202
7364.752790	2.066220	4203
7365.766584	1.814360	4204
7366.823823	2.170397	4205
7367.829348	2.105124	4206
7368.892276	2.374205	4207
7369.900587	1.741664	4208
7370.965468	2.187133	4209
7371.969481	2.259576	4210
7373.034198	2.444148	4211
7374.039418	1.729634	4212
7375.104499	2.031409	4213
7376.111742	2.191796	4214
7377.171929	2.385856	4215
7378.176759	1.923615	4216
7379.239771	2.221290	4217
7380.250559	2.082087	4218
7381.309798	2.496000	4219
7382.317058	2.128663	4220
7383.378892	2.399367	4221
7384.391537	1.958677	4222
7385.449812	2.301965	4223
7386.458766	2.284424	4224
7387.518635	2.457627	4225
7388.530717	1.920460	4226
7389.586754	2.245457	4227
7390.596797	2.185853	4228
7391.658067	2.510781	4229
7392.666750	1.881588	4230
7393.725970	2.391409	4231
7394.735403	2.149555	4232
7395.797150	2.384754	4233
7396.804938	2.046469	4234
7397.866489	2.536842	4235
7398.876551	2.276159	4236
7399.935896	2.383429	4237
7400.943680	2.096804	4238
7402.008233	2.564659	4239
7403.014740	2.225887	4240
7404.075987	2.508342	4241
7405.081350	2.087057	4242
7406.148481	2.445986	4243
7407.152054	2.229971	4244
7408.215789	2.676528	4245
7409.219696	2.220304	4246
7410.285451	2.463689	4247
7411.290178	2.249130	4248
7412.354963	2.701719	4249
7413.359720	2.332048	4250
7414.423697	2.598782	4251
7415.429332	2.230765	4252
7416.495160	2.645128	4253
7417.499231	2.355579	4254
7418.563328	2.648386	4255
7419.568060	2.287645	4256
7420.632918	2.698567	4257
7421.640467	2.356698	4258
7422.700347	2.712933	4259
7423.709172	2.377981	4260
7424.770045	2.704894	4261
7425.779859	2.270303	4262
7426.837774	2.798459	4263
7427.849204	2.337251	4264
7428.905884	2.736423	4265
7429.918548	2.376565	4266
7430.975904	2.856919	4267
7431.990262	2.396340	4268
7433.044779	2.724702	4269
7434.058181	2.550348	4270
7435.114525	2.920221	4271
7436.127801	2.339463	4272
7437.183067	2.867926	4273
7438.197984	2.602283	4274
7439.254378	2.986665	4275
7440.266841	2.569467	4276
7441.323183	2.896878	4277
7442.336222	2.641846	4278
7443.392867	3.038276	4279
7444.406186	2.681029	4280
7445.462653	2.972547	4281
7446.475437	2.656830	4282
7447.531474	2.952219	4283
7448.544646	2.817054	4284
7449.601326	3.057277	4285
7450.614814	2.638067	4286
7451.670449	2.989661	4287
7452.684259	2.821935	4288
7453.739317	3.093549	4289
7454.754093	2.792940	4290
7455.807689	3.059685	4291
7456.822036	2.811831	4292
7457.877835	3.129971	4293
7458.892831	2.785286	4294
7459.947398	3.121709	4295
7460.961792	2.761113	4296
7462.016970	3.078526	4297
7463.031939	2.878609	4298
7464.086100	3.177297	4299
7465.099865	2.771664	4300
7466.154462	3.115860	4301
7467.169672	2.885846	4302
7468.223896	3.190602	4303
7469.239677	2.791751	4304
7470.294955	3.133668	4305
7471.308834	2.880421	4306
7472.363798	3.193848	4307
7473.379072	2.812107	4308
7474.433616	3.206084	4309
7475.447674	2.884014	4310
7476.502970	3.126096	4311
7477.516291	2.892995	4312
7478.572400	3.219968	4313
7479.586027	2.898056	4314
7480.643224	3.201131	4315
7481.654954	2.936477	4316
7482.712941	3.259908	4317
7483.724695	2.917061	4318
7484.781646	3.314136	4319
7485.794139	2.940803	4320
7486.851179	3.227017	4321
7487.862610	2.964458	4322
7488.919724	3.381287	4323
7489.932252	3.016435	4324
7490.990653	3.291625	4325
7492.000931	2.978469	4326
7493.060481	3.334393	4327
7494.071442	3.036226	4328
7495.128872	3.351306	4329
7496.140496	3.016961	4330
7497.197895	3.376707	4331
7498.211371	2.975070	4332
7499.265586	3.422461	4333
7500.279378	3.078841	4334
7501.335648	3.413502	4335
7502.349561	3.002297	4336
7503.404972	3.478839	4337
7504.419255	3.099510	4338
7505.473930	3.412212	4339
7506.489737	3.075267	4340
7507.543381	3.500515	4341
7508.559566	3.062080	4342
7509.611987	3.471901	4343
7510.628514	3.112053	4344
7511.680643	3.463489	4345
7512.697119	3.227253	4346
7513.748699	3.390396	4347
7514.766348	3.285432	4348
7515.817094	3.413529	4349
7516.833522	3.198708	4350
7517.886624	3.451189	4351
7518.902295	3.162803	4352
7519.954696	3.452836	4353
7520.971674	3.249959	4354
7522.023685	3.527346	4355
7523.041981	3.231311	4356
7524.093093	3.414856	4357
7525.109424	3.235460	4358
7526.161651	3.417362	4359
7527.178008	3.123680	4360
7528.229871	3.401673	4361
7529.245972	3.132267	4362
7530.297567	3.437827	4363
7531.315119	3.168825	4364
7532.367239	3.449086	4365
7533.384600	3.209448	4366
7534.436003	3.441458	4367
7535.453926	3.235244	4368
7536.505026	3.411716	4369
7537.521813	3.151532	4370
7538.572788	3.378195	4371
7539.590451	3.124001	4372
7540.641955	3.352696	4373
7541.658252	3.126549	4374
7542.709332	3.321286	4375
7543.727234	3.134423	4376
7544.778437	3.375619	4377
7545.795916	3.115854	4378
7546.846443	3.323155	4379
7547.864900	3.163681	4380
7548.915395	3.354669	4381
7549.933674	3.109797	4382
7550.985537	3.336597	4383
7552.002744	3.026694	4384
7553.054471	3.326680	4385
7554.071477	2.987157	4386
7555.122994	3.360171	4387
7556.138769	3.070530	4388
7557.192178	3.254238	4389
7558.206880	3.053608	4390
7559.260240	3.296652	4391
7560.275791	3.019510	4392
7561.329468	3.257125	4393
7562.344325	3.036850	4394
7563.397800	3.280853	4395
7564.413785	3.017498	4396
7565.467544	3.237930	4397
7566.482151	3.024774	4398
7567.535590	3.260249	4399
7568.550156	2.987887	4400
7569.603688	3.231926	4401
7570.619301	3.045488	4402
7571.672466	3.200304	4403
7572.687965	3.006815	4404
7573.741179	3.212993	4405
7574.756243	2.940492	4406
7575.810189	3.278744	4407
7576.824135	2.954425	4408
7577.877694	3.191734	4409
7578.894747	3.025084	4410
7579.946958	3.180390	4411
7580.962871	2.990480	4412
7582.015883	3.161285	4413
7583.032257	2.966408	4414
7584.083851	3.189109	4415
7585.101397	2.959226	4416
7586.151528	3.163554	4417
7587.169546	2.931597	4418
7588.219438	3.152031	4419
7589.238372	2.916478	4420
7590.288488	3.149959	4421
7591.306070	2.976201	4422
7592.356166	3.170017	4423
7593.376749	2.942626	4424
7594.425741	3.194753	4425
7595.445233	2.980871	4426
7596.495136	3.140450	4427
7597.513150	2.908233	4428
7598.563513	3.206981	4429
7599.581886	2.931107	4430
7600.632195	3.147803	4431
7601.650013	2.963631	4432
7602.700734	3.165461	4433
7603.717653	2.898428	4434
7604.768808	3.112969	4435
7605.786486	2.961864	4436
7606.837206	3.137225	4437
7607.855762	2.915202	4438
7608.906619	3.106336	4439
7609.925320	2.965798	4440
7610.977128	3.143072	4441
7611.993201	2.953136	4442
7613.044280	3.169688	4443
7614.062630	2.890546	4444
7615.113264	3.089235	4445
7616.131305	2.868309	4446
7617.180154	3.098934	4447
7618.200185	2.872622	4448
7619.248444	3.068082	4449
7620.268376	2.921751	4450
7621.317143	3.066268	4451
7622.337196	2.883414	4452
7623.385725	3.080683	4453
7624.405623	2.884833	4454
7625.454527	3.081453	4455
7626.474548	2.889540	4456
7627.523539	3.043773	4457
