time (s)	magX	magY	magZ
7348.733802	207.247238	-87.258911	218.001175
7348.738386	207.656342	-88.252487	219.579193
7348.741305	208.182358	-89.012268	220.397430
7348.744662	207.656342	-89.479836	221.040314
7348.748046	207.422562	-89.362946	221.975449
7348.751341	207.130341	-89.830505	222.969025
7348.754189	208.240799	-90.064285	224.021027
7348.757524	208.182358	-90.882523	224.021027
7348.760853	207.773239	-91.057861	225.540619
7348.764189	208.240799	-91.291641	225.715942
7348.767095	209.292816	-91.350090	226.475739
7348.770432	209.117477	-91.583870	228.287552
7348.773762	209.175919	-92.869667	228.229111
7348.777095	209.994156	-93.103447	229.514908
7348.780428	209.818817	-93.161896	230.333130
7348.783753	209.935715	-92.986557	230.157806
7348.787090	209.701920	-93.337234	231.677383
7348.790422	211.163071	-93.395676	232.670944
7348.793754	210.578613	-93.629456	233.196945
7348.797136	211.279968	-94.506142	234.424301
7348.800423	210.753937	-94.564583	234.833435
7348.803755	211.396835	-95.032143	235.417892
7348.807089	212.098190	-94.739922	237.755707
7348.810424	212.448853	-95.675049	238.106369
7348.813756	212.448853	-95.908829	238.749268
7348.817092	212.331970	-96.084160	240.327286
7348.820439	212.390427	-96.785507	240.970184
7348.823761	213.325546	-97.311516	242.314438
7348.827090	213.267090	-97.486847	243.834015
7348.830423	213.676208	-98.305084	245.879608
7348.833754	213.734650	-98.772644	247.632950
7348.837089	213.851547	-99.649330	249.210983
7348.841340	215.137344	-101.285805	253.243713
7348.844675	215.312668	-101.987144	254.646393
7348.848001	215.254242	-102.454712	256.984222
7348.851305	215.312668	-103.331390	258.971344
7348.854182	216.130920	-103.682053	261.542969
7348.857511	216.423157	-104.617180	263.646973
7348.860844	217.007584	-105.844536	266.510834
7348.864177	217.533615	-106.662773	268.673309
7348.867087	217.708939	-107.422554	271.712433
7348.870417	218.351837	-108.299240	274.284058
7348.873752	217.884277	-109.701935	277.615417
7348.877085	218.819397	-109.818817	280.011688
7348.880411	218.994736	-111.396851	283.226166
7348.883748	219.520752	-111.981293	285.914673
7348.887085	219.170074	-112.799538	289.129150
7348.890419	219.988327	-113.734665	291.642303
7348.893773	220.514328	-114.436005	294.213928
7348.897083	220.046753	-115.195786	297.603760
7348.900415	219.520752	-116.540039	301.168915
7348.903744	220.455887	-117.241379	304.734070
7348.907085	220.689651	-118.644073	307.130341
7348.910412	221.391006	-119.462296	309.701904
7348.913741	220.572754	-120.222092	313.325562
7348.917079	220.981888	-120.806549	316.364685
7348.920410	221.917007	-121.449448	320.280518
7348.923744	221.858566	-123.027466	323.144379
7348.927076	221.975449	-123.670364	325.657501
7348.930408	221.566345	-124.722382	329.573334
7348.933741	222.559906	-125.891289	332.904755
7348.937092	221.917007	-126.767967	335.593231
7348.941341	222.209244	-128.404434	342.431335
7348.944667	222.267670	-129.456467	345.353607
7348.947926	222.150772	-130.450027	349.853882
7348.951271	222.852142	-131.092926	352.893036
7348.954587	222.092346	-132.320282	356.049072
7348.957498	221.391006	-133.255417	361.601410
7348.960841	221.391006	-134.015198	365.751038
7348.964188	220.923447	-136.294571	369.316193
7348.967518	220.338989	-137.229691	374.342499
7348.970409	220.046753	-137.697250	377.732330
7348.973763	220.163651	-139.684387	382.992401
7348.977096	219.053192	-140.561081	388.135590
7348.980420	218.059616	-142.255981	392.694336
7348.983739	217.825836	-143.132675	397.662201
7348.987075	217.066055	-144.535370	402.337830
7348.990407	215.488022	-145.645828	406.662750
7348.993735	214.377548	-146.756287	411.747498
7348.997067	213.150208	-148.275864	417.299835
7349.000397	212.682648	-150.087662	422.793671
7349.003736	211.163071	-151.256577	428.170685
7349.007073	209.994156	-152.659256	433.547638
7349.010406	208.533020	-154.237289	437.755676
7349.013734	206.896545	-155.932205	444.009338
7349.017073	205.201630	-156.867325	448.743439
7349.020397	203.623611	-157.802444	454.997070
7349.023755	201.227356	-159.555817	459.848022
7349.027069	200.116898	-160.666275	464.991241
7349.030401	197.545288	-161.893631	470.543518
7349.033731	196.084167	-163.939209	475.745209
7349.037066	193.746353	-164.348343	482.466400
7349.040398	191.992981	-164.757462	488.778503
7349.044625	187.083572	-167.971939	497.837555
7349.047923	184.687317	-168.790192	502.863831
7349.051243	182.232620	-169.725311	508.474579
7349.054626	180.362350	-170.835770	513.617737
7349.057497	177.498550	-172.004669	519.403809
7349.060862	174.693161	-172.706024	524.839233
7349.064174	172.238464	-174.108704	529.222656
7349.067521	169.199295	-174.926941	533.547668
7349.070391	166.919937	-176.037415	538.983032
7349.073727	163.237869	-176.797195	543.074219
7349.077083	160.374039	-177.381653	549.035645
7349.080396	157.101105	-178.609009	553.769714
7349.083729	154.061951	-179.368790	559.848022
7349.087060	150.964340	-179.836349	563.997681
7349.090392	147.282288	-180.946808	569.900635
7349.093734	143.074219	-181.531265	574.751587
7349.097062	139.158386	-182.758621	579.135010
7349.100397	135.184097	-183.518402	584.336670
7349.103725	131.092926	-185.154877	588.953857
7349.107062	126.651085	-185.914673	593.980103
7349.110414	121.917007	-186.908249	598.363525
7349.113724	116.306259	-187.960251	604.149658
7349.117056	111.221504	-188.194031	608.299255
7349.120390	106.253647	-188.836929	613.384033
7349.123723	101.578018	-189.129166	617.124512
7349.127062	95.791939	-190.005844	622.735291
7349.130392	89.129166	-190.648743	626.767944
7349.133725	84.395096	-191.759201	630.742249
7349.137060	78.082993	-191.700760	635.008789
7349.140395	72.998253	-192.226761	639.333740
7349.144619	60.490944	-193.512573	646.347168
7349.147908	54.412621	-193.220337	649.444763
7349.151234	48.217415	-193.863235	653.419067
7349.154624	41.846874	-193.921692	656.984253
7349.157933	35.768555	-194.213913	659.497375
7349.160837	29.514902	-194.506134	661.192261
7349.164175	22.735243	-193.687897	664.231445
7349.167510	16.364700	-194.038574	666.569275
7349.170444	10.344828	-194.038574	668.497925
7349.173719	4.383401	-193.687897	670.134399
7349.177061	-2.922268	-194.213913	671.887756
7349.180389	-9.292811	-193.804794	672.881348
7349.183714	-15.663354	-192.752777	676.212769
7349.187051	-21.566336	-191.817657	676.738770
7349.190423	-27.703098	-191.642319	678.141479
7349.193716	-33.372299	-190.824081	678.141479
7349.197058	-40.268848	-190.590302	679.018127
7349.200383	-45.762711	-189.947403	679.485718
7349.203714	-52.191700	-188.895386	680.596191
7349.207047	-57.919346	-188.427811	680.070129
7349.210380	-64.699005	-187.142029	679.953247
7349.213717	-71.361771	-187.142029	678.316772
7349.217051	-77.556984	-186.031555	679.485718
7349.220379	-83.693748	-184.687317	678.784302
7349.223713	-89.772064	-183.752197	678.199890
7349.227051	-95.908829	-183.167740	677.440063
7349.230400	-102.688492	-182.115723	675.920532
7349.233749	-108.357681	-180.888367	675.160767
7349.237053	-114.611343	-179.018112	672.647583
7349.240391	-121.800110	-177.615433	671.537109
7349.243714	-127.703094	-176.271194	670.543518
7349.247895	-141.028641	-173.816483	665.634155
7349.251235	-146.990067	-172.296906	662.478088
7349.254589	-153.535934	-170.835770	660.432495
7349.257968	-159.789597	-169.257751	656.341309
7349.260821	-165.283463	-168.088837	652.776123
7349.264161	-171.653992	-166.277023	650.029236
7349.267490	-177.849213	-165.108124	645.762756
7349.270832	-183.752197	-163.413208	642.898865
7349.273706	-189.596725	-161.542953	637.814148
7349.277076	-195.382828	-159.555817	634.073608
7349.280374	-200.701355	-158.270020	630.391602
7349.283731	-206.078308	-156.516663	625.423706
7349.287041	-210.987732	-154.997070	621.157227
7349.290375	-215.838699	-153.419052	617.182922
7349.293708	-220.397430	-151.198120	611.864441
7349.297045	-225.131516	-149.210983	607.597900
7349.300377	-229.573349	-147.749847	603.740479
7349.303706	-234.073639	-145.412033	598.012878
7349.307041	-238.281708	-144.418472	593.863220
7349.310373	-241.729980	-142.197556	588.836975
7349.313702	-245.645828	-140.210403	583.635254
7349.317039	-249.970764	-138.047928	579.602600
7349.320394	-252.659271	-136.294571	574.050293
7349.323700	-255.698425	-134.716537	569.140869
7349.327067	-259.263580	-132.261841	565.400391
7349.330368	-263.413208	-130.099350	559.964966
7349.333704	-265.225006	-128.579788	555.406189
7349.337042	-268.322601	-126.767967	550.321411
7349.340369	-270.485077	-125.189949	545.119812
7349.343699	-273.290466	-122.676804	540.736389
7349.348323	-277.966095	-118.468735	530.333130
7349.351254	-280.537689	-115.838692	524.956177
7349.354570	-283.050842	-113.793098	520.338989
7349.357964	-285.271759	-111.747513	514.669800
7349.360824	-287.258911	-110.578606	509.000580
7349.364187	-289.538300	-108.591461	503.565155
7349.367460	-291.116302	-106.721207	498.012878
7349.370806	-292.928131	-105.260086	492.518982
7349.374134	-294.973694	-103.682053	487.551117
7349.377031	-296.025696	-101.110458	481.297485
7349.380368	-298.129761	-100.116898	473.933350
7349.383696	-299.357117	-97.779076	468.731750
7349.387029	-300.935120	-96.025719	462.770325
7349.390369	-302.396240	-95.090591	457.627106
7349.393703	-302.922272	-92.986557	450.263031
7349.397031	-304.149628	-91.174751	445.470490
7349.400363	-306.019867	-88.836937	439.859711
7349.403698	-306.487427	-87.551140	433.839844
7349.407048	-307.364105	-86.323784	427.586212
7349.410359	-307.597900	-84.628876	422.442993
7349.413700	-308.766785	-83.109299	416.247803
7349.417031	-309.585052	-80.888367	412.098175
7349.420388	-309.877289	-79.076561	406.429016
7349.423697	-309.643494	-78.082993	401.519592
7349.427029	-310.169495	-76.738754	395.675049
7349.430360	-310.403290	-75.277618	392.343658
7349.433691	-310.578613	-73.933372	387.200470
7349.437030	-310.344849	-72.180008	382.057281
7349.440363	-309.760376	-70.368210	378.433655
7349.443689	-309.994141	-69.374634	373.232025
7349.447026	-310.578613	-68.322617	369.140869
7349.451238	-310.169495	-65.283463	360.958496
7349.454558	-309.701904	-64.114555	356.633545
7349.458052	-309.000580	-62.887199	352.483917
7349.461290	-308.591461	-61.367619	348.158966
7349.464135	-308.649933	-60.607834	344.126251
7349.467469	-308.182373	-59.263588	340.853302
7349.470794	-307.305664	-58.094681	337.580383
7349.474113	-307.305664	-56.575100	334.190521
7349.477024	-306.604309	-55.406197	329.924011
7349.480364	-306.487427	-54.354179	325.832855
7349.483694	-306.195221	-52.776154	322.559906
7349.487025	-305.260071	-51.665695	319.754517
7349.490359	-305.260071	-50.555229	315.371124
7349.493693	-304.208069	-49.210987	312.682648
7349.497021	-303.389832	-48.275860	309.059021
7349.500371	-302.863800	-48.158970	305.786072
7349.503691	-302.104034	-46.464054	302.805389
7349.507018	-301.402679	-45.821156	298.655762
7349.510349	-300.526001	-44.476913	295.791931
7349.513692	-299.766205	-43.658680	291.817627
7349.517020	-298.772644	-42.314438	288.603149
7349.520355	-297.837524	-41.846874	285.037994
7349.523684	-296.843964	-40.853302	282.407959
7349.527024	-296.493256	-40.327293	278.959686
7349.530346	-295.616608	-39.509056	275.452942
7349.533686	-295.616608	-38.515488	272.881378
7349.537022	-294.038574	-37.697254	269.783752
7349.540352	-293.512573	-37.171246	265.926361
7349.543717	-292.635895	-36.703682	264.056122
7349.547021	-291.583862	-35.184105	260.724701
7349.551196	-289.655151	-34.190533	254.412628
7349.554554	-288.661591	-32.846291	253.185272
7349.557889	-288.194031	-32.437172	249.912338
7349.561292	-287.375793	-32.612507	247.574524
7349.564120	-286.382233	-31.560490	245.061371
7349.567529	-285.213318	-31.209818	243.600220
7349.570764	-284.570435	-31.034481	241.554642
7349.574102	-283.985962	-30.040911	239.450623
7349.577444	-283.401520	-29.573349	237.229675
7349.580349	-282.992401	-28.755114	235.008759
7349.583678	-281.998840	-27.995323	234.132080
7349.587025	-281.005249	-27.352425	232.554047
7349.590351	-280.362366	-26.884863	230.099365
7349.593673	-279.719482	-26.767973	228.813553
7349.597012	-279.310333	-26.767973	227.878433
7349.600340	-278.199890	-25.306839	226.651077
7349.603680	-277.206299	-25.248394	225.715942
7349.607009	-277.557007	-24.313267	223.436600
7349.610338	-276.914093	-23.962595	222.092346
7349.613678	-275.862061	-23.787258	220.222092
7349.617022	-275.745178	-23.378141	220.105194
7349.620346	-275.277618	-22.501461	218.410278
7349.623672	-274.985382	-22.092344	218.001175
7349.627012	-273.641144	-21.917007	216.481598
7349.630370	-272.939789	-20.981882	215.488022
7349.633672	-272.589142	-20.748100	213.559311
7349.637007	-272.004669	-20.338982	212.215088
7349.640343	-271.537109	-19.696083	211.046173
7349.643676	-270.835754	-19.579193	210.753937
7349.647007	-271.186462	-19.170076	208.416122
7349.650336	-270.368195	-19.111629	206.779663
7349.654541	-269.433075	-18.585623	205.260086
7349.657985	-268.322601	-18.176504	204.792526
7349.661270	-268.907074	-18.234951	203.039169
7349.664537	-267.621277	-17.533606	201.636475
7349.667435	-266.803040	-17.299826	200.409119
7349.670762	-267.270599	-17.066044	198.772644
7349.674126	-266.101685	-16.890707	198.538864
7349.677432	-265.458801	-16.656927	197.837524
7349.680331	-265.575684	-16.656927	196.610168
7349.683666	-265.283478	-16.306253	195.791931
7349.687004	-264.465240	-15.838690	195.032150
7349.690337	-264.406769	-15.780245	194.856812
7349.693670	-263.588562	-15.546463	193.804794
7349.697000	-263.588562	-15.254237	193.045013
7349.700331	-262.887207	-15.137346	192.986557
7349.703663	-263.237885	-14.786674	193.045013
7349.707062	-262.536530	-14.903564	193.746353
7349.710369	-262.302765	-14.611338	192.343658
7349.713669	-262.419617	-14.436002	192.226761
7349.717019	-262.010529	-14.202221	190.882523
7349.720332	-262.653412	-14.085330	192.635880
7349.723663	-262.010529	-14.436002	191.876099
7349.727000	-262.361206	-13.734658	191.350098
7349.730330	-262.302765	-14.085330	191.350098
7349.733660	-262.419617	-13.676212	191.525421
7349.736997	-262.887207	-13.267096	191.876099
7349.740332	-262.478088	-13.150205	193.337219
7349.743660	-262.770325	-13.676212	193.337219
7349.746996	-262.828766	-13.559322	193.629456
7349.750334	-262.770325	-13.500876	193.921692
7349.754597	-263.237885	-13.325541	195.324371
7349.757918	-263.296326	-12.799533	195.149048
7349.761198	-263.763885	-13.267096	195.499710
7349.764504	-263.705444	-12.682642	195.382828
7349.767842	-264.173004	-12.156633	196.084167
7349.770752	-264.932800	-12.039742	196.317947
7349.774082	-263.763885	-12.331969	196.551727
7349.777451	-264.932800	-12.507306	195.850388
7349.780767	-265.341888	-11.922852	197.428406
7349.783661	-264.991241	-11.864407	196.960846
7349.786997	-265.341888	-11.981297	197.720642
7349.790339	-265.225006	-11.630626	197.486847
7349.793659	-265.575684	-11.922852	198.305084
7349.797014	-265.458801	-12.331969	198.772644
7349.800323	-266.510834	-11.689071	199.064880
7349.803663	-266.569244	-12.215078	200.175339
7349.806992	-266.277039	-12.039742	200.350662
7349.810326	-266.919922	-12.331969	200.642899
7349.813661	-267.270599	-12.390414	201.519592
7349.816988	-268.205750	-12.156633	202.220917
7349.820324	-268.030396	-12.857978	202.746933
7349.823657	-268.965515	-12.215078	204.091171
7349.826989	-268.673309	-12.741087	204.617187
7349.830322	-269.257751	-13.208650	205.318527
7349.833657	-269.900635	-12.799533	206.487442
7349.836986	-270.601990	-13.150205	208.240799
7349.840341	-271.011108	-12.624197	209.526581
7349.843655	-271.127991	-13.676212	210.344833
7349.846991	-272.472229	-13.676212	212.331970
7349.850329	-272.589142	-13.851549	213.150208
7349.853655	-273.641144	-13.909994	215.078903
7349.857832	-275.394501	-13.968439	218.059616
7349.861177	-275.686737	-13.500876	220.163651
7349.864540	-275.920502	-14.143775	223.027466
7349.867851	-277.264771	-14.494448	224.196381
7349.870769	-277.498535	-14.085330	226.066635
7349.874091	-278.316772	-14.026885	227.936890
7349.877422	-279.544128	-14.143775	229.456451
7349.880772	-279.953247	-14.786674	232.437180
7349.883686	-280.654602	-14.611338	233.722977
7349.886977	-281.180603	-14.552893	236.236115
7349.890320	-282.057281	-15.312682	238.281708
7349.893648	-282.291046	-15.371127	240.444183
7349.896985	-283.927551	-15.312682	242.606659
7349.900311	-284.219757	-16.014027	244.243118
7349.903646	-284.979523	-15.663354	246.230270
7349.906977	-285.505554	-15.488018	248.743408
7349.910316	-286.440674	-16.306253	251.373459
7349.913645	-287.083588	-16.598480	253.711273
7349.916983	-288.252472	-16.072474	255.347748
7349.920307	-289.187592	-17.416716	257.860901
7349.923649	-289.947388	-17.533606	259.438934
7349.927005	-290.531860	-18.001169	262.302765
7349.930309	-291.642303	-18.118059	264.465240
7349.933646	-292.577423	-18.059614	266.160126
7349.936983	-292.869659	-18.644068	269.140869
7349.940310	-293.687897	-19.228521	271.011108
7349.943641	-294.272339	-19.579193	272.998230
7349.946978	-295.850372	-20.105202	276.095856
7349.950310	-296.727051	-20.280537	278.725891
7349.953640	-297.486847	-20.923437	281.414368
