time (s)	det(V)
7349.127721	-0.121665	
7349.129414	-0.119586	
7349.130990	-0.117516	
7349.132666	-0.115872	
7349.134244	-0.113955	
7349.135900	-0.110781	
7349.137489	-0.108102	
7349.139139	-0.106643	
7349.140762	-0.103900	
7349.142370	-0.101737	
7349.144030	-0.099973	
7349.145506	-0.098144	
7349.147152	-0.094957	
7349.148622	-0.092899	
7349.150256	-0.091086	
7349.151734	-0.088375	
7349.153378	-0.085761	
7349.154874	-0.083791	
7349.156457	-0.081184	
7349.157998	-0.078224	
7349.159552	-0.076306	
7349.161116	-0.075122	
7349.162714	-0.072044	
7349.164310	-0.069808	
7349.165883	-0.067847	
7349.167476	-0.065659	
7349.169019	-0.062489	
7349.170686	-0.060008	
7349.172284	-0.058074	
7349.173945	-0.055556	
7349.175531	-0.053224	
7349.177206	-0.051629	
7349.178772	-0.049409	
7349.180472	-0.046295	
7349.182038	-0.044603	
7349.183721	-0.042367	
7349.185267	-0.039302	
7349.186982	-0.036905	
7349.188493	-0.034927	
7349.190227	-0.031801	
7349.191707	-0.029674	
7349.193477	-0.027306	
7349.194953	-0.025433	
7349.196714	-0.022701	
7349.198199	-0.020119	
7349.199937	-0.018157	
7349.201436	-0.014951	
7349.203200	-0.011495	
7349.204703	-0.009355	
7349.206441	-0.005311	
7349.207968	-0.002487	
7349.209693	-0.000006	
7349.211224	0.002117	
7349.212911	0.005171	
7349.214451	0.007624	
7349.216130	0.010186	
7349.217693	0.013634	
7349.219372	0.016881	
7349.220943	0.019620	
7349.222604	0.022686	
7349.224186	0.026074	
7349.225830	0.028716	
7349.227446	0.034158	
7349.229051	0.037220	
7349.230693	0.039939	
7349.232302	0.043049	
7349.233948	0.046828	
7349.235536	0.049583	
7349.237192	0.052963	
7349.238779	0.055476	
7349.240491	0.058925	
7349.242050	0.062711	
7349.243763	0.065535	
7349.245307	0.066663	
7349.247022	0.071888	
7349.248501	0.074816	
7349.250142	0.077129	
7349.251639	0.079662	
7349.253260	0.083389	
7349.254771	0.086378	
7349.256344	0.088887	
7349.257895	0.092404	
7349.259424	0.094748	
7349.261029	0.097335	
7349.262615	0.099522	
7349.264212	0.102152	
7349.265779	0.104735	
7349.267397	0.106882	
7349.268910	0.110133	
7349.270578	0.112380	
7349.272060	0.114439	
7349.273785	0.116912	
7349.275325	0.118197	
7349.277024	0.119551	
7349.278549	0.121432	
7349.280276	0.123901	
7349.281781	0.125094	
7349.283525	0.126077	
7349.285019	0.127785	
7349.286797	0.128498	
7349.288276	0.130383	
7349.290072	0.131241	
7349.291551	0.132159	
7349.293321	0.132268	
7349.294803	0.133356	
7349.296540	0.133585	
7349.298039	0.134262	
7349.299782	0.134907	
7349.301305	0.135362	
7349.303025	0.136051	
7349.304546	0.137791	
7349.306269	0.136582	
7349.307802	0.136615	
7349.309483	0.138174	
7349.311025	0.137400	
7349.312712	0.137549	
7349.314288	0.137618	
7349.315969	0.138073	
7349.317554	0.138198	
7349.319206	0.138375	
7349.320803	0.139640	
7349.322438	0.139841	
7349.324049	0.140482	
7349.325637	0.141227	
7349.327317	0.140816	
7349.328902	0.140716	
7349.330565	0.140832	
7349.332156	0.141151	
7349.333825	0.141848	
7349.335404	0.143177	
7349.337088	0.143753	
7349.338647	0.143366	
7349.340351	0.144546	
7349.341909	0.144788	
7349.343631	0.145078	
7349.345157	0.145517	
7349.346887	0.146351	
7349.348381	0.147209	
7349.349932	0.147483	
7349.351455	0.148482	
7349.353034	0.150053	
7349.354562	0.150521	
7349.356105	0.149546	
7349.357698	0.152337	
7349.359184	0.152313	
7349.360823	0.151648	
7349.362372	0.152744	
7349.364026	0.152410	
7349.365505	0.153880	
7349.367207	0.153340	
7349.368689	0.154774	
7349.370426	0.154505	
7349.371894	0.154798	
7349.373624	0.155330	
7349.375114	0.155073	
7349.376838	0.154766	
7349.378319	0.155918	
7349.380085	0.154988	
7349.381566	0.155467	
7349.383356	0.154960	
7349.384854	0.155391	
7349.386635	0.155391	
7349.388116	0.153924	
7349.389865	0.153920	
7349.391361	0.153038	
7349.393088	0.152172	
7349.394603	0.151479	
7349.396319	0.151447	
7349.397854	0.149916	
7349.399548	0.149489	
7349.401098	0.147918	
7349.402792	0.147439	
7349.404353	0.146673	
7349.406011	0.145646	
7349.407574	0.143213	
7349.409234	0.141711	
7349.410835	0.139193	
7349.412471	0.138145	
7349.414095	0.136131	
7349.415729	0.135080	
7349.417360	0.131551	
7349.418975	0.131672	
7349.420620	0.129364	
7349.422199	0.128175	
7349.423886	0.125734	
7349.425455	0.124723	
7349.427156	0.122423	
7349.428722	0.119559	
7349.430426	0.118600	
7349.432001	0.115390	
7349.433709	0.114000	
7349.435260	0.113162	
7349.436985	0.111091	
7349.438528	0.108372	
7349.440249	0.107055	
7349.441752	0.105842	
7349.443515	0.103724	
7349.444997	0.101468	
7349.446756	0.100251	
7349.448250	0.098640	
7349.450036	0.095921	
7349.451531	0.095365	
7349.453135	0.094269	
7349.454640	0.092505	
7349.456215	0.091506	
7349.457815	0.089665	
7349.459308	0.088605	
7349.460957	0.087240	
7349.462450	0.085624	
7349.464086	0.085016	
7349.465619	0.084243	
7349.467309	0.083812	
7349.468782	0.081805	
7349.470499	0.081745	
7349.471971	0.080923	
7349.473677	0.079965	
7349.475159	0.080158	
7349.476872	0.078494	
7349.478350	0.077129	
7349.480131	0.077249	
7349.481616	0.076246	
7349.483396	0.075944	
7349.484868	0.076279	
7349.486663	0.075630	
7349.488141	0.075058	
7349.489928	0.074780	
7349.491413	0.073487	
7349.493194	0.073608	
7349.494694	0.072963	
7349.496450	0.072552	
7349.497963	0.070482	
7349.499692	0.071622	
7349.501202	0.071723	
7349.502926	0.070885	
7349.504467	0.070224	
7349.506179	0.070707	
7349.507734	0.070055	
7349.509444	0.069209	
7349.511005	0.068907	
7349.512670	0.067779	
7349.514240	0.067606	
7349.515900	0.066212	
7349.517493	0.065837	
7349.519148	0.065849	
7349.520761	0.065793	
7349.522399	0.065027	
7349.524029	0.064185	
7349.525658	0.063199	
7349.527298	0.062828	
7349.528910	0.061595	
7349.530563	0.061325	
7349.532170	0.060008	
7349.533856	0.058735	
7349.535421	0.057386	
7349.537112	0.057341	
7349.538678	0.056367	
7349.540371	0.055573	
7349.541920	0.053917	
7349.543623	0.052995	
7349.545155	0.051766	
7349.546896	0.051178	
7349.548389	0.049369	
7349.550155	0.048092	
7349.551636	0.048177	
7349.553262	0.047613	
7349.554748	0.046598	
7349.556325	0.045180	
7349.557873	0.044491	
7349.559404	0.042489	
7349.561001	0.041409	
7349.562489	0.040729	
7349.564106	0.039911	
7349.565644	0.038420	
7349.567327	0.037780	
7349.568800	0.037095	
7349.570491	0.036128	
7349.571969	0.035282	
7349.573683	0.033933	
7349.575166	0.033860	
7349.576875	0.032015	
7349.578380	0.031016	
7349.580106	0.030795	
7349.581580	0.029510	
7349.583352	0.028934	
7349.584830	0.028676	
7349.586586	0.027210	
7349.588061	0.027012	
7349.589813	0.027637	
7349.591316	0.026235	
7349.593071	0.024668	
7349.594586	0.025203	
7349.596288	0.023387	
7349.597823	0.023975	
7349.599522	0.021707	
7349.601055	0.023060	
7349.602741	0.022609	
7349.604308	0.023169	
7349.605962	0.022219	
7349.607544	0.021908	
7349.609185	0.021046	
7349.610775	0.021461	
7349.612411	0.020760	
7349.614015	0.019995	
7349.615635	0.021006	
7349.617285	0.019286	
7349.618859	0.021155	
7349.620537	0.020237	
7349.622104	0.020023	
7349.623782	0.020599	
7349.625352	0.020934	
7349.627058	0.019455	
7349.628600	0.019310	
7349.630287	0.019540	
7349.631831	0.020490	
7349.633560	0.019560	
7349.635051	0.020067	
7349.636796	0.020188	
7349.638278	0.019987	
7349.640053	0.020160	
7349.641538	0.020325	
7349.643330	0.020366	
7349.644817	0.019552	
7349.646567	0.019318	
7349.648056	0.019266	
7349.649809	0.019137	
7349.651311	0.019419	
7349.653024	0.020156	
7349.654553	0.019374	
7349.656092	0.019395	
7349.657698	0.019801	
7349.659180	0.019556	
7349.660794	0.018633	
7349.662312	0.018081	
7349.663952	0.017953	
7349.665434	0.016853	
7349.667084	0.017344	
7349.668555	0.016611	
7349.670260	0.016659	
7349.671739	0.016466	
7349.673437	0.016035	
7349.674926	0.016188	
7349.676621	0.014794	
7349.678117	0.014545	
7349.679805	0.014319	
7349.681306	0.013457	
7349.683046	0.012293	
7349.684553	0.013477	
7349.686257	0.011838	
7349.687796	0.012111	
7349.689486	0.011688	
7349.691037	0.010436	
7349.692725	0.010407	
7349.694301	0.009078	
7349.695978	0.009376	
7349.697557	0.007712	
7349.699212	0.008059	
7349.700807	0.006065	
7349.702454	0.007116	
7349.704058	0.006649	
7349.705662	0.005847	
7349.707315	0.005795	
7349.708900	0.004643	
7349.710566	0.003608	
7349.712139	0.003559	
7349.713793	0.003406	
7349.715357	0.001803	
7349.717058	-0.000429	
7349.718599	-0.000707	
7349.720312	-0.001243	
7349.721859	-0.001234	
7349.723553	-0.001621	
7349.725055	-0.001830	
7349.726798	-0.003091	
7349.728281	-0.003104	
7349.730051	-0.003285	
7349.731539	-0.003716	
7349.733307	-0.004602	
7349.734785	-0.004175	
7349.736561	-0.004280	
7349.738048	-0.004316	
7349.739797	-0.004211	
7349.741299	-0.004167	
7349.743025	-0.004562	
7349.744551	-0.005090	
7349.746262	-0.005150	
7349.747793	-0.005376	
7349.749494	-0.005690	
7349.751040	-0.004985	
7349.752707	-0.004453	
7349.754301	-0.004977	
7349.755784	-0.005126	
7349.757413	-0.004654	
7349.758929	-0.004493	
7349.760575	-0.005376	
7349.762052	-0.005186	
7349.763687	-0.004751	
7349.765157	-0.004993	
7349.766803	-0.004969	
7349.768277	-0.004759	
7349.769918	-0.003897	
7349.771408	-0.004312	
7349.773055	-0.004155	
7349.774565	-0.004336	
7349.776173	-0.004086	
7349.777725	-0.004783	
7349.779320	-0.004783	
7349.780912	-0.004364	
7349.782482	-0.004852	
7349.784095	-0.004787	
7349.785718	-0.004642	
7349.787318	-0.004058	
7349.788942	-0.004904	
7349.790602	-0.004941	
7349.792165	-0.004397	
7349.793834	-0.005762	
7349.795405	-0.005863	
7349.797093	-0.005440	
7349.798661	-0.005786	
7349.800344	-0.006806	
7349.801872	-0.006431	
7349.803569	-0.007297	
7349.805122	-0.007039	
7349.806844	-0.007216	
7349.808323	-0.007462	
7349.810099	-0.009219	
7349.811587	-0.009081	
7349.813351	-0.009472	
7349.814832	-0.010721	
7349.816604	-0.011535	
7349.818103	-0.011764	
7349.819839	-0.012312	
7349.821329	-0.012550	
7349.823065	-0.013452	
7349.824587	-0.013746	
7349.826304	-0.014653	
7349.827833	-0.015720	
7349.829529	-0.016381	
7349.831066	-0.017138	
7349.832738	-0.017904	
7349.834306	-0.018592	
7349.835983	-0.018375	
7349.837562	-0.019318	
7349.839221	-0.020623	
7349.840801	-0.021138	
7349.842449	-0.021606	
7349.844058	-0.022834	
7349.845669	-0.023265	
7349.847321	-0.023692	
7349.848920	-0.024796	
7349.850568	-0.025449	
7349.852161	-0.025920	
7349.853814	-0.026286	
7349.855390	-0.026766	
7349.857068	-0.027290	
7349.858548	-0.027644	
7349.860191	-0.029167	
7349.861675	-0.029703	
7349.863303	-0.029791	
7349.864783	-0.030786	
7349.866377	-0.031350	
7349.867896	-0.031435	
7349.869441	-0.031487	
7349.871014	-0.031842	
7349.872610	-0.032663	
7349.874215	-0.032526	
7349.875776	-0.032913	
7349.877395	-0.033368	
7349.878929	-0.034065	
7349.880605	-0.034198	
7349.882081	-0.034698	
7349.883796	-0.035479	
7349.885358	-0.034915	
7349.887021	-0.035366	
7349.888584	-0.035237	
7349.890284	-0.035419	
7349.891829	-0.036031	
7349.893545	-0.036575	
7349.895051	-0.036478	
7349.896811	-0.036800	
7349.898295	-0.036958	
7349.900058	-0.037409	
7349.901539	-0.037594	
7349.903314	-0.037497	
