crossing time (s)	slope (V/s)	crossing number
7224.300292	5.961819	5678
7225.412846	6.432244	5679
7226.405179	5.630243	5680
7227.478778	7.242871	5681
7228.482707	6.661386	5682
7229.595564	5.528675	5683
7230.550434	5.726153	5684
7231.655150	6.390984	5685
7232.660435	6.568984	5686
7233.754223	6.264656	5687
7234.719774	5.829887	5688
7235.830256	7.701777	5689
7236.834264	6.733767	5690
7237.925254	7.641441	5691
7238.892657	5.435461	5692
7239.997013	8.487628	5693
7241.004007	6.986705	5694
7242.100285	6.896481	5695
7243.066998	5.861781	5696
7244.163714	8.389323	5697
7245.173108	7.228448	5698
7246.274484	5.746784	5699
7247.239421	6.427803	5700
7248.335100	7.824160	5701
7249.345730	7.441556	5702
7250.438128	6.379000	5703
7251.407155	6.583195	5704
7252.517667	7.651609	5705
7253.516043	6.585089	5706
7254.591891	8.072897	5707
7255.592033	8.157908	5708
7256.699887	7.578944	5709
7257.664217	6.816292	5710
7258.779266	8.753482	5711
7259.762049	7.143642	5712
7260.851074	8.094798	5713
7261.860990	8.484963	5714
7262.937750	8.289734	5715
7263.942863	7.202720	5716
7265.026380	9.246025	5717
7266.020672	8.547461	5718
7267.102927	7.442311	5719
7268.106866	7.780031	5720
7269.180418	10.231197	5721
7270.198991	7.389333	5722
7271.268305	9.852477	5723
7272.283054	8.153790	5724
7273.360771	8.442789	5725
7274.357484	8.157758	5726
7275.456284	8.758417	5727
7276.427771	7.684735	5728
7277.544873	10.471498	5729
7278.531212	8.026843	5730
7279.617537	10.497056	5731
7280.624371	7.888071	5732
7281.706207	8.473565	5733
7282.691144	7.530245	5734
7283.807786	11.437131	5735
7284.773462	6.569546	5736
7285.874985	8.531147	5737
7286.878259	8.718790	5738
7287.966885	7.646393	5739
7288.939471	6.603293	5740
7290.064774	9.153598	5741
7291.035506	7.551661	5742
7292.120200	7.164163	5743
7293.128769	8.287387	5744
7294.224722	6.820153	5745
7295.192788	7.712914	5746
7296.312399	7.778504	5747
7297.289520	8.388753	5748
7298.372348	7.702618	5749
7299.382735	8.455154	5750
7300.470106	8.176750	5751
7301.452068	8.031725	5752
7302.567099	7.791657	5753
7303.531700	9.151194	5754
7304.647596	10.149608	5755
7305.627852	8.914462	5756
7306.719060	8.391618	5757
7307.720241	9.329464	5758
7308.795412	10.289721	5759
7309.809542	8.516287	5760
7310.881396	10.648168	5761
7311.898199	8.074834	5762
7312.966956	9.732721	5763
7313.982378	7.226965	5764
7315.053167	8.350628	5765
7316.062478	7.543495	5766
7317.137586	7.696721	5767
7318.144028	8.825132	5768
7319.225548	8.243205	5769
7320.222307	9.012128	5770
7321.321479	7.851562	5771
7322.293886	8.551800	5772
7323.416733	9.103522	5773
7324.377869	8.356868	5774
7325.487590	8.798441	5775
7326.479713	7.824887	5776
7327.559589	8.375976	5777
7328.568336	8.922144	5778
7329.651858	9.689087	5779
7330.639986	9.933528	5780
7331.755227	10.268102	5781
7332.718246	8.981343	5782
7333.827256	10.200203	5783
7334.819447	8.879374	5784
7335.896870	8.214818	5785
