time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7225.412653	298.401001	1.013443	0.068250	47
7227.480326	295.744202	1.000621	0.081003	49
7229.596411	288.607269	0.993951	0.100000	51
7231.655964	297.011292	1.030470	0.059331	53
7233.755186	298.836548	0.954794	0.100000	55
7235.831480	298.039215	1.052889	0.049357	57
7237.925721	299.092743	0.966744	0.100000	59
7239.997967	297.084137	1.062989	0.050057	61
7242.100744	298.954620	1.070670	0.100000	63
7244.164677	295.949829	1.067492	0.056823	65
7246.275462	295.521088	1.076034	0.100000	67
7248.336350	296.428284	1.077276	0.056233	69
7250.438958	299.356750	0.996364	0.100000	71
7252.519457	299.464783	1.082573	0.051741	73
7254.592478	295.694366	1.056969	0.077916	75
7256.700628	299.696411	1.008968	0.100000	77
7258.780710	299.278107	1.074642	0.060495	79
7260.850515	297.932709	1.089435	0.065094	81
7262.936093	298.208130	1.086824	0.067613	83
7265.023727	298.347046	1.084749	0.067340	85
7267.103491	298.665497	1.083294	0.066267	87
7269.183552	299.710907	1.090537	0.065169	89
7271.270093	300.869293	1.093325	0.062808	91
7273.360711	300.079742	1.085973	0.059221	93
7275.458240	298.036987	1.050624	0.100000	95
7277.546089	294.185547	1.087181	0.072062	97
7279.615728	301.160614	1.121200	0.066640	99
7281.705813	300.526520	1.081409	0.048633	101
7283.807100	295.150848	1.070609	0.100000	103
7285.873388	301.204895	1.123302	0.068310	105
7287.966535	299.538666	1.082211	0.045180	107
7290.062640	293.955231	1.112116	0.076397	109
7292.120297	302.743042	1.125112	0.060017	111
7294.224568	298.125916	1.089614	0.048813	113
7296.311717	294.731873	1.120045	0.073630	115
7298.373388	302.293304	1.134946	0.059493	117
7300.469293	300.345306	1.107452	0.049557	119
7302.568253	295.756500	1.100746	0.062680	121
7304.647717	295.845459	1.119669	0.065726	123
7306.719792	301.803009	1.130332	0.100000	125
7308.796582	301.094574	1.145676	0.055841	127
7310.882458	301.005646	1.147175	0.055259	129
7312.968272	300.652832	1.151905	0.055180	131
7315.052853	300.079956	1.154464	0.055745	133
7317.137401	299.428955	1.149481	0.057163	135
7319.226041	298.761688	1.133740	0.057684	137
7321.323495	301.295288	1.097402	0.100000	139
7323.416165	300.437500	1.081937	0.100000	141
7325.488624	300.369995	1.156470	0.050078	143
7327.559339	298.208405	1.166354	0.055128	145
7329.650953	299.616241	1.115740	0.100000	147
7331.753661	299.616211	1.115992	0.058432	149
7333.826592	300.725708	1.166978	0.045697	151
7335.897111	298.119171	1.170640	0.054873	153
7337.992041	299.764099	1.117768	0.100000	155
7340.092438	300.545898	1.094725	0.100000	157
7342.167938	300.861084	1.165216	0.046355	159
7344.235981	299.286774	1.180777	0.050785	161
7346.322267	298.991058	1.169333	0.055052	163
7348.411270	298.871246	1.147718	0.054745	165
7350.504424	298.235718	1.135619	0.053785	167
7352.599700	301.728455	1.111119	0.100000	169
7354.682793	301.671387	1.108646	0.100000	171
7356.764170	299.173279	1.096303	0.100000	173
7358.846848	298.747284	1.101599	0.100000	175
7360.929379	296.985962	1.139411	0.053753	177
7363.009528	297.522919	1.155765	0.052063	179
7365.086397	299.434082	1.175341	0.051017	181
7367.163151	301.785889	1.186180	0.049165	183
7369.245978	302.550842	1.180615	0.045375	185
7371.339570	300.955475	1.164620	0.043297	187
7373.436675	299.033813	1.123141	0.100000	189
7375.519572	296.293640	1.157684	0.055518	191
7377.592017	300.318634	1.190930	0.051376	193
7379.667589	303.080048	1.190222	0.044442	195
7381.759239	301.909027	1.174359	0.040814	197
7383.855534	299.159943	1.158869	0.045409	199
7385.943138	296.829041	1.152990	0.052523	201
7388.022437	297.813263	1.171669	0.050308	203
7390.096784	300.459473	1.192555	0.046462	205
7392.175990	301.828705	1.197041	0.044301	207
7394.258974	302.115692	1.197493	0.043647	209
7396.343258	301.889618	1.198361	0.043024	211
7398.427199	301.548615	1.199739	0.043292	213
7400.511466	301.285980	1.200644	0.043346	215
7402.596928	301.008392	1.201212	0.042885	217
7404.682030	300.735046	1.198709	0.043804	219
7406.768176	300.131531	1.188973	0.044936	221
7408.861881	299.531281	1.168685	0.046588	223
7410.956226	298.938873	1.148889	0.047668	225
7413.042792	303.466339	1.128428	0.100000	227
7415.123857	301.837585	1.146688	0.100000	229
7417.198079	300.973480	1.205441	0.039585	231
7419.273345	300.122559	1.211385	0.041840	233
7421.357702	299.832214	1.200792	0.044754	235
7423.453006	299.600739	1.172940	0.045112	237
7425.545907	302.772369	1.140678	0.100000	239
7427.632639	303.473999	1.134655	0.100000	241
7429.714002	301.558655	1.144518	0.100000	243
7431.791734	301.202240	1.194525	0.039528	245
7433.869984	301.168365	1.205553	0.039452	247
7435.950075	301.301422	1.210329	0.039267	249
7438.032623	301.423859	1.210610	0.038847	251
7440.117328	301.645386	1.211081	0.038374	253
7442.202567	301.746368	1.209946	0.038986	255
7444.288529	301.925903	1.202961	0.037133	1
7446.375231	301.686096	1.188846	0.037067	3
7448.464236	301.127930	1.154648	0.100000	5
7450.554292	300.378357	1.131149	0.100000	7
7452.641266	298.608368	1.146454	0.040908	9
7454.721910	298.328125	1.154820	0.041591	11
7456.797679	300.047180	1.176450	0.039988	13
7458.874027	302.264771	1.193017	0.036699	15
7460.952297	303.147369	1.193765	0.034721	17
7463.038753	302.867615	1.185322	0.033028	19
7465.130479	301.892761	1.171735	0.033145	21
7467.222119	301.038727	1.135396	0.100000	23
7469.311034	301.745056	1.125355	0.100000	25
7471.395773	298.861725	1.136806	0.039368	27
7473.477937	298.742187	1.136482	0.038654	29
7475.558663	299.141998	1.141039	0.037257	31
7477.640221	299.539673	1.144200	0.036172	33
7479.722935	299.745880	1.143749	0.035855	35
7481.808543	299.872192	1.139845	0.036097	37
7483.894072	299.677155	1.132674	0.036430	39
7485.980051	302.450867	1.114898	0.100000	41
7488.065389	302.881073	1.109531	0.100000	43
7490.150011	303.291412	1.110275	0.100000	45
7492.231148	303.452454	1.122319	0.100000	47
7494.309249	302.140442	1.160134	0.031834	49
7496.384286	301.753204	1.172796	0.031281	51
7498.461419	301.408356	1.176746	0.032063	53
7500.543269	301.135925	1.170500	0.033083	55
7502.630255	300.999146	1.160625	0.033803	57
7504.720519	300.809082	1.142562	0.033759	59
7506.812115	302.332672	1.112358	0.100000	61
7508.901405	302.901855	1.098499	0.100000	63
7510.987226	303.056793	1.093363	0.100000	65
7513.070893	303.123505	1.096853	0.100000	67
7515.153260	303.117889	1.103490	0.100000	69
7517.235147	302.998657	1.107391	0.100000	71
7519.317978	302.831268	1.107790	0.100000	73
7521.401948	302.786285	1.107193	0.100000	75
7523.487274	302.676605	1.099993	0.100000	77
7525.572587	302.458405	1.093314	0.100000	79
7527.658176	302.202148	1.086702	0.100000	81
7529.741457	299.237976	1.102484	0.032980	83
7531.822699	299.098450	1.105896	0.032832	85
7533.901758	299.863190	1.119573	0.030499	87
7535.978595	301.252014	1.134644	0.029615	89
7538.056216	302.496552	1.146294	0.027992	91
7540.135397	303.163635	1.148131	0.026531	93
7542.218531	303.196259	1.144055	0.025468	95
7544.305211	302.900116	1.137777	0.024812	97
7546.394263	302.426422	1.129641	0.025146	99
7548.484206	301.901855	1.119158	0.025695	101
7550.572888	302.613251	1.093040	0.100000	103
7552.660058	302.543793	1.082487	0.100000	105
7554.745634	302.588867	1.075349	0.100000	107
7556.829869	302.576019	1.071338	0.100000	109
7558.913944	302.674805	1.068584	0.100000	111
7560.997847	302.791077	1.068066	0.100000	113
7563.081470	302.943939	1.067135	0.100000	115
7565.165026	303.086273	1.067211	0.100000	117
7567.247747	303.222382	1.071362	0.100000	119
7569.329439	303.427826	1.079199	0.100000	121
7571.409573	302.389282	1.106135	0.023784	123
7573.489009	302.297211	1.116099	0.022878	125
7575.566511	302.137512	1.124469	0.022588	127
7577.645347	301.883118	1.128632	0.022286	129
7579.726150	301.643219	1.126913	0.023490	131
7581.810006	301.694153	1.123046	0.022252	133
7583.896077	301.504059	1.115511	0.023413	135
7585.984623	301.346832	1.105026	0.023923	137
7588.073767	301.031586	1.090767	0.022872	139
7590.162610	300.600616	1.079319	0.023443	141
7592.250509	302.832458	1.058593	0.100000	143
