time (s)	coil I (A)	last det (V)	int current (uC)
5355.502138	1.114720	0.098676	606.407959
5355.503107	1.485839	0.098676	2046.185547
5355.504047	1.468806	0.098676	3426.863281
5355.504919	1.433167	0.098676	4676.584473
5355.506046	1.392473	0.098676	6245.901367
5355.506939	1.358829	0.098676	7459.335937
5355.507809	1.327874	0.098676	8614.585937
5355.508860	0.688663	0.098676	9338.371094
5355.509826	0.101510	0.098676	9436.429687
5355.510687	0.097441	0.098676	9520.327148
5355.511778	0.097438	0.098676	9626.631836
5355.512815	0.097463	0.098676	9727.701172
5355.513700	0.097412	0.098676	9813.911133
5355.514648	0.097544	0.098676	9906.382812
5355.515713	0.097489	0.098676	10010.208984
5355.516640	0.097368	0.098676	10100.469727
5355.517496	0.097397	0.098676	10183.841797
5355.518529	0.097463	0.098676	10284.521484
5356.598344	1.122733	0.120965	623.116882
5356.599378	1.486846	0.120965	2160.515137
5356.600271	1.467539	0.120965	3471.027588
5356.601214	1.431123	0.120965	4820.576660
5356.602274	1.390210	0.120965	6294.199219
5356.603208	1.356376	0.120965	7561.054199
5356.604074	1.325068	0.120965	8708.563477
5356.605158	0.578185	0.120965	9335.315430
5356.606162	0.098998	0.120965	9434.708984
5356.607045	0.097500	0.120965	9520.801758
5356.608035	0.097654	0.120965	9617.479492
5356.609070	0.097551	0.120965	9718.445312
5356.609975	0.097489	0.120965	9806.672852
5356.610872	0.097397	0.120965	9894.038086
5356.611748	0.097504	0.120965	9979.451172
5356.612790	0.097522	0.120965	10081.069336
5356.613687	0.097522	0.120965	10168.546875
5356.614560	0.097577	0.120965	10253.731445
5357.579725	1.008783	0.106185	441.846954
5357.580589	1.475317	0.106185	1716.521118
5357.581650	1.471934	0.106185	3278.242676
5357.582668	1.432980	0.106185	4737.016113
5357.583554	1.398680	0.106185	5976.247070
5357.584537	1.363645	0.106185	7316.709961
5357.585596	1.325163	0.106185	8720.058594
5357.586527	0.722856	0.106185	9393.038086
5357.587387	0.107135	0.106185	9485.173828
5357.588449	0.097588	0.106185	9588.812500
5357.589451	0.097401	0.106185	9686.408203
5357.590335	0.097441	0.106185	9772.546875
5357.591323	0.097621	0.106185	9868.996094
5357.592370	0.097430	0.106185	9971.005859
5357.593278	0.097397	0.106185	10059.442383
5357.594140	0.097511	0.106185	10143.497070
5357.595242	0.097577	0.106185	10251.026367
5357.596226	0.097434	0.106185	10346.901367
5358.666181	1.001169	0.124703	434.507538
5358.667050	1.475328	0.124703	1716.567871
5358.668074	1.473149	0.124703	3225.072754
5358.669114	1.434291	0.124703	4716.735352
5358.669996	1.399413	0.124703	5951.017578
5358.670911	1.366249	0.124703	7201.135254
5358.671788	1.333784	0.124703	8370.864258
5358.672780	0.971708	0.124703	9334.798828
5358.673688	0.130869	0.124703	9453.627930
5358.674570	0.097559	0.124703	9539.674805
5358.675556	0.097753	0.124703	9636.058594
5358.676487	0.097694	0.124703	9727.011719
5358.677404	0.097537	0.124703	9816.453125
5358.678265	0.097727	0.124703	9900.595703
5358.679325	0.097712	0.124703	10004.170898
5358.680216	0.097570	0.124703	10091.105469
5358.681090	0.097614	0.124703	10176.419922
5358.682099	0.097723	0.124703	10275.022461
5359.641642	1.092100	0.101959	566.799683
