time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
5355.368742	173.854065	-0.525143	0.053526	1
5357.444101	173.956131	-0.529715	0.054270	3
5359.507569	173.811646	-0.532630	0.054553	5
5361.576801	173.452682	-0.534009	0.054479	7
5363.640202	173.364471	-0.535329	0.054429	9
5365.712051	173.352280	-0.537199	0.055163	11
5367.777414	173.362656	-0.539417	0.055035	13
5369.851200	173.423492	-0.541677	0.055167	15
5371.923297	173.444443	-0.544066	0.054918	17
5373.994062	173.460175	-0.547025	0.055002	19
5376.062263	173.554581	-0.550582	0.054067	21
5378.131976	173.731400	-0.554494	0.053905	23
5380.196843	173.924423	-0.555309	0.053846	25
5382.259955	173.793732	-0.552358	0.054935	27
5384.330717	173.524841	-0.553666	0.055810	29
5386.411116	173.412994	-0.559446	0.055002	31
5388.478523	173.549454	-0.564506	0.054339	33
5390.542149	173.857101	-0.567172	0.053508	35
5392.609943	174.069534	-0.566427	0.053783	37
5394.676898	173.871277	-0.565153	0.054765	39
5396.742883	173.607361	-0.566069	0.055022	41
5398.819261	173.587112	-0.568337	0.054401	43
5400.894490	173.764877	-0.572092	0.054128	45
5402.961153	173.927536	-0.575060	0.054442	47
5405.028510	173.975113	-0.577195	0.053816	49
5407.097861	174.034393	-0.579092	0.054026	51
5409.169481	174.137527	-0.581308	0.053932	53
5411.238292	174.091553	-0.583677	0.054092	55
5413.306142	173.975861	-0.586038	0.054303	57
5415.373165	173.717102	-0.588030	0.054376	59
5417.439181	173.430893	-0.589622	0.055169	61
5419.506945	173.367828	-0.590464	0.054640	63
5421.579046	173.593506	-0.591166	0.053457	65
5423.653170	174.071442	-0.594054	0.052905	67
5425.724803	172.087540	-0.594162	0.100000	69
5427.791979	174.349167	-0.602389	0.054113	71
5429.857669	171.490936	-0.601560	0.100000	73
5431.923332	173.390686	-0.605938	0.055129	75
5433.991586	353.255463	0.597845	-0.053501	77
5436.063235	353.520660	0.606632	-0.053681	79
5438.134180	172.454514	-0.595248	0.100000	81
5440.206075	174.033005	-0.612194	0.053356	83
5442.275418	174.070618	-0.614402	0.053608	85
5444.344397	174.048325	-0.617868	0.053240	87
5446.415221	174.003235	-0.620349	0.053294	89
5448.485919	174.003143	-0.623379	0.053107	91
5450.554094	173.990219	-0.625840	0.053035	93
5452.620807	173.996353	-0.628301	0.052540	95
5454.687377	174.012833	-0.629722	0.052619	97
5456.754122	174.048965	-0.630830	0.052824	99
5458.820754	174.026260	-0.632258	0.053460	101
5460.888986	175.901276	-0.618281	0.100000	103
5462.960839	173.764221	-0.636562	0.053466	105
5465.035232	353.653168	0.635917	-0.053177	107
5467.106063	353.805206	0.643489	-0.053392	109
5469.175899	353.890106	0.646314	-0.052607	111
5471.243525	353.987579	0.649160	-0.052504	113
5473.310274	354.126648	0.650299	-0.052358	115
5475.375436	354.077393	0.650365	-0.052656	117
5477.442286	353.916595	0.651298	-0.052928	119
5479.512083	353.833374	0.652969	-0.053052	121
5481.583068	353.766113	0.656165	-0.053535	123
5483.652853	173.740921	-0.658758	0.053208	125
5485.721466	353.659851	0.652812	-0.052372	127
5487.789957	173.638992	-0.662254	0.053046	129
5489.859024	353.599548	0.663837	-0.052879	131
5491.929144	353.570190	0.664903	-0.052636	133
5493.997524	353.465637	0.663738	-0.052354	135
5496.066995	353.557068	0.662589	-0.051615	137
5498.138699	353.649353	0.664246	-0.050842	139
5500.210416	353.864166	0.665491	-0.050641	141
5502.281831	354.218628	0.676185	-0.050931	143
5504.351804	354.295837	0.670392	-0.050465	145
5506.421379	354.312805	0.673717	-0.050492	147
5508.488192	353.016113	0.668979	-0.049728	149
5510.554300	353.766205	0.685520	-0.051946	151
5512.621343	353.516052	0.679926	-0.051343	153
5514.689650	353.502075	0.679468	-0.051052	155
5516.758456	353.631592	0.691580	-0.051714	157
5518.828654	353.582611	0.688586	-0.051237	159
5520.898469	353.749847	0.696811	-0.051340	161
5522.969029	353.826080	0.698737	-0.050882	163
5525.038326	353.747620	0.694970	-0.050864	165
5527.107284	353.777893	0.696891	-0.050606	167
5529.175436	353.821533	0.699320	-0.050454	169
5531.244014	353.778412	0.702278	-0.050868	171
5533.313032	353.761505	0.703244	-0.050816	173
5535.381745	353.706390	0.704349	-0.050931	175
5537.451373	353.651062	0.706131	-0.050962	177
5539.521759	353.579163	0.707369	-0.050883	179
5541.593287	353.600189	0.710020	-0.050702	181
5543.665173	353.692841	0.718992	-0.051348	183
5545.735987	353.808228	0.722485	-0.050554	185
5547.805331	353.856171	0.726413	-0.050170	187
5549.874063	353.790894	0.727968	-0.049499	189
5551.941258	353.952698	0.728792	-0.050082	191
5554.008386	353.956726	0.729304	-0.049630	193
5556.074968	353.947754	0.730505	-0.049827	195
5558.143907	173.819504	-0.731879	0.051602	197
5560.211752	173.684357	-0.731013	0.051961	199
5562.279808	173.609253	-0.730645	0.052160	201
5564.347751	173.552979	-0.730099	0.052151	203
5566.416551	173.505569	-0.730148	0.052426	205
5568.486007	173.537064	-0.729601	0.052691	207
5570.555290	173.458221	-0.730744	0.052069	209
5572.624105	173.453979	-0.730804	0.051878	211
5574.694145	173.522141	-0.730319	0.051986	213
5576.764157	173.539062	-0.729446	0.051545	215
5578.835060	173.652710	-0.726796	0.051327	217
5580.904164	173.679031	-0.725103	0.051299	219
5582.972424	173.706253	-0.724122	0.051045	221
5585.040457	173.682541	-0.724925	0.051830	223
5587.107833	173.543365	-0.725069	0.052259	225
5589.174109	173.222366	-0.725087	0.052763	227
5591.241237	173.007584	-0.723560	0.052694	229
5593.308013	172.823425	-0.723352	0.053115	231
5595.375972	172.801331	-0.721162	0.052755	233
5597.444600	172.799469	-0.721348	0.052778	235
5599.512815	172.848602	-0.720705	0.052578	237
5601.581570	172.846878	-0.720883	0.052705	239
5603.650037	172.834015	-0.720411	0.052993	241
5605.718329	172.820038	-0.718927	0.052655	243
5607.786878	172.741364	-0.717414	0.052711	245
5609.854874	172.746399	-0.716699	0.052870	247
5611.923339	172.665924	-0.714878	0.052868	249
5613.992933	172.660538	-0.714762	0.053112	251
5616.062674	172.614059	-0.714360	0.052920	253
5618.132778	172.604950	-0.714361	0.052712	255
5620.203579	172.611053	-0.713548	0.052427	1
5622.273208	172.639557	-0.713588	0.052408	3
5624.342981	172.647110	-0.713846	0.052258	5
5626.412365	172.628265	-0.713640	0.052169	7
5628.479922	172.649963	-0.712256	0.051913	9
5630.547744	172.726471	-0.712920	0.051702	11
5632.614484	172.609558	-0.710378	0.051716	13
5634.681969	172.579132	-0.708905	0.051640	15
5636.749233	172.542877	-0.707084	0.051984	17
5638.817435	172.485382	-0.706730	0.052134	19
5640.884821	172.397736	-0.705963	0.051981	21
5642.952934	172.365128	-0.705872	0.052082	23
5645.021897	172.239304	-0.704997	0.052186	25
5647.090526	172.229889	-0.702950	0.051843	27
5649.160479	172.260269	-0.702195	0.051558	29
5651.229671	172.208099	-0.702439	0.051870	31
5653.299336	172.267487	-0.702234	0.052034	33
5655.368652	172.348572	-0.699938	0.051353	35
5657.438352	172.348801	-0.699118	0.051567	37
5659.507396	172.421707	-0.698066	0.051248	39
5661.576014	172.466080	-0.698369	0.051532	41
5663.643665	172.315659	-0.698445	0.051535	43
5665.710733	172.139313	-0.699400	0.052210	45
5667.777744	171.951157	-0.699586	0.052364	47
