time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4932.412812	286.637817	0.835612	0.100000	177
4934.500821	284.335327	0.868318	0.100000	179
4936.593144	283.163177	0.887893	0.100000	181
4938.682525	283.712311	0.913812	0.100000	183
4940.769281	283.402496	0.936435	0.100000	185
4942.857412	276.994415	0.998766	0.100000	187
4944.949147	276.962524	1.026637	0.100000	189
4947.041826	282.094788	0.992540	0.100000	191
4949.129099	277.110870	1.074694	0.100000	193
4951.215606	277.184509	1.093708	0.100000	195
4953.302863	277.243134	1.113915	0.100000	197
4955.392187	277.487305	1.131943	0.100000	199
4957.481648	281.333527	1.123764	0.100000	201
4959.572389	276.595581	1.169430	0.100000	203
4961.663294	279.666382	1.152089	0.100000	205
4963.751539	260.345154	1.046148	0.100000	207
4965.838257	274.245331	1.221539	0.100000	209
4967.925200	274.146515	1.194593	0.100000	211
4970.013623	273.907471	1.255264	0.100000	213
4972.101026	273.871674	1.270968	0.100000	215
4974.188351	276.581696	1.275572	0.100000	217
4976.276286	272.468292	1.248571	0.100000	219
4978.363895	273.394012	1.308639	0.100000	221
4980.450121	276.046844	1.313783	0.100000	223
4982.533922	294.063660	1.196445	0.100000	225
4984.616480	297.080933	1.202133	0.100000	227
4986.697468	277.478455	1.334695	0.100000	229
4988.779381	275.263672	1.363577	0.100000	231
4990.861530	276.865509	1.303390	0.100000	233
4992.943905	278.101532	1.376552	0.099281	235
4995.025409	282.693176	1.346421	0.100000	237
4997.107231	260.057953	1.236183	0.100000	239
4999.190871	260.610016	1.246431	0.100000	241
5001.276468	278.808289	1.394034	0.100000	243
5003.362380	278.597290	1.403185	0.100000	245
5005.448066	280.391266	1.338770	0.100000	247
5007.533396	278.467682	1.343679	0.100000	249
5009.618949	276.356659	1.348840	0.100000	251
5011.704537	272.532074	1.348740	0.100000	253
5013.789625	274.284576	1.361988	0.100000	255
5015.874108	274.304779	1.367489	0.100000	1
5017.958705	276.591400	1.379442	0.100000	3
5020.043123	275.570526	1.378211	0.100000	5
5022.127533	279.067932	1.388494	0.100000	7
5024.212063	278.392059	1.470293	0.100000	9
5026.296972	278.551361	1.474799	0.100000	11
5028.382966	278.735352	1.478899	0.100000	13
5030.470052	278.669617	1.484106	0.100000	15
5032.557438	278.268341	1.489156	0.100000	17
5034.644315	273.172974	1.409236	0.100000	19
5036.730976	276.693817	1.495636	0.100000	21
5038.817793	272.401001	1.424878	0.100000	23
5040.904609	275.501251	1.502828	0.100000	25
5042.990700	276.851685	1.476085	0.100000	27
5045.076755	278.394775	1.505009	0.100000	29
5047.162013	274.880829	1.516467	0.100000	31
5049.247061	277.853912	1.513343	0.100000	33
5051.332130	274.876862	1.526326	0.100000	35
5053.416721	272.944427	1.479041	0.100000	37
5055.501046	294.881531	1.438113	0.100000	39
5057.585140	283.037109	1.451961	0.100000	41
5059.668606	285.835449	1.452557	0.100000	43
5061.751372	275.513092	1.546380	0.100000	45
5063.833654	276.432281	1.552374	0.100000	47
5065.915737	277.572021	1.558405	0.100000	49
5067.997859	270.655975	1.472308	0.100000	51
5070.080168	285.061768	1.521516	0.100000	53
