time (s)	coil I (A)	last det (V)	int current (uC)
4933.641824	1.131445	0.667056	644.923828
4933.642897	1.474010	0.667056	2226.536621
4933.643793	1.452902	0.667056	3528.336426
4933.644714	1.417548	0.667056	4833.897461
4933.645803	1.377312	0.667056	6333.790039
4933.646752	1.343624	0.667056	7608.889648
4933.647620	1.312698	0.667056	8748.311523
4933.648682	1.278069	0.667056	10105.621094
4933.649706	1.245905	0.667056	11381.427734
4933.650608	1.218113	0.667056	12480.166016
4933.651485	1.192185	0.667056	13525.711914
4933.652475	1.164034	0.667056	14678.105469
4933.653429	1.136708	0.667056	15762.524414
4933.654355	1.117236	0.667056	16797.085937
4933.655218	1.094751	0.667056	17741.855469
4933.656239	0.814006	0.667056	18572.955078
4933.657150	0.124724	0.667056	18686.578125
4933.658023	0.097980	0.667056	18772.115234
4933.658951	0.098167	0.667056	18863.212891
4933.659946	0.098060	0.667056	18960.783203
4933.660860	0.098042	0.667056	19050.394531
4933.661734	0.098090	0.667056	19136.125000
4933.662822	0.098064	0.667056	19242.818359
4933.663708	0.098046	0.667056	19329.687500
4933.664569	0.098053	0.667056	19414.111328
4933.665641	0.098276	0.667056	19519.462891
4934.665144	0.991886	0.525988	415.600220
4934.666199	1.470183	0.525988	1966.643433
4934.667083	1.459922	0.525988	3257.214355
4934.667960	1.427260	0.525988	4508.920898
4934.668910	1.391206	0.525988	5830.566406
4934.669884	1.355413	0.525988	7150.738281
4934.670804	1.323453	0.525988	8368.315430
4934.671688	1.293538	0.525988	9511.802734
4934.672720	1.260923	0.525988	10813.075195
4934.673623	1.232523	0.525988	11926.043945
4934.674498	1.205856	0.525988	12981.167969
4934.675377	1.179496	0.525988	14017.945312
4934.676408	1.150602	0.525988	15204.215820
4934.677296	1.127900	0.525988	16205.791016
4934.678162	1.108286	0.525988	17165.566406
4934.679264	1.080842	0.525988	18356.654297
4934.680175	0.361549	0.525988	18686.025391
4934.681040	0.099108	0.525988	18771.753906
4934.682022	0.098060	0.525988	18868.048828
4934.683019	0.098027	0.525988	18965.781250
4934.683904	0.098013	0.525988	19052.523437
4934.684767	0.098112	0.525988	19137.193359
4934.685860	0.098229	0.525988	19244.556641
4934.686791	0.098108	0.525988	19335.894531
4934.687665	0.098086	0.525988	19421.621094
4934.688644	0.098254	0.525988	19517.812500
4934.689651	0.098141	0.525988	19616.640625
4935.729175	1.063477	0.693583	543.436523
4935.730078	1.468850	0.693583	1869.808105
4935.730939	1.460962	0.693583	3127.696289
4935.732036	1.421301	0.693583	4686.863770
4935.733029	1.383629	0.693583	6060.807617
4935.733929	1.351736	0.693583	7277.370117
4935.734911	1.317543	0.693583	8571.197266
4935.735976	1.282170	0.693583	9936.708984
4935.736869	1.253302	0.693583	11055.907227
4935.737761	1.224983	0.693583	12148.591797
4935.738863	1.192980	0.693583	13463.255859
4935.739823	1.165184	0.693583	14581.833008
4935.740694	1.140359	0.693583	15575.085937
4935.741742	1.117317	0.693583	16746.033203
4935.742768	1.091309	0.693583	17865.714844
4935.743659	0.833943	0.693583	18608.757812
4935.744615	0.128602	0.693583	18731.701172
4935.745669	0.098177	0.693583	18835.179687
4935.746601	0.098005	0.693583	18926.521484
4935.747460	0.098057	0.693583	19010.751953
4935.748513	0.098298	0.693583	19114.259766
4935.749518	0.098075	0.693583	19212.824219
4935.750397	0.098112	0.693583	19299.064453
4935.751374	0.098207	0.693583	19395.011719
4935.752420	0.098232	0.693583	19497.763672
4935.753335	0.098075	0.693583	19587.501953
4936.757734	1.021003	0.614877	477.829590
4936.758812	1.471399	0.614877	2063.997559
4936.759766	1.454381	0.614877	3451.477051
4936.760638	1.421378	0.614877	4690.918945
4936.761684	1.382164	0.614877	6136.663086
4936.762724	1.344803	0.614877	7535.258789
4936.763619	1.313734	0.614877	8711.050781
4936.764583	1.281907	0.614877	9946.808594
4936.765650	1.248157	0.614877	11278.591797
4936.766579	1.219387	0.614877	12411.402344
4936.767448	1.192998	0.614877	13448.117187
4936.768544	1.161793	0.614877	14721.442383
4936.769544	1.133958	0.614877	15855.400391
4936.770448	1.115592	0.614877	16863.896484
4936.771453	1.089576	0.614877	17958.919922
4936.772524	0.585106	0.614877	18585.568359
4936.773413	0.102444	0.614877	18676.640625
4936.774293	0.098112	0.614877	18762.978516
4936.775375	0.098141	0.614877	18869.166016
4936.776327	0.097899	0.614877	18962.365234
4936.777189	0.098137	0.614877	19046.958984
4936.778237	0.098251	0.614877	19149.925781
4936.779279	0.098108	0.614877	19252.154297
4936.780159	0.098112	0.614877	19338.492187
4936.781079	0.098163	0.614877	19428.802734
4936.782141	0.098115	0.614877	19533.001953
4937.816045	1.034641	0.662077	478.004211
4937.816915	1.464847	0.662077	1752.421387
4937.817782	1.463529	0.662077	3021.301270
4937.818853	1.425026	0.662077	4547.503906
4937.819782	1.389708	0.662077	5838.542969
4937.820662	1.357939	0.662077	7033.529785
4937.821646	1.324036	0.662077	8336.380859
4937.822667	1.289121	0.662077	9652.573242
4937.823557	1.260425	0.662077	10774.351562
4937.824426	1.232754	0.662077	11845.614258
4937.825507	1.201307	0.662077	13144.227539
4937.826433	1.173896	0.662077	14231.255859
4937.827319	1.148533	0.662077	15248.855469
4937.828304	1.125147	0.662077	16357.125000
4937.829332	1.100599	0.662077	17488.541016
4937.830223	1.067157	0.662077	18439.378906
4937.831215	0.264866	0.662077	18702.125000
4937.832273	0.098068	0.662077	18805.880859
4937.833180	0.098115	0.662077	18894.871094
4937.834037	0.098339	0.662077	18979.146484
4937.835116	0.098163	0.662077	19085.064453
4937.836100	0.098093	0.662077	19181.587891
4937.836987	0.098119	0.662077	19268.619141
4937.837978	0.098335	0.662077	19366.068359
4937.839026	0.098207	0.662077	19468.988281
4937.839923	0.098130	0.662077	19557.011719
4938.847792	1.071489	0.638407	581.818726
4938.848857	1.472761	0.638407	2150.309326
4938.849757	1.453960	0.638407	3458.873291
4938.850628	1.419357	0.638407	4695.132812
4938.851754	1.378784	0.638407	6247.643555
4938.852739	1.343657	0.638407	7571.145996
4938.853614	1.313064	0.638407	8720.077148
4938.854667	1.278314	0.638407	10066.141602
4938.855724	1.245048	0.638407	11382.157227
4938.856614	1.217688	0.638407	12465.899414
4938.857561	1.190061	0.638407	13592.886719
4938.858618	1.159098	0.638407	14818.052734
4938.859564	1.133247	0.638407	15890.104492
4938.860439	1.115024	0.638407	16865.750000
4938.861500	1.087529	0.638407	18019.619141
4938.862519	0.553934	0.638407	18584.078125
4938.863417	0.101788	0.638407	18675.484375
4938.864390	0.098126	0.638407	18770.960937
4938.865437	0.098137	0.638407	18873.710937
4938.866361	0.098152	0.638407	18964.402344
4938.867220	0.098130	0.638407	19048.695312
4938.868293	0.098291	0.638407	19154.162109
4938.869296	0.098115	0.638407	19252.572266
4938.870171	0.098112	0.638407	19338.419922
4938.871168	0.098115	0.638407	19436.240234
4938.872211	0.098086	0.638407	19538.542969
4939.903925	1.001704	0.669296	419.714020
4939.905032	1.469817	0.669296	2046.801147
4939.906001	1.454718	0.669296	3456.422852
4939.906862	1.421916	0.669296	4680.692871
4939.907932	1.381223	0.669296	6158.601562
4939.908971	1.344419	0.669296	7555.453125
4939.909864	1.313298	0.669296	8728.228516
4939.910811	1.282236	0.669296	9942.505859
4939.911875	1.247926	0.669296	11270.298828
4939.912819	1.219171	0.669296	12421.196289
4939.913695	1.192965	0.669296	13466.233398
4939.914756	1.162306	0.669296	14699.439453
4939.915774	1.134210	0.669296	15854.065430
4939.916665	1.115768	0.669296	16848.214844
4939.917646	1.090734	0.669296	17918.224609
4939.918720	0.616805	0.669296	18580.673828
4939.919635	0.103019	0.669296	18674.935547
4939.920500	0.098134	0.669296	18759.820312
4939.921600	0.098258	0.669296	18867.904297
4939.922589	0.098152	0.669296	18964.976562
4939.923484	0.098232	0.669296	19052.894531
4939.924486	0.098236	0.669296	19151.326172
4939.925534	0.098167	0.669296	19254.205078
4939.926406	0.098177	0.669296	19339.816406
4939.927263	0.098262	0.669296	19424.027344
4939.928370	0.098383	0.669296	19532.937500
4940.934184	1.054464	0.607389	564.138306
4940.935240	1.472065	0.607389	2118.639404
4940.936161	1.453663	0.607389	3457.463379
4940.937030	1.420302	0.607389	4691.705566
4940.938111	1.380637	0.607389	6184.174316
4940.939116	1.344207	0.607389	7535.102051
4940.939999	1.314210	0.607389	8695.549805
4940.941007	1.280951	0.607389	9986.748047
4940.942051	1.247684	0.607389	11289.330078
4940.942940	1.219754	0.607389	12373.691406
4940.943842	1.193090	0.607389	13449.858398
4940.944731	1.165810	0.607389	14486.263672
4940.945784	1.137557	0.607389	15684.111328
4940.946682	1.118302	0.607389	16688.345703
4940.947563	1.096099	0.607389	17654.007812
4940.948557	0.884374	0.607389	18533.076172
4940.949494	0.135571	0.607389	18660.107422
4940.950412	0.097928	0.607389	18750.005859
4940.951275	0.098075	0.607389	18834.644531
4940.952307	0.098093	0.607389	18935.876953
4940.953185	0.098002	0.607389	19021.921875
4940.954052	0.098009	0.607389	19106.896484
4940.955012	0.098145	0.607389	19201.115234
4940.955969	0.098031	0.607389	19294.931641
4940.956850	0.098009	0.607389	19381.277344
4940.957774	0.098148	0.607389	19471.966797
