crossing time (s)	slope (V/s)	crossing number
5608.451561	6.097327	4146
5609.544432	6.491801	4147
5610.537618	6.451180	4148
5611.622029	6.596397	4149
5612.628194	6.893722	4150
5613.696072	7.374230	4151
5614.719541	6.138579	4152
5615.774935	7.392372	4153
5616.809574	6.504904	4154
5617.857298	6.071513	4155
5618.898435	5.525055	4156
5619.941711	5.372562	4157
5620.984355	5.306595	4158
5622.030023	6.943098	4159
5623.070775	5.987054	4160
5624.116500	8.310722	4161
5625.154745	6.279480	4162
5626.200598	8.023572	4163
5627.236268	6.346278	4164
5628.285549	7.596864	4165
5629.315651	6.222049	4166
5630.374643	7.302887	4167
5631.394513	6.324789	4168
5632.465182	6.741864	4169
5633.474062	6.617625	4170
5634.557019	7.224939	4171
5635.555402	6.856418	4172
5636.646027	8.009145	4173
5637.641887	6.918640	4174
5638.727519	8.453886	4175
5639.736160	7.521971	4176
5640.799069	8.417983	4177
5641.827414	8.055627	4178
5642.875452	9.263323	4179
5643.919771	7.065353	4180
5644.959390	8.971164	4181
5646.006836	7.075839	4182
5647.044626	7.804991	4183
5648.086516	6.611150	4184
5649.131156	7.703954	4185
5650.163639	6.194469	4186
5651.222808	7.797613	4187
5652.241356	6.427696	4188
5653.316109	7.469601	4189
5654.319364	6.880612	4190
5655.403262	7.209928	4191
5656.402108	7.133879	4192
5657.489422	8.057372	4193
5658.484752	6.904620	4194
5659.574466	9.019676	4195
5660.571373	6.753884	4196
5661.660976	9.240102	4197
5662.655720	6.350516	4198
5663.745947	8.832924	4199
5664.739148	6.312044	4200
5665.830349	7.966604	4201
5666.823454	6.775746	4202
5667.915329	7.610661	4203
5668.909172	7.082316	4204
5669.996384	7.849785	4205
5670.996319	6.931960	4206
5672.074708	8.023804	4207
5673.084150	6.979797	4208
5674.154279	7.761475	4209
5675.174223	6.814316	4210
5676.233363	7.255889	4211
5677.267318	6.512655	4212
5678.314526	7.359968	4213
5679.358187	6.655190	4214
5680.395970	7.807062	4215
5681.443334	6.956471	4216
5682.478182	8.310698	4217
5683.523457	7.343991	4218
5684.567551	8.336529	4219
5685.600954	7.624980	4220
5686.662313	9.010859	4221
5687.678110	7.704157	4222
5688.750800	8.858426	4223
5689.755851	7.894082	4224
5690.842430	8.399128	4225
5691.837736	7.625065	4226
5692.928725	9.321498	4227
5693.922716	7.054329	4228
5695.009783	9.133151	4229
5696.009360	7.022875	4230
5697.088737	7.616499	4231
5698.095976	7.428396	4232
5699.169365	6.798688	4233
5700.184217	7.381512	4234
5701.252198	7.348918	4235
5702.270170	7.018421	4236
5703.338502	8.179448	4237
5704.354433	7.287502	4238
5705.425196	8.855977	4239
5706.435441	7.466514	4240
5707.510936	8.997803	4241
5708.517096	7.483234	4242
5709.595349	8.599613	4243
5710.597914	7.147503	4244
5711.680283	8.577086	4245
5712.681338	7.355488	4246
5713.766817	9.224916	4247
5714.767708	7.965491	4248
5715.850591	9.349136	4249
5716.855217	8.437341	4250
5717.930558	8.480357	4251
5718.945244	8.395634	4252
5720.006726	8.661568	4253
5721.033903	7.823481	4254
5722.087805	9.217678	4255
5723.126243	7.876192	4256
5724.170022	8.914962	4257
5725.215196	7.940768	4258
5726.250915	8.043382	4259
5727.297629	7.483448	4260
5728.334725	7.936742	4261
5729.379283	7.067671	4262
5730.424496	8.398771	4263
5731.459552	6.982829	4264
5732.515241	8.762362	4265
5733.538610	7.400800	4266
5734.600813	8.820982	4267
5735.619495	7.862150	4268
5736.687039	8.645158	4269
5737.700949	7.743552	4270
5738.770891	8.828234	4271
5739.783587	7.419372	4272
5740.855563	8.973083	4273
5741.868283	7.406155	4274
5742.943511	8.590246	4275
5743.951301	7.503683	4276
5745.028242	8.506445	4277
5746.036322	7.667037	4278
5747.112256	8.464334	4279
5748.123099	7.981523	4280
5749.191094	8.414605	4281
5750.210406	7.705517	4282
5751.270704	8.611778	4283
5752.297688	7.382847	4284
5753.353793	8.293097	4285
5754.387199	7.145489	4286
5755.435244	8.517222	4287
5756.474843	7.202578	4288
5757.517306	8.970259	4289
5758.561702	7.374381	4290
5759.599426	9.316554	4291
5760.646610	7.919285	4292
5761.685749	9.272275	4293
5762.728181	8.118167	4294
5763.775277	9.328105	4295
5764.807577	8.132510	4296
5765.864116	9.755953	4297
5766.883329	8.377521	4298
5767.952624	9.220672	4299
5768.963106	8.650716	4300
5770.042980	8.403559	4301
5771.042755	8.394261	4302
5772.132717	9.327413	4303
5773.123939	7.648155	4304
5774.217534	9.956264	4305
5775.209195	7.135900	4306
5776.299212	9.226657	4307
5777.293200	7.155125	4308
5778.380321	8.569839	4309
5779.378772	7.500043	4310
5780.463927	8.395209	4311
5781.464515	7.717058	4312
5782.549228	8.829277	4313
5783.548790	7.912299	4314
5784.633012	9.178740	4315
5785.632488	7.814893	4316
5786.718962	9.512619	4317
5787.714538	7.607986	4318
5788.802946	9.574270	4319
5789.798894	7.457296	4320
5790.886267	9.525229	4321
5791.884273	7.675097	4322
5792.969578	9.516915	4323
5793.969631	8.334335	4324
5795.052987	9.454658	4325
5796.057083	8.702288	4326
5797.133391	8.888644	4327
5798.144492	8.600905	4328
5799.211302	9.016461	4329
5800.233255	8.365594	4330
5801.291508	9.606747	4331
5802.324845	8.233337	4332
5803.372889	9.928079	4333
5804.412615	8.195955	4334
5805.455199	9.253426	4335
5806.497727	7.973914	4336
5807.537770	8.914039	4337
5808.581661	7.660764	4338
5809.621905	8.923944	4339
5810.662764	7.520882	4340
5811.708399	9.041099	4341
5812.745788	7.511963	4342
5813.793956	9.176462	4343
5814.828438	7.680056	4344
5815.880141	8.890301	4345
5816.909692	7.850619	4346
5817.966912	9.062199	4347
5818.992338	7.827224	4348
5820.050148	8.995108	4349
5821.076044	7.769398	4350
5822.135240	9.123247	4351
5823.160672	7.576308	4352
5824.219079	9.088752	4353
5825.245934	7.673284	4354
5826.301655	9.049297	4355
5827.331299	7.622389	4356
5828.385038	9.341123	4357
5829.417571	7.681911	4358
5830.464443	9.502062	4359
5831.502379	7.724374	4360
5832.547515	9.338962	4361
5833.587761	7.820594	4362
5834.629328	9.191872	4363
5835.673396	7.913520	4364
5836.713358	9.078693	4365
5837.756477	7.986636	4366
5838.797949	9.259753	4367
5839.837005	8.054589	4368
5840.883431	9.351142	4369
5841.917873	8.133664	4370
5842.969978	9.287690	4371
5843.997278	8.205949	4372
5845.059730	9.349959	4373
5846.076897	8.002255	4374
5847.149370	9.524834	4375
5848.155723	8.061740	4376
5849.234190	9.451930	4377
5850.236292	8.012418	4378
5851.321603	9.315201	4379
5852.317412	7.938912	4380
5853.407398	9.234780	4381
5854.399209	7.903808	4382
5855.492295	8.982741	4383
5856.482086	7.825006	4384
5857.576665	9.039001	4385
5858.564349	7.600999	4386
5859.660954	9.140815	4387
5860.648211	7.545144	4388
5861.743255	8.982154	4389
5862.732072	7.521251	4390
5863.827087	8.978656	4391
5864.816193	7.649175	4392
5865.911058	9.049137	4393
5866.899431	7.594619	4394
5867.994232	8.995659	4395
5868.982127	7.677586	4396
5870.077071	8.941037	4397
5871.067255	7.635408	4398
5872.159504	9.173617	4399
5873.154140	7.603540	4400
5874.241698	9.187424	4401
5875.240407	7.757332	4402
5876.321320	9.192750	4403
5877.328167	7.868820	4404
5878.399959	9.151587	4405
5879.416326	7.821038	4406
5880.479428	9.080303	4407
5881.504870	7.688509	4408
5882.560330	9.086067	4409
5883.591431	7.611268	4410
5884.638721	9.067168	4411
5885.676759	7.596534	4412
5886.722873	8.850384	4413
5887.762102	7.530485	4414
5888.806835	8.844982	4415
5889.845498	7.399239	4416
5890.890302	8.879726	4417
5891.927924	7.437987	4418
5892.973487	8.649074	4419
5894.010666	7.298654	4420
5895.059050	8.606491	4421
5896.093943	7.283129	4422
5897.142881	8.659326	4423
5898.176256	7.158531	4424
5899.227547	8.561611	4425
5900.260017	7.197812	4426
5901.311109	8.601607	4427
5902.343621	7.202153	4428
5903.394614	8.604159	4429
5904.427450	7.188283	4430
5905.478464	8.546399	4431
5906.512056	7.085378	4432
5907.560322	8.543658	4433
5908.597898	7.206954	4434
5909.644382	8.574734	4435
5910.681617	7.282696	4436
5911.726032	8.810173	4437
5912.765406	7.255154	4438
5913.809167	8.504067	4439
5914.848396	7.318778	4440
5915.894979	8.613183	4441
5916.930768	7.425864	4442
5917.979539	8.714413	4443
5919.012785	7.308368	4444
5920.067041	8.737461	4445
5921.092904	7.405084	4446
5922.152955	8.648071	4447
5923.171827	7.485922	4448
5924.241178	8.671165	4449
5925.251766	7.589897	4450
5926.329741	8.556225	4451
5927.330864	7.486718	4452
5928.416044	8.599616	4453
5929.411380	7.456636	4454
5930.501385	8.571130	4455
5931.492300	7.311931	4456
5932.587035	8.469717	4457
5933.574781	7.091329	4458
5934.671982	8.408598	4459
5935.659193	7.051083	4460
5936.756984	8.507412	4461
5937.741368	7.219269	4462
5938.840226	8.330656	4463
5939.826213	7.007839	4464
5940.924904	8.328660	4465
5941.909440	7.230421	4466
5943.007436	8.313940	4467
5943.993310	7.086131	4468
5945.091481	8.248222	4469
5946.077009	7.022414	4470
5947.173567	8.332998	4471
5948.161230	7.145336	4472
5949.256000	8.407616	4473
5950.246137	7.118680	4474
5951.337692	8.429731	4475
5952.331373	7.153672	4476
5953.419715	8.431206	4477
5954.419226	7.112650	4478
5955.499348	8.435977	4479
5956.507699	7.239066	4480
