time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4630.188594	169.796646	-0.615911	-0.017515	95
4632.259195	169.742661	-0.615395	-0.017525	97
4634.327043	169.718506	-0.613325	-0.016794	99
4636.401650	169.801819	-0.616902	-0.017667	101
4638.468489	169.816467	-0.619416	-0.017383	103
4640.540975	169.788925	-0.623471	-0.017381	105
4642.609625	169.722519	-0.624979	-0.017107	107
4644.679825	169.737183	-0.627786	-0.016463	109
4646.749056	169.749283	-0.631247	-0.016315	111
4648.815919	169.796539	-0.632421	-0.016129	113
4650.884370	169.927155	-0.633711	-0.015959	115
4652.949040	170.107391	-0.634426	-0.016304	117
4655.018048	170.089142	-0.636382	-0.015699	119
4657.087359	169.932480	-0.636010	-0.015680	121
4659.158692	169.739960	-0.639166	-0.015420	123
4661.232054	169.477478	-0.643384	-0.015386	125
4663.302940	169.361145	-0.645708	-0.015062	127
4665.373393	169.501511	-0.648547	-0.014598	129
4667.439129	169.760773	-0.652045	-0.014828	131
4669.506610	169.945053	-0.655151	-0.014487	133
4671.571337	170.034180	-0.655207	-0.013885	135
4673.639892	170.050568	-0.655308	-0.013935	137
4675.709221	169.872528	-0.657097	-0.013484	139
4677.779965	169.819290	-0.660612	-0.013651	141
4679.848387	169.648254	-0.663321	-0.013365	143
4681.918759	169.667847	-0.665388	-0.013157	145
4683.986792	169.656387	-0.667534	-0.012911	147
4686.056283	169.648743	-0.670294	-0.012709	149
4688.124955	169.599625	-0.671863	-0.012585	151
4690.193634	169.603577	-0.674355	-0.012285	153
4692.263182	169.600250	-0.677092	-0.011961	155
4694.333027	169.564407	-0.678576	-0.011927	157
4696.405349	169.628769	-0.680746	-0.012094	159
4698.477394	169.672119	-0.683113	-0.012065	161
4700.547636	169.706360	-0.685619	-0.012145	163
4702.616568	169.852768	-0.687627	-0.011473	165
4704.684397	169.852432	-0.692001	-0.011401	167
4706.750555	169.624573	-0.694241	-0.011128	169
4708.817019	169.460876	-0.694586	-0.011340	171
4710.886224	169.507874	-0.695788	-0.010803	173
4712.954439	169.509705	-0.697801	-0.010990	175
4715.023700	169.561798	-0.700084	-0.010743	177
4717.093790	169.514755	-0.702366	-0.010687	179
4719.163553	169.591751	-0.704201	-0.010177	181
4721.233104	169.629532	-0.706532	-0.010360	183
4723.302363	169.661606	-0.709411	-0.009943	185
4725.370694	169.721634	-0.710954	-0.010080	187
4727.439100	169.707581	-0.713678	-0.009997	189
4729.508154	169.727600	-0.713681	-0.009827	191
4731.577099	169.750061	-0.714531	-0.009518	193
4733.646465	169.597885	-0.716516	-0.009089	195
4735.717328	169.547211	-0.718643	-0.009266	197
4737.788334	169.418671	-0.721925	-0.008880	199
4739.859974	169.267334	-0.724429	-0.008784	201
4741.930996	169.268646	-0.726704	-0.008767	203
4743.999953	169.258163	-0.729437	-0.008475	205
4746.067902	169.450577	-0.731697	-0.008611	207
4748.135275	169.537949	-0.733641	-0.008339	209
4750.202785	169.674118	-0.735150	-0.008426	211
4752.270321	169.654083	-0.736092	-0.008053	213
4754.338293	169.681229	-0.737917	-0.007770	215
4756.406703	169.646286	-0.740103	-0.007472	217
4758.475964	169.589569	-0.742530	-0.007283	219
4760.545013	349.539185	0.745059	0.007204	221
4762.614415	169.491119	-0.746637	-0.007234	223
4764.683644	169.488083	-0.748243	-0.006772	225
4766.753240	169.475952	-0.750872	-0.006925	227
4768.823149	169.430298	-0.753729	-0.006920	229
4770.893428	169.445099	-0.754113	-0.007118	231
4772.964044	169.451813	-0.757490	-0.006954	233
4775.034928	169.450867	-0.759259	-0.006690	235
4777.105307	169.419189	-0.760858	-0.006719	237
4779.175197	349.489990	0.762000	0.006815	239
4781.244032	170.370712	-0.760095	-0.100000	241
4783.311515	169.543640	-0.770563	-0.006376	243
4785.379055	169.378479	-0.774126	-0.006234	245
4787.447009	349.174988	0.772218	0.005954	247
4789.514817	349.165497	0.766746	0.006009	249
4791.583211	349.152618	0.769768	0.005871	251
4793.652063	349.123657	0.772892	0.005440	253
4795.721206	349.280731	0.782160	0.005504	255
4797.790459	349.237396	0.773005	0.005363	1
4799.859260	349.212067	0.778235	0.005147	3
4801.928299	349.325958	0.787128	0.005196	5
4803.996631	349.342224	0.787937	0.005330	7
4806.066641	349.178070	0.786328	0.004578	9
