crossing time (s)	slope (V/s)	crossing number
4629.205842	1.395454	1630
4630.176925	1.642707	1631
4631.261938	1.867361	1632
4632.266687	1.727096	1633
NaN	NaN	1634
4634.322256	1.361455	1635
4635.404191	1.290057	1636
4636.404079	1.739877	1637
4637.459108	1.689816	1638
4638.460145	1.277824	1639
4639.531193	1.148485	1640
4640.542661	1.841141	1641
4641.597049	1.862362	1642
4642.600837	1.559436	1643
4643.663440	1.350586	1644
4644.684324	1.692395	1645
4645.741129	1.843149	1646
4646.745162	1.782169	1647
4647.802224	1.545499	1648
4648.817977	1.461438	1649
4649.883873	1.677616	1650
4650.883646	1.773648	1651
4651.947042	1.455219	1652
4652.944674	1.620989	1653
4654.022935	1.703951	1654
4655.017269	1.578816	1655
4656.087375	1.337947	1656
4657.086175	1.952072	1657
4658.155870	1.906408	1658
4659.155449	1.660913	1659
4660.222421	1.483593	1660
4661.233076	1.531545	1661
4662.286819	1.768879	1662
4663.300792	1.658291	1663
4664.361545	1.641083	1664
4665.370291	2.038873	1665
4666.427046	1.921249	1666
4667.439825	1.757072	1667
4668.502358	1.783579	1668
4669.509235	1.656470	1669
4670.569020	1.765652	1670
4671.566963	1.626559	1671
4672.646083	1.660000	1672
4673.634279	1.779882	1673
4674.709544	1.528723	1674
4675.708095	2.047220	1675
4676.783022	1.681755	1676
4677.778289	1.912100	1677
4678.846168	1.672385	1678
4679.848945	1.799206	1679
4680.916978	1.671845	1680
4681.915425	1.941215	1681
4682.982589	1.863527	1682
4683.985374	1.755986	1683
4685.056491	1.640005	1684
4686.054678	2.091058	1685
4687.126316	1.890474	1686
4688.123174	1.802676	1687
4689.192542	1.632508	1688
4690.193324	2.092732	1689
4691.262662	1.844127	1690
4692.261607	1.897659	1691
4693.328651	1.937389	1692
4694.331016	1.986852	1693
4695.397339	1.873199	1694
4696.404300	1.801917	1695
4697.464524	1.869819	1696
4698.476183	2.074822	1697
4699.529923	1.997242	1698
4700.545563	1.882608	1699
4701.599747	1.871190	1700
4702.612866	2.118948	1701
4703.670488	1.784914	1702
4704.682628	2.009027	1703
4705.739867	1.904876	1704
4706.747189	2.059758	1705
4707.811492	1.983356	1706
4708.816412	2.077288	1707
4709.885641	1.895346	1708
4710.884056	2.138602	1709
4711.953073	1.929754	1710
4712.954054	2.080406	1711
4714.020992	1.878791	1712
4715.021826	2.084541	1713
4716.090689	2.083153	1714
4717.093144	1.959865	1715
4718.158214	1.977055	1716
4719.160338	2.090844	1717
4720.228846	1.903408	1718
4721.230436	2.096193	1719
4722.295840	2.009762	1720
4723.300693	2.253656	1721
4724.364706	2.050186	1722
4725.369042	2.121965	1723
4726.434553	2.152017	1724
4727.438922	2.138161	1725
4728.503402	2.002708	1726
4729.506019	2.108852	1727
4730.574739	2.117775	1728
4731.575099	2.183621	1729
4732.643483	1.963242	1730
4733.645447	2.313582	1731
4734.711846	2.166655	1732
4735.716692	2.123893	1733
4736.778840	2.053592	1734
4737.786804	2.053899	1735
4738.845396	2.218818	1736
4739.856731	2.153032	1737
4740.913751	2.074057	1738
4741.928227	2.327845	1739
4742.981623	2.227009	1740
4743.998498	2.326288	1741
4745.051758	2.203656	1742
4746.066882	2.359823	1743
4747.120367	2.310271	1744
4748.134100	2.235692	1745
4749.191796	2.230317	1746
4750.202253	2.216128	1747
4751.260895	2.276844	1748
4752.268380	2.322280	1749
4753.333033	2.198599	1750
4754.335602	2.335155	1751
4755.403042	2.274707	1752
4756.404951	2.455159	1753
4757.472004	2.204221	1754
4758.473512	2.413262	1755
4759.540755	2.315010	1756
4760.544395	2.379072	1757
4761.610326	2.261663	1758
4762.613577	2.442274	1759
4763.678680	2.283895	1760
4764.682158	2.409074	1761
4765.749007	2.199588	1762
4766.752072	2.538573	1763
4767.816160	2.337585	1764
4768.821935	2.452171	1765
4769.883730	2.419915	1766
4770.892537	2.508814	1767
4771.952287	2.446005	1768
4772.963113	2.419528	1769
4774.020324	2.497992	1770
4775.033864	2.557029	1771
4776.086951	2.545240	1772
4777.103333	2.530314	1773
4778.155697	2.469564	1774
4779.173508	2.609892	1775
4780.224015	2.478678	1776
4781.242407	2.561239	1777
4782.294509	2.400232	1778
4783.309360	2.544578	1779
4784.363811	2.463043	1780
4785.377809	2.446553	1781
4786.435796	2.605752	1782
4787.446093	2.565319	1783
4788.505970	2.499358	1784
4789.514600	2.449667	1785
4790.576239	2.448094	1786
4791.582454	2.607115	1787
4792.645510	2.545790	1788
4793.651191	2.537296	1789
4794.714719	2.572795	1790
4795.719460	2.718071	1791
4796.784068	2.624372	1792
4797.788925	2.659963	1793
4798.854073	2.561451	1794
4799.858022	2.723628	1795
4800.922658	2.572369	1796
4801.926320	2.715087	1797
