crossing time (s)	slope (V/s)	crossing number
9909.012029	6.618611	8244
9910.110659	6.021120	8245
9911.101682	6.477666	8246
9912.191289	6.428565	8247
9913.194149	7.122660	8248
9914.274076	6.834820	8249
9915.292393	9.022754	8250
9916.360009	7.489560	8251
9917.376879	7.513449	8252
9918.445025	7.071421	8253
9919.462878	8.722582	8254
9920.537139	6.786595	8255
9921.547983	9.271446	8256
9922.628792	7.874342	8257
9923.635824	9.595698	8258
9924.721166	9.429577	8259
9925.720329	12.604907	8260
9926.821710	12.450859	8261
9927.802020	11.180521	8262
9928.908777	15.236648	8263
9929.872119	10.621558	8264
9930.993436	16.383393	8265
9931.983623	6.901886	8266
9933.064748	11.793340	8267
9934.095871	15.159628	8268
9935.142531	11.315230	8269
9936.173216	15.179082	8270
9937.223870	7.802071	8271
9938.245434	12.938199	8272
9939.319310	8.240168	8273
9940.330966	11.401917	8274
9941.410317	11.542491	8275
9942.421602	11.998909	8276
9943.498901	10.544381	8277
9944.509407	15.583952	8278
9945.597441	10.516078	8279
9946.583441	14.030295	8280
9947.696158	14.866289	8281
9948.657466	16.637975	8282
9949.781376	15.160601	8283
9950.746248	14.589067	8284
9951.854396	14.758177	8285
9952.844366	9.991781	8286
9953.930600	15.473611	8287
9954.945202	11.733263	8288
9956.008491	16.112484	8289
9957.032863	16.264587	8290
9958.092196	16.589119	8291
9959.108273	18.297484	8292
9960.180732	16.646372	8293
9961.188749	19.212440	8294
9962.262578	15.722625	8295
9963.272417	17.800995	8296
9964.351325	12.311752	8297
9965.357383	17.357494	8298
9966.452319	13.034776	8299
9967.443320	19.867485	8300
9968.535334	13.760427	8301
9969.525479	20.910410	8302
9970.613444	16.392713	8303
9971.604409	18.383653	8304
9972.692903	17.220038	8305
9973.705876	17.798264	8306
9974.768695	16.894335	8307
9975.805555	21.139950	8308
9976.846758	16.448070	8309
9977.881822	22.803614	8310
9978.935088	16.466003	8311
9979.958448	23.074288	8312
9981.031270	18.267683	8313
9982.037772	22.853233	8314
9983.114106	19.490587	8315
9984.123311	21.895525	8316
9985.196384	17.289684	8317
9986.211371	20.797846	8318
9987.287051	13.961378	8319
9988.300017	20.923397	8320
9989.383672	13.929559	8321
9990.382210	22.165914	8322
9991.477610	15.686449	8323
9992.465714	23.433555	8324
9993.561572	16.701920	8325
9994.547064	24.552153	8326
9995.651184	17.784017	8327
9996.631120	25.054247	8328
9997.737098	18.124800	8329
9998.716250	24.851760	8330
9999.826208	18.602725	8331
10000.799712	22.039220	8332
10001.907968	20.905271	8333
10002.870202	20.586472	8334
10003.990250	21.795560	8335
10004.958583	18.725817	8336
10006.068360	20.943289	8337
10007.065343	16.245350	8338
10008.137633	20.217832	8339
10009.165016	21.278274	8340
10010.215744	19.876534	8341
10011.242632	23.817533	8342
10012.298253	18.655625	8343
10013.320084	21.010596	8344
10014.388035	17.994386	8345
10015.406472	17.539531	8346
10016.474154	19.540999	8347
10017.497690	17.737900	8348
10018.554613	19.897149	8349
10019.578667	20.097847	8350
10020.640859	18.833830	8351
10021.654636	21.090260	8352
10022.733393	19.867216	8353
10023.731470	20.701406	8354
10024.815769	21.549834	8355
10025.811950	19.721943	8356
10026.898915	21.578403	8357
10027.902867	18.859858	8358
10028.986155	20.545277	8359
10029.990716	19.044981	8360
10031.075253	19.899202	8361
10032.074503	19.711659	8362
10033.159732	19.527968	8363
10034.157253	20.695834	8364
10035.249025	20.297733	8365
10036.238169	20.784888	8366
10037.332129	21.476465	8367
10038.321111	19.940964	8368
10039.413091	21.795349	8369
10040.409580	19.480103	8370
10041.495468	20.945636	8371
10042.495045	19.537855	8372
10043.581291	20.336467	8373
10044.581922	20.027318	8374
10045.665519	20.103650	8375
10046.668928	20.782111	8376
10047.747520	20.211910	8377
10048.758544	20.977756	8378
10049.826156	20.273744	8379
10050.847296	20.601402	8380
10051.906514	19.982840	8381
10052.935025	20.348593	8382
10053.991199	19.838659	8383
10055.019453	19.859763	8384
10056.075971	21.336490	8385
10057.106188	20.300950	8386
10058.160371	22.614947	8387
10059.190477	21.240085	8388
10060.245748	22.559143	8389
10061.275522	21.674483	8390
10062.334459	22.257085	8391
10063.357102	22.123113	8392
10064.422464	22.801166	8393
10065.435743	22.661142	8394
10066.510244	22.456492	8395
10067.519565	23.446214	8396
10068.597088	20.923472	8397
10069.603886	22.746812	8398
10070.685460	20.846167	8399
10071.684597	21.610053	8400
10072.770644	21.760181	8401
10073.768788	21.049038	8402
10074.854606	22.567717	8403
10075.855308	20.849984	8404
10076.937145	22.729437	8405
10077.940945	21.740290	8406
10079.021866	22.616612	8407
10080.026571	22.491516	8408
10081.108434	22.153113	8409
10082.113778	22.700918	8410
10083.190385	21.886914	8411
10084.197831	22.124552	8412
10085.273593	22.324442	8413
10086.286847	22.424490	8414
10087.355440	23.380196	8415
10088.372778	23.228353	8416
10089.436292	24.302675	8417
10090.458707	22.836170	8418
10091.519448	24.384817	8419
10092.545609	22.039264	8420
10093.601102	23.565625	8421
10094.633297	21.850268	8422
10095.685383	22.636038	8423
10096.718299	22.070002	8424
10097.771217	21.906272	8425
10098.800808	22.002937	8426
10099.856715	21.456598	8427
10100.884548	21.491207	8428
10101.944734	21.318877	8429
10102.967327	21.499110	8430
10104.032529	21.697971	8431
10105.050249	21.929713	8432
10106.119235	21.956719	8433
10107.130049	22.094256	8434
10108.205079	22.907381	8435
10109.212091	21.867744	8436
10110.290604	23.153696	8437
10111.295500	21.701659	8438
10112.376029	22.986735	8439
10113.379633	21.669030	8440
10114.463111	22.913619	8441
10115.463702	22.152501	8442
10116.549697	23.176998	8443
10117.547209	22.246743	8444
10118.634705	23.575554	8445
10119.633134	22.547003	8446
10120.717078	23.837413	8447
10121.718406	22.072665	8448
10122.801329	23.445910	8449
10123.804994	21.957904	8450
10124.884245	22.938870	8451
10125.891901	21.626240	8452
10126.968673	22.484486	8453
10127.976767	21.271518	8454
10129.051537	22.391476	8455
10130.065715	21.377466	8456
10131.135005	22.834068	8457
10132.151707	21.770476	8458
10133.215021	22.869192	8459
10134.238415	22.009581	8460
10135.295593	22.728752	8461
10136.326138	22.256235	8462
10137.379671	22.437373	8463
10138.411271	22.072220	8464
10139.463610	22.982049	8465
10140.495087	22.129620	8466
10141.546805	23.468664	8467
10142.578929	21.950295	8468
10143.631692	23.459759	8469
10144.663615	22.346213	8470
10145.719520	23.399022	8471
10146.746933	22.927448	8472
10147.806891	23.588240	8473
10148.826705	22.861001	8474
10149.893359	24.059323	8475
10150.907969	23.113358	8476
10151.978395	24.084330	8477
10152.990659	23.017154	8478
10154.064243	23.415769	8479
10155.073425	22.601857	8480
10156.149501	23.121282	8481
10157.158080	22.328807	8482
10158.236164	23.354964	8483
10159.244105	22.169924	8484
10160.319248	23.515937	8485
10161.329630	22.315758	8486
10162.401836	23.568033	8487
10163.411812	22.426683	8488
10164.483902	23.293144	8489
10165.497925	22.235112	8490
10166.568125	23.029865	8491
10167.582773	22.090646	8492
10168.652816	22.986697	8493
10169.670632	22.015697	8494
10170.735351	22.917890	8495
10171.757106	22.390749	8496
10172.816879	23.165678	8497
10173.842920	22.113376	8498
10174.900834	23.116854	8499
10175.929676	21.752467	8500
10176.982634	22.878875	8501
10178.016057	21.405175	8502
10179.065481	22.521691	8503
10180.101016	21.008312	8504
10181.149971	21.908533	8505
10182.183716	20.955898	8506
10183.235939	21.653674	8507
10184.266293	20.563802	8508
10185.321445	21.443625	8509
10186.348961	20.362260	8510
10187.408969	21.312170	8511
10188.431645	20.180285	8512
10189.495369	21.253238	8513
10190.512978	20.207426	8514
10191.581167	21.252476	8515
10192.593627	20.187984	8516
10193.667718	21.122801	8517
10194.678139	20.070185	8518
10195.752454	21.137793	8519
10196.760341	19.973333	8520
10197.838350	20.971377	8521
10198.845661	19.830750	8522
10199.924065	21.111453	8523
10200.930093	19.950061	8524
10202.009344	21.126332	8525
10203.013813	19.941877	8526
10204.091706	21.097858	8527
10205.098032	19.717302	8528
10206.175138	20.951216	8529
10207.187173	19.589227	8530
10208.257446	20.720930	8531
10209.269629	19.394007	8532
10210.340350	20.873667	8533
10211.356134	19.436269	8534
10212.423030	20.902235	8535
10213.443352	19.455897	8536
10214.505778	20.774521	8537
10215.529085	19.561834	8538
10216.588936	20.895123	8539
10217.615437	19.653905	8540
10218.671212	20.975635	8541
10219.701175	19.735741	8542
10220.754426	21.167577	8543
10221.786627	20.057553	8544
10222.836733	21.253157	8545
10223.871263	20.018039	8546
10224.922694	21.583919	8547
10225.954725	20.078730	8548
10227.007587	21.645016	8549
10228.038855	20.311148	8550
10229.093447	21.597100	8551
10230.120439	20.396514	8552
10231.178380	21.908279	8553
10232.204061	20.442088	8554
10233.264349	21.825908	8555
10234.285353	20.513835	8556
10235.350520	21.643680	8557
10236.369991	20.394273	8558
10237.437148	21.566993	8559
10238.452386	20.311377	8560
10239.521251	21.503415	8561
10240.536481	20.407308	8562
