time (s)	coil I (A)	last det (V)	int current (uC)
9912.334901	1.093565	0.777573	575.214905
9912.335794	1.467239	0.777573	1885.459229
9912.336691	1.455740	0.777573	3191.257812
9912.337828	1.415032	0.777573	4800.148926
9912.338778	1.379542	0.777573	6110.713867
9912.339655	1.347964	0.777573	7292.877930
9912.340690	1.312229	0.777573	8651.035156
9912.341719	1.278340	0.777573	9966.447266
9912.342616	1.249988	0.777573	11087.686523
9912.343571	1.221064	0.777573	12253.802734
9912.344624	1.189603	0.777573	13506.455078
9912.345571	1.161998	0.777573	14606.867187
9912.346449	1.137250	0.777573	15605.373047
9912.347507	1.114940	0.777573	16784.980469
9912.348513	1.088741	0.777573	17880.253906
9912.349410	0.798490	0.777573	18596.500000
9912.350403	0.120209	0.777573	18715.867187
9912.351439	0.098295	0.777573	18817.701172
9912.352337	0.098207	0.777573	18905.890625
9912.353194	0.098357	0.777573	18990.181641
9912.354270	0.098306	0.777573	19095.958984
9912.355263	0.098079	0.777573	19193.351562
9912.356133	0.098218	0.777573	19278.800781
9912.357115	0.098280	0.777573	19375.312500
9912.358175	0.098199	0.777573	19479.404297
9912.359064	0.098247	0.777573	19566.746094
9913.327047	0.999452	0.886636	428.764862
9913.328085	1.464712	0.886636	1949.135864
9913.328984	1.455044	0.886636	3257.220459
9913.329918	1.420660	0.886636	4584.117187
9913.330785	1.386639	0.886636	5786.333496
9913.331834	1.350377	0.886636	7202.878906
9913.332724	1.319363	0.886636	8377.111328
9913.333586	1.289495	0.886636	9488.656250
9913.334657	1.255961	0.886636	10833.790039
9913.335568	1.227799	0.886636	11952.314453
9913.336456	1.201443	0.886636	13019.195312
9913.337435	1.173036	0.886636	14167.597656
9913.338450	1.144069	0.886636	15328.827148
9913.339341	1.123326	0.886636	16329.710937
9913.340207	1.102280	0.886636	17284.285156
9913.341321	1.030023	0.886636	18431.730469
9913.342246	0.210996	0.886636	18626.902344
9913.343123	0.098188	0.886636	18713.013672
9913.344126	0.098437	0.886636	18811.746094
9913.345108	0.098170	0.886636	18908.148437
9913.345991	0.098269	0.886636	18994.919922
9913.346847	0.098284	0.886636	19079.050781
9913.347924	0.098302	0.886636	19184.921875
9913.348837	0.098232	0.886636	19274.607422
9913.349692	0.098174	0.886636	19358.546875
9913.350742	0.098474	0.886636	19461.945312
9914.418635	1.001118	0.848399	437.488647
9914.419503	1.459146	0.848399	1704.026978
9914.420579	1.455114	0.848399	3269.729004
9914.421593	1.417467	0.848399	4707.040527
9914.422488	1.383988	0.848399	5945.709961
9914.423453	1.349579	0.848399	7248.053711
9914.424508	1.312870	0.848399	8633.131836
9914.425433	1.282273	0.848399	9819.234375
9914.426301	1.253577	0.848399	10907.338867
9914.427391	1.220867	0.848399	12238.083984
9914.428394	1.190984	0.848399	13432.640625
9914.429277	1.165704	0.848399	14461.957031
9914.430280	1.137924	0.848399	15603.294922
9914.431336	1.115175	0.848399	16780.919922
9914.432234	1.091642	0.848399	17761.214844
9914.433103	0.839099	0.848399	18490.392578
9914.434218	0.116722	0.848399	18620.537109
9914.435185	0.098130	0.848399	18715.427734
9914.436083	0.098262	0.848399	18803.666016
9914.436970	0.098269	0.848399	18890.830078
9914.437954	0.098207	0.848399	18987.464844
9914.438873	0.098134	0.848399	19077.650391
9914.439793	0.098236	0.848399	19168.027344
9914.440660	0.098368	0.848399	19253.312500
9914.441699	0.098210	0.848399	19355.353516
9914.442584	0.098276	0.848399	19442.328125
9915.425219	0.994394	0.931725	431.567200
9915.426085	1.458600	0.931725	1694.714844
9915.427156	1.455670	0.931725	3253.737549
9915.428169	1.418027	0.931725	4690.199219
9915.429055	1.384321	0.931725	5916.708008
9915.430038	1.349843	0.931725	7243.603516
9915.431098	1.312914	0.931725	8635.291992
9915.432010	1.282665	0.931725	9805.082031
