time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
9908.032229	293.420471	1.031405	-0.016797	51
9910.111302	293.151245	1.043198	-0.016483	53
9912.190670	292.628418	1.064067	-0.017771	55
9914.274885	292.513275	1.102726	-0.017255	57
9916.359720	292.560944	1.136523	-0.017993	59
9918.446279	292.698456	1.167297	-0.017949	61
9920.537516	292.830566	1.196807	-0.017803	63
9922.629609	292.723053	1.223408	-0.017409	65
9924.720923	292.627655	1.249510	-0.018086	67
9926.815352	291.635803	1.271827	-0.014961	69
9928.904906	287.312531	1.279473	-0.100000	71
9930.989148	288.389038	1.291701	-0.100000	73
9933.064786	292.329285	1.343887	-0.009833	75
9935.141705	293.961212	1.365622	-0.014065	77
9937.224257	294.183441	1.381574	-0.017116	79
9939.318007	293.716583	1.397376	-0.016718	81
9941.410026	293.046753	1.416334	-0.015633	83
9943.499814	292.562469	1.434004	-0.013753	85
9945.592205	291.226135	1.444063	-0.009188	87
9947.680937	289.007599	1.447150	-0.100000	89
9949.764179	289.255066	1.458390	-0.100000	91
9951.844774	291.310791	1.477070	-0.004722	93
9953.925815	291.787659	1.496747	-0.006902	95
9956.008250	292.020416	1.514150	-0.007233	97
9958.092638	291.861725	1.525191	-0.006498	99
9960.178578	291.692444	1.531434	-0.004999	101
9962.264393	291.728088	1.536859	-0.005034	103
9964.353565	292.097717	1.543010	-0.004805	105
9966.444390	293.077972	1.558016	-0.006922	107
9968.527158	294.363708	1.583142	-0.010402	109
9970.605882	294.322449	1.612999	-0.011541	111
9972.685486	293.451202	1.626292	-0.009126	113
9974.765182	292.668701	1.634233	-0.007907	115
9976.847938	292.362976	1.637322	-0.007292	117
9978.935568	292.345581	1.638950	-0.006007	119
9981.025190	292.088440	1.634452	-0.004070	121
9983.112970	291.785309	1.633435	-0.002960	123
9985.200613	291.670135	1.634225	-0.002761	125
9987.289713	292.033020	1.640417	-0.003399	127
9989.378546	292.484497	1.647204	-0.004220	129
9991.464537	292.834534	1.655747	-0.005377	131
9993.548769	292.904938	1.661578	-0.005109	133
9995.634528	292.849701	1.668663	-0.005332	135
9997.719587	292.325806	1.671318	-0.002980	137
9999.805575	291.668762	1.674319	-0.000823	139
10001.890949	290.866364	1.675074	0.002070	141
10003.974614	292.315643	1.666614	0.100000	143
10006.055925	290.812622	1.693391	0.002702	145
10008.134770	292.005737	1.720115	0.000371	147
10010.214006	293.231445	1.739040	-0.000343	149
10012.295664	293.995392	1.746320	-0.002065	151
10014.380485	294.240906	1.734607	-0.002962	153
10016.466272	293.951630	1.743630	-0.002694	155
10018.552532	293.701843	1.752485	-0.002507	157
10020.640057	293.369141	1.759661	-0.001823	159
10022.728535	293.143188	1.758432	-0.000864	161
10024.815287	292.992645	1.752803	-0.000215	163
10026.901498	292.607117	1.747057	0.001445	165
10028.987453	291.965576	1.749529	0.003800	167
10031.073123	291.649536	1.750626	0.004812	169
10033.158203	291.485931	1.754586	0.004999	171
10035.243743	291.529968	1.751269	0.005762	173
10037.328415	291.757172	1.751421	0.005344	175
10039.412460	292.067627	1.757539	0.005720	177
10041.496509	292.599457	1.769411	0.004690	179
10043.580644	293.223602	1.785486	0.003821	181
10045.664059	293.721832	1.800776	0.002679	183
10047.746135	293.543304	1.817015	0.003306	185
10049.827216	293.275177	1.828887	0.003808	187
10051.908666	292.981110	1.838253	0.004637	189
10053.991200	292.644562	1.840058	0.005143	191
10056.074920	292.438568	1.838369	0.006746	193
10058.159528	292.385834	1.838580	0.007153	195
10060.245611	292.386475	1.832988	0.008121	197
10062.333400	292.159821	1.830231	0.009269	199
10064.421132	291.777313	1.823233	0.009554	201
10066.508287	291.320129	1.817019	0.010481	203
10068.595185	290.940033	1.813600	0.012501	205
10070.682480	290.803497	1.812392	0.012173	207
10072.768196	290.740326	1.809590	0.013283	209
10074.852791	290.735474	1.809676	0.013736	211
10076.937011	290.624969	1.818573	0.013522	213
10079.021103	290.532806	1.822610	0.013844	215
10081.105466	290.396545	1.829814	0.015093	217
10083.189357	290.446686	1.834736	0.014712	219
10085.272265	290.844971	1.844262	0.013317	221
10087.354085	291.555664	1.858235	0.013644	223
10089.435903	292.384247	1.871340	0.013018	225
10091.518242	293.201355	1.872985	0.012450	227
10093.601029	293.677612	1.877732	0.011973	229
10095.684862	293.848480	1.867609	0.011100	231
10097.769942	293.798798	1.882901	0.012144	233
10099.856153	293.545715	1.883242	0.012345	235
