time (s)	coil I (A)	last det (V)	int current (uC)
6194.199134	1.125890	0.320560	631.624207
6194.200197	1.474589	0.320560	2199.111816
6194.201087	1.454301	0.320560	3493.439453
6194.202025	1.418273	0.320560	4823.779297
6194.203110	1.378066	0.320560	6318.981445
6194.204042	1.344148	0.320560	7571.727539
6194.204910	1.313390	0.320560	8711.750000
6194.205958	1.279266	0.320560	10052.420898
6194.206992	1.246586	0.320560	11341.390625
6194.207886	1.219310	0.320560	12431.454102
6194.208862	0.613883	0.320560	13030.603516
6194.209898	0.100020	0.320560	13134.223633
6194.210822	0.097921	0.320560	13224.703125
6194.211686	0.097899	0.320560	13309.288086
6194.212772	0.098082	0.320560	13415.805664
6194.213753	0.097932	0.320560	13511.876953
6194.214637	0.097925	0.320560	13598.442383
6194.215598	0.097943	0.320560	13692.565430
6194.216647	0.098002	0.320560	13795.369141
6194.217553	0.098024	0.320560	13884.178711
6194.218414	0.097976	0.320560	13968.536133
6195.281907	1.017810	0.264418	486.513245
6195.282977	1.472904	0.264418	2062.520508
6195.283934	1.455033	0.264418	3454.987061
6195.284805	1.421499	0.264418	4693.112793
6195.285885	1.381377	0.264418	6185.000000
6195.286883	1.345217	0.264418	7527.526855
6195.287777	1.314254	0.264418	8702.469727
6195.288768	1.282196	0.264418	9973.125977
6195.289814	1.248768	0.264418	11279.337891
6195.290732	1.220354	0.264418	12399.623047
6195.291602	0.724849	0.264418	13030.241211
6195.292681	0.102510	0.264418	13140.849609
6195.293671	0.097954	0.264418	13237.824219
6195.294543	0.097998	0.264418	13323.278320
6195.295515	0.098093	0.264418	13418.625000
6195.296585	0.097954	0.264418	13523.435547
6195.297468	0.097848	0.264418	13609.834961
6195.298334	0.097976	0.264418	13694.682617
6195.299433	0.098016	0.264418	13802.402344
6195.300399	0.097896	0.264418	13896.969727
6195.301277	0.097943	0.264418	13982.963867
6196.267961	0.986587	0.352392	415.353088
6196.268890	1.462376	0.352392	1773.899902
6196.269956	1.458120	0.352392	3328.255859
6196.270852	1.424220	0.352392	4604.356934
6196.271723	1.391041	0.352392	5815.954102
6196.272757	1.353669	0.352392	7215.648437
6196.273727	1.320040	0.352392	8496.087891
6196.274606	1.290425	0.352392	9630.371094
6196.275498	1.260564	0.352392	10754.793945
6196.276607	1.227953	0.352392	12116.593750
6196.277501	0.973162	0.352392	12986.600586
6196.278419	0.147004	0.352392	13121.550781
6196.279485	0.097914	0.352392	13225.926758
6196.280426	0.097892	0.352392	13318.042969
6196.281289	0.097874	0.352392	13402.507812
6196.282339	0.098031	0.352392	13505.440430
6196.283365	0.097910	0.352392	13605.896484
6196.284245	0.097896	0.352392	13692.044922
6196.285201	0.097903	0.352392	13785.639648
6196.286265	0.097921	0.352392	13889.828125
6196.287181	0.097822	0.352392	13979.433594
6197.385802	1.096619	0.223965	625.072632
