crossing time (s)	slope (V/s)	crossing number
6190.838131	6.515852	4703
6191.872604	4.979558	4704
6192.925666	6.178345	4705
6193.947703	5.195303	4706
6195.018112	5.633742	4707
6196.020970	5.458111	4708
6197.117131	5.181678	4709
6198.099869	5.468907	4710
6199.203911	6.650715	4711
6200.185685	4.501681	4712
6201.292072	7.362673	4713
6202.276442	5.392744	4714
6203.373326	6.771746	4715
6204.367679	6.309585	4716
6205.455738	5.654994	4717
6206.452690	6.452105	4718
6207.541292	4.543291	4719
6208.537787	6.413003	4720
6209.629328	4.714100	4721
6210.621032	5.833087	4722
6211.721154	6.581140	4723
6212.705979	5.074582	4724
6213.807035	7.496627	4725
6214.788388	4.542269	4726
6215.895312	7.127536	4727
6216.872719	4.903933	4728
6217.982091	6.608971	4729
6218.957989	5.503270	4730
6220.066557	6.381074	4731
6221.049015	5.899581	4732
6222.141638	5.937577	4733
6223.145411	6.471108	4734
6224.214368	5.722308	4735
6225.240150	6.343094	4736
6226.293442	4.998441	4737
6227.328342	5.234619	4738
6228.379873	5.719786	4739
6229.405520	6.535541	4740
6230.467862	6.240030	4741
6231.480110	7.585313	4742
6232.572985	5.145687	4743
6233.555936	7.127883	4744
6234.666878	8.303420	4745
6235.636791	6.986681	4746
6236.746613	7.150212	4747
6237.727812	5.701722	4748
6238.828229	5.878064	4749
6239.820760	6.138657	4750
6240.904553	5.197048	4751
6241.912909	6.432270	4752
6242.986716	5.933274	4753
6244.005043	6.099497	4754
6245.068996	6.955458	4755
6246.093101	6.061516	4756
6247.150048	6.954686	4757
6248.177719	6.026989	4758
6249.232162	7.330026	4759
6250.260987	6.499254	4760
6251.317996	7.221137	4761
6252.344956	6.881585	4762
6253.406013	6.465920	4763
6254.426566	7.036485	4764
6255.495925	6.429247	4765
6256.508161	6.927053	4766
6257.585985	6.739575	4767
6258.588002	7.066134	4768
6259.676039	7.671798	4769
6260.665227	7.144543	4770
6261.764183	8.621010	4771
6262.747602	5.880503	4772
6263.851016	8.857142	4773
6264.837593	5.924646	4774
6265.928353	8.993414	4775
6266.931033	8.263313	4776
6268.002957	9.452016	4777
6269.019513	7.897761	4778
6270.080963	9.679251	4779
6271.111677	6.938425	4780
6272.162647	9.271329	4781
