time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
6190.838004	288.429687	0.912666	0.047371	95
6192.925250	287.742889	0.905669	0.045141	97
6195.018873	286.197296	0.913078	0.046331	99
6197.115822	284.778290	0.917785	0.049112	101
6199.205060	283.936523	0.924239	0.051255	103
6201.291688	283.795349	0.934775	0.050205	105
6203.374208	284.258148	0.945293	0.048895	107
6205.455065	284.769287	0.950333	0.047154	109
6207.540695	285.073120	0.953432	0.046521	111
6209.631916	285.078613	0.954620	0.046293	113
6211.721442	285.012695	0.956485	0.046412	115
6213.807702	284.981110	0.958830	0.047147	117
6215.895150	285.197815	0.962934	0.047536	119
6217.982916	285.948456	0.971044	0.047297	121
6220.066243	286.945068	0.987232	0.045158	123
6222.141847	286.894958	1.003171	0.043640	125
6224.214700	286.642212	1.012335	0.043587	127
6226.295471	286.379303	1.012216	0.045226	129
6228.380472	286.378510	1.009208	0.046786	131
6230.469317	286.211884	1.000764	0.046150	133
6232.575763	285.624817	0.995662	0.046321	135
6234.666884	285.865692	0.997007	0.046535	137
6236.748043	286.856964	1.011656	0.044788	139
6238.828474	287.029846	1.027720	0.044104	141
6240.907219	287.010773	1.038069	0.043575	143
6242.987651	287.152893	1.041822	0.043357	145
6245.068851	287.427368	1.045407	0.043729	147
6247.150161	287.595490	1.047634	0.043804	149
6249.232662	287.712494	1.049064	0.043491	151
6251.318177	287.767609	1.050226	0.043355	153
6253.406826	287.706726	1.051955	0.043026	155
6255.496549	287.514160	1.053670	0.042787	157
6257.585564	286.984528	1.054590	0.042787	159
6259.675942	286.203522	1.052883	0.044166	161
6261.765451	285.214294	1.050618	0.046131	163
6263.850497	284.466003	1.052649	0.047116	165
6265.928272	285.313293	1.067441	0.045116	167
6268.003074	287.322174	1.076609	0.043425	169
6270.080999	288.863098	1.076184	0.042364	171
6272.163568	289.203217	1.074263	0.041801	173
6274.249662	288.829132	1.074463	0.040906	175
6276.338298	288.069977	1.076719	0.040932	177
6278.429774	287.311920	1.076776	0.041955	179
6280.522322	286.729584	1.075921	0.043254	181
6282.610807	286.482819	1.076539	0.044296	183
6284.697272	286.309662	1.076294	0.045067	185
6286.782903	286.108093	1.075991	0.045400	187
6288.867347	286.160797	1.076784	0.045418	189
6290.951799	286.420624	1.080234	0.044840	191
6293.036177	286.840485	1.084158	0.044139	193
6295.120080	287.393005	1.091134	0.043445	195
6297.201604	287.550903	1.098368	0.042689	197
6299.280811	287.664795	1.107103	0.041769	199
6301.358841	287.710785	1.114067	0.041244	201
6303.438342	287.625977	1.117521	0.041406	203
6305.520587	287.525665	1.115989	0.042235	205
6307.602702	287.467224	1.112847	0.042939	207
6309.688219	287.458252	1.109171	0.042835	209
6311.780943	287.116547	1.101692	0.042974	211
6313.875036	286.612244	1.095018	0.042521	213
6315.963965	286.466461	1.093262	0.043297	215
6318.050422	286.849213	1.096903	0.043122	217
6320.135108	287.385101	1.103959	0.042858	219
6322.217436	287.653534	1.110161	0.042079	221
6324.297886	287.613098	1.116472	0.041926	223
6326.378709	287.633270	1.121060	0.041858	225
6328.461940	287.633850	1.123329	0.041812	227
6330.547377	287.581238	1.123167	0.041847	229
6332.633562	287.425873	1.122879	0.042107	231
6334.720272	287.179596	1.120298	0.042606	233
6336.807060	286.804535	1.117032	0.043355	235
6338.892908	286.136414	1.114146	0.044267	237
6340.977252	285.522095	1.115084	0.044749	239
6343.058879	285.483276	1.122240	0.044038	241
6345.137069	286.384369	1.131418	0.043320	243
6347.214282	287.872650	1.138135	0.040635	245
6349.293678	289.061096	1.140147	0.040649	247
6351.375792	289.575592	1.139931	0.040812	249
6353.459558	289.530731	1.139826	0.040585	251
6355.545426	289.253876	1.139463	0.040510	253
6357.633150	288.836182	1.139806	0.040137	255
6359.720819	288.464325	1.140676	0.040871	1
6361.807804	288.191742	1.140986	0.040515	3
6363.893521	288.062012	1.140731	0.041371	5
6365.979222	287.918701	1.141946	0.041616	7
